group	abundance
C0	0.939485406
C0	1.064214285
C0	1.103260684
C0	0.986668432
C0	1.163181628
C0	0.828055156
C0	1.171594595
C0	1.003578181
C0	0.9689522
C0	1.130562115
C0	0.700754411
C0	0.722512772
C0	0.788141308
C0	0.967136184
C0	1.006142704
C0	1.058082363
C0	0.683788544
C0	1.134847419
C0	1.409596761
C0	0.857921796
C0	0.729667235
C0	1.305518713
C0	1.028193765
C0	0.965343024
C0	0.888885926
C0	0.914937105
C0	0.986364784
C0	1.099922853
C0	1.045381859
C0	0.766384067
C0	1.113405898
C0	0.961490054
C0	0.971774444
C0	1.280049611
C0	1.470463297
C0	1.036981058
C0	0.827294881
C0	0.832110584
C0	1.206508428
C0	0.745867405
C0	0.912728105
C0	0.912221552
C0	1.081818618
C0	0.701368034
C0	0.731782261
C0	1.163994623
C0	0.975521025
C0	1.020852239
C0	0.686866697
C0	1.331972101
C0	1.024882099
C0	0.97135356
C0	0.795824216
C0	1.17912556
C0	1.624859396
C0	1.281100803
C0	1.078546677
C0	1.241200576
C0	1.076095578
C0	1.388295027
C0	0.737108361
C0	0.880525091
C0	0.772855407
C0	0.837901131
C0	0.966416589
C0	0.904500075
C0	1.071362531
C0	0.826035877
C0	0.831365534
C0	0.947552965
C0	1.437636205
C0	1.51291742
C0	1.300176072
C0	0.792239639
C0	0.801633373
C0	1.100971971
C0	0.7622424
C0	1.122992292
C0	0.793182401
C0	0.785520456
C0	1.635764741
C0	0.966253602
C0	1.039812634
C0	1.000871536
C0	0.804159578
C0	1.036104232
C0	1.122199293
C0	0.887653955
C0	1.033892822
C0	0.852158155
C0	0.807569642
C0	0.865267352
C0	0.746028177
C0	0.771120308
C0	1.138904734
C0	0.743075724
C0	1.583363843
C0	1.2984294
C0	1.356986021
C0	0.806406969
C0	0.749199019
C0	1.076582449
C0	1.297102116
C0	0.751718028
C0	1.479045686
C0	0.672714146
C0	0.890606044
C0	0.735935188
C0	1.143505682
C0	1.249620018
C0	0.760178388
C0	1.370964728
C0	1.28070377
C0	1.185126813
C0	0.92449749
C0	1.00669233
C0	1.062447088
C0	0.745664984
C0	0.893310799
C0	1.818545161
C0	1.353592148
C0	0.93119574
C0	0.805809308
C0	0.835637756
C0	1.051983642
C0	1.249809463
C0	0.925738409
C0	0.822993546
C0	1.268061706
C0	1.080146081
C0	1.477474453
C0	0.903672691
C0	0.983457881
C0	0.900291407
C0	0.739021889
C0	0.903700122
C0	0.960491612
C0	1.478882867
C0	0.939150845
C0	0.685525048
C0	1.003434379
C0	0.917646514
C0	1.340263161
C0	0.900890752
C0	1.034770832
C0	0.780749663
C0	0.875043677
C0	0.768560365
C0	1.25626831
C0	0.7166829
C0	0.925398808
C0	0.909461886
C0	0.788559795
C0	0.940351302
C0	1.018965861
C0	1.594100602
C0	1.199360267
C0	1.37886979
C0	1.095619807
C0	0.952552474
C0	1.338474522
C0	1.242714267
C0	1.312147365
C0	0.931598638
C0	1.107798108
C0	0.818983301
C0	1.065259496
C0	1.078726012
C0	0.812340913
C0	1.255649213
C0	1.061241954
C0	0.801093144
C0	0.847238976
C0	0.691015131
C0	0.841044587
C0	1.386847866
C0	1.398666895
C0	0.852464049
C0	0.9097029
C0	1.205666598
C0	1.007847424
C0	0.709428636
C0	1.191532696
C0	1.176696389
C0	0.917013049
C0	1.135950518
C0	0.740496984
C0	1.498075999
C0	0.950371914
C0	1.083070422
C0	1.498424379
C0	0.799312905
C0	0.771623781
C0	0.9566755
C0	1.513832304
C0	0.735409254
C0	1.078674744
C0	0.738015479
C0	1.121937283
C0	0.885820684
C0	0.954140487
C0	0.773688389
C0	0.786805847
C0	1.613507191
C0	0.83090962
C0	0.830645694
C0	0.792455603
C0	1.495051849
C0	1.080868113
C0	1.36833074
C0	0.856156822
C0	1.024965015
C0	1.084014692
C0	0.756966153
C0	0.988590703
C0	1.063932718
C0	1.364077422
C0	1.358749337
C0	1.287298687
C0	0.902089361
C0	0.908911024
C0	1.280507553
C0	1.124926478
C0	1.455311164
C0	0.593382798
