id,label
K-k141_1498906,K
K-k141_1503257,K
K-k141_1525577,K
K-k141_1531716,K
K-k141_1536798,K
K-k141_1540842||full,K
K-k141_1542400||full,K
K-k141_1542773,K
K-k141_1552469,K
K-k141_1553797||full,K
K-k141_1565846,K
K-k141_1568648,K
K-k141_1570735||full,K
K-k141_1578887,K
K-k141_158255,K
K-k141_1596467,K
K-k141_1606875||full,K
K-k141_1611875,K
K-k141_1621950,K
K-k141_1622159,K
K-k141_1625707,K
K-k141_1651536,K
K-k141_1663699,K
K-k141_1663699||full,K
K-k141_1671220,K
K-k141_1673837||full,K
K-k141_1680397||full,K
K-k141_1683900,K
K-k141_1690420,K
K-k141_1696469,K
K-k141_1713971||full,K
K-k141_1717230,K
K-k141_1723647,K
K-k141_172437||full,K
K-k141_1729603,K
K-k141_173109||full,K
K-k141_1735580,K
K-k141_1740406||full,K
K-k141_174630||full,K
K-k141_1754102||full,K
K-k141_1760764,K
K-k141_1761858||full,K
K-k141_1770371,K
K-k141_177514,K
K-k141_177815,K
K-k141_1779744||full,K
K-k141_1787620,K
K-k141_1796270,K
K-k141_1825996,K
K-k141_1872697||full,K
K-k141_1876056||full,K
K-k141_1876147||full,K
K-k141_188836||full,K
K-k141_1891339,K
K-k141_1893791,K
K-k141_1903446,K
K-k141_1905933,K
K-k141_1933390,K
K-k141_1934027||full,K
K-k141_1943901,K
K-k141_194446,K
K-k141_1946401,K
K-k141_1947858,K
K-k141_1962817||full,K
K-k141_1978640||full,K
K-k141_1981840||full,K
K-k141_1990915,K
K-k141_2003003||full,K
K-k141_2003147||full,K
K-k141_2017688||full,K
K-k141_2045402,K
K-k141_20536,K
K-k141_2061689||full,K
K-k141_2065172,K
K-k141_2065702,K
K-k141_2072961||full,K
K-k141_2073488,K
K-k141_2073488||full,K
K-k141_2073569,K
K-k141_2073569||full,K
K-k141_2073572||full,K
K-k141_2073647||full,K
K-k141_209945,K
K-k141_224354,K
K-k141_224874,K
K-k141_230653,K
K-k141_231528,K
K-k141_232717,K
K-k141_234223||full,K
K-k141_237625||full,K
K-k141_247130,K
K-k141_248761||full,K
K-k141_253698,K
K-k141_258853,K
K-k141_264327,K
K-k141_267532,K
K-k141_268458,K
K-k141_268458||full,K
K-k141_277642||full,K
K-k141_294245,K
K-k141_313173,K
K-k141_323573||full,K
K-k141_325136||full,K
K-k141_333875||full_1,K
K-k141_336177,K
K-k141_362620,K
K-k141_386958,K
K-k141_395032||full,K
K-k141_40591,K
K-k141_408567,K
K-k141_408567||full,K
K-k141_408800||full,K
K-k141_40984,K
K-k141_416182,K
K-k141_416182||full,K
K-k141_419503||full,K
K-k141_419606,K
K-k141_422530||full,K
K-k141_425186,K
K-k141_434541||full,K
K-k141_437838,K
K-k141_437838||full,K
K-k141_445610,K
K-k141_445797,K
K-k141_446855,K
K-k141_448736||full,K
K-k141_463728,K
K-k141_464911||full,K
K-k141_468315,K
K-k141_477799,K
K-k141_480770,K
K-k141_502247,K
K-k141_514150,K
K-k141_52466,K
K-k141_527954,K
K-k141_531303,K
K-k141_534286,K
K-k141_535232,K
K-k141_535569,K
K-k141_537595,K
K-k141_538456||full,K
K-k141_549442,K
K-k141_558434,K
K-k141_56228||full,K
K-k141_564780,K
K-k141_567474||full,K
K-k141_578737||full,K
K-k141_581271||full,K
K-k141_591188,K
K-k141_591645||full,K
K-k141_60704,K
K-k141_61552||full,K
K-k141_61561,K
K-k141_637934,K
K-k141_638306||full,K
K-k141_663777||full,K
K-k141_676772||full,K
K-k141_68705||full,K
K-k141_691336,K
K-k141_704974||full,K
K-k141_731089,K
K-k141_742399,K
K-k141_743736,K
K-k141_744005,K
K-k141_775403,K
K-k141_778323,K
K-k141_779236,K
K-k141_787110,K
K-k141_791802,K
K-k141_798564||full,K
K-k141_800446,K
K-k141_801542,K
K-k141_817650,K
K-k141_825260,K
K-k141_835738,K
K-k141_837345,K
K-k141_844679,K
K-k141_845184,K
K-k141_849466||full,K
K-k141_852766,K
K-k141_853860||full_1,K
K-k141_856251,K
K-k141_858907||full,K
K-k141_860017,K
K-k141_863578||full,K
K-k141_870649,K
K-k141_878047,K
K-k141_881240,K
K-k141_883906,K
K-k141_890911,K
K-k141_901819||full,K
K-k141_909233,K
K-k141_929834,K
K-k141_937704,K
K-k141_941050,K
K-k141_951334,K
K-k141_96219,K
K-k141_962758,K
K-k141_969075||full,K
K-k141_972677||full_1,K
K-k141_973713||0_partial_1,K
K-k141_985056,K
K-k141_991095||full,K
K-k141_991660||full,K
K-k141_993828||full,K
K-NODE_1006_length_20582_cov_13.734058,K
K-NODE_101_length_76198_cov_10.021775||full,K
K-NODE_1014_length_11044_cov_17.658841,K
K-NODE_1054_length_10897_cov_14.723298,K
K-NODE_1061_length_19765_cov_6.597971||full,K
K-NODE_107_length_26359_cov_31.449133,K
K-NODE_1073_length_10817_cov_16.932448,K
K-NODE_1100_length_10731_cov_21.544492,K
K-NODE_1103_length_19237_cov_27.233969||full,K
K-NODE_1105_length_10724_cov_16.235542,K
K-NODE_1130_length_10628_cov_15.949778,K
K-NODE_1140_length_10901_cov_9.864282,K
K-NODE_1147_length_10863_cov_11.908586,K
K-NODE_1174_length_10509_cov_16.531949,K
K-NODE_1202_length_18228_cov_20.916139,K
K-NODE_1203_length_18221_cov_137.270285||full,K
K-NODE_1220_length_18089_cov_6.389043||full,K
K-NODE_1220_length_21685_cov_8.875728||full_1,K
K-NODE_1222_length_18060_cov_95.140461||full,K
K-NODE_1239_length_10529_cov_62.263414||full,K
K-NODE_1249_length_10272_cov_16.295488,K
K-NODE_1295_length_10351_cov_65.608003||full,K
K-NODE_130_length_24526_cov_48.502105||full,K
K-NODE_1300_length_10140_cov_14.088349,K
K-NODE_1314_length_17080_cov_125.969280,K
K-NODE_1330_length_16903_cov_7.136574||full,K
K-NODE_1359_length_16592_cov_7.103828||full,K
K-NODE_1385_length_16359_cov_20.908121||full,K
K-NODE_141_length_24046_cov_11.001292,K
K-NODE_1417_length_16165_cov_6.308380||full,K
K-NODE_1418_length_16159_cov_6.503415||full,K
K-NODE_1421_length_16137_cov_21.316938||full,K
K-NODE_144_length_52477_cov_19.110126,K
K-NODE_144_length_52477_cov_19.110126||full,K
K-NODE_145_length_22109_cov_15.345017,K
K-NODE_1462_length_15809_cov_20.958614,K
K-NODE_1465_length_15793_cov_6.929724||full,K
K-NODE_1469_length_19730_cov_24.134892,K
K-NODE_1513_length_15439_cov_12.959308||full,K
K-NODE_1537_length_19227_cov_9.806906||full,K
K-NODE_1539_length_15241_cov_8.583366||full,K
K-NODE_1542_length_15226_cov_109.894536||full_1,K
K-NODE_1543_length_15219_cov_16.054603||full,K
K-NODE_1549_length_15190_cov_5.373571,K
K-NODE_1613_length_14833_cov_6.692922||full,K
