""	"K1_s"	"K2_s"	"K1_t"	"K2_t"	"C0_1_C"	"C0_2_C"	"C63_1_C"	"C63_2_C"	"T0_1_C"	"T0_2_C"	"T63_1_C"	"T63_2_C"	"C0_1_V"	"C0_2_V"	"C63_1_V"	"C63_2_V"	"T0_1_V"	"T0_2_V"	"T63_1_V"	"T63_2_V"	"S12_0_3"	"S12_12_15"	"S12_21_24"	"S3_0_3"	"S3_12_15"	"S3_21_24"	"S9_0_3"	"S9_12_15"	"S9_21_24"
"KSW-cf_2nd_assembly_k141_1269021||full"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_1914417||full"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_2397226||full"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_4165441||full"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_4495031||full"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_1605736||full"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_1443590||full"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1216892||full"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_839660||full"	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_4021399||full"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2022252||0_partial"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_11080||0_partial"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_288687||0_partial"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3938112||0_partial"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_468583||0_partial"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2144574||0_partial"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_808735||lt2gene"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3633873||lt2gene"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_277053||lt2gene"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2697241||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1493106||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3781901||lt2gene"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1495243||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3785005||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_559679||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2038497||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2576172||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_164823||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2589525||lt2gene"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1517763||lt2gene"	0	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2866206||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3276763||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_3544839||lt2gene"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1666967||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_867822||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2614892||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_224838||lt2gene"	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2113001||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2792696||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_774065||lt2gene"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1718044||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2400734||lt2gene"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1732076||lt2gene"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_1203463||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2012689||lt2gene"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-cf_coassembly_k141_2550740||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_506023||lt2gene"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_3081540||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_1329569||lt2gene"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_1024324||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_4434912||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_2843009||lt2gene"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-cf_2nd_assembly_k141_4644872||lt2gene"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_V_NODE_365_length_5012_cov_4.224127"	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-C63_2_V_NODE_694_length_5282_cov_5.092214"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-T0_2_V_NODE_164_length_7560_cov_18.808261"	0	0	0	0	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
"KSW-T63_1_V_NODE_371_length_10553_cov_8.153934"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-T63_1_V_NODE_997_length_6178_cov_25.294627"	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-T63_2_V_NODE_1405_length_5876_cov_81.733723"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_1050436"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_690683"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_910855"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_372065"	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_952969"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_780165"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_961858"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_601211"	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
"KSW-megahit_k141_23084"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_1009798"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_905807"	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_732021"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_140663"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_943430"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_282034"	0	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_804303"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_177930"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_910129"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0
"KSW-vf_coassembly_k141_75754"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_215599"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_215999"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_183571"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_149999"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_602918"	0	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_80718"	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1
"KSW-vf_coassembly_k141_46001"	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_256440"	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_813155"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_989784"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_752994"	0	0	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_265902"	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_303250"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_514515"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_242970"	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_1008820"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-vf_coassembly_k141_904834"	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_785_length_37023_cov_55.674692"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_816_length_36228_cov_43.108534"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_1534_length_23793_cov_19.718974"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_1715_length_21987_cov_12.993252"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_1772_length_21495_cov_31.161054"	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_1795_length_21333_cov_26.822117"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_2227_length_18181_cov_36.882213"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_2359_length_17451_cov_30.089733"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_2380_length_17357_cov_13.970466"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_2496_length_16645_cov_7.504581"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_2569_length_16235_cov_40.921199"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_3090_length_14132_cov_23.261419"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_3405_length_13090_cov_6.763560"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_3715_length_12173_cov_8.971200"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_3891_length_11682_cov_12.194633"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_4295_length_10842_cov_10.468898"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_4776_length_9890_cov_5.964921"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_4963_length_9609_cov_5.640779"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_5029_length_9503_cov_12.553450"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_5419_length_8902_cov_7.726461"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_5544_length_8758_cov_7.188900"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_5880_length_8357_cov_10.685497"	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_6295_length_7921_cov_20.118739"	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_6346_length_7873_cov_8.122410"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_6851_length_7417_cov_5.563434"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7046_length_7246_cov_6.841190"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7173_length_7143_cov_4.933973"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7385_length_6982_cov_7.085896"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7395_length_6968_cov_9.080573"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7484_length_6890_cov_3.317922"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7493_length_6880_cov_13.575678"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7510_length_6864_cov_8.436775"	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7566_length_6827_cov_10.428677"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7615_length_6791_cov_17.590410"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_7860_length_6636_cov_3.663425"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_8071_length_6500_cov_9.393794"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_8251_length_6394_cov_5.336804"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_8299_length_6365_cov_6.204913"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_8589_length_6169_cov_5.301439"	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9134_length_5894_cov_7.856996"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9181_length_5870_cov_8.755460"	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9298_length_5804_cov_10.690381"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9332_length_5786_cov_12.681033"	0	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9392_length_5754_cov_11.843657"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9416_length_5745_cov_10.028471"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9425_length_5742_cov_10.556708"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9482_length_5717_cov_14.551572"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9860_length_5552_cov_4.240677"	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9870_length_5548_cov_5.031859"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_9962_length_5505_cov_5.202385"	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_10207_length_5395_cov_30.067603"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_10222_length_5388_cov_6.076505"	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_10762_length_5176_cov_8.530951"	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_11016_length_5082_cov_5.012333"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_1_C_NODE_11140_length_5038_cov_6.048966"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_374_length_45320_cov_14.336220"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_680_length_33470_cov_36.532336"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_834_length_29485_cov_11.881448"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_848_length_29175_cov_11.556628"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_860_length_28942_cov_21.775089"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_944_length_27351_cov_14.886687"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_1114_length_24654_cov_12.908899"	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_1184_length_23758_cov_13.511539"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_1743_length_18632_cov_17.148302"	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KSW-C0_2_C_NODE_1839_length_18005_cov_12.549081"	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
