	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	3.63087240897663	3.16536571354259	7.40989340707124	8.35321164544846
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	4.3536196692021	4.22665873055487	3.64780911870078	5.42984063756023
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	3.43735863993487	2.53901901765115	2.53901901765115	3.64484888295108
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	7.20494481574781	6.97696902906248	8.0238153291178	8.09390316706171
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	6.49786985345136	6.44136300122647	7.02613826769701	6.65704214063137
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	3.92818559683557	4.12772345370812	4.37970386996405	4.82571182891946
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	3.17928590080638	2.53901901765115	2.53901901765115	3.64484888295108
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	3.63087240897663	3.76440533681124	6.66425198229582	8.07483797830802
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	4.05020782383709	4.22665873055487	6.02647796008757	5.84912311788561
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	2.53901901765115	3.41811642011516	4.072716156316	2.53901901765115
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	3.92818559683557	2.53901901765115	5.30792807924474	5.75543524044145
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	3.17928590080638	3.16536571354259	4.072716156316	4.37515032793527
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	2.53901901765115	3.16536571354259	4.83105319218137	5.42984063756023
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	6.06551130815376	6.38458133517049	7.10396379311981	6.97820814453178
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	2.53901901765115	3.16536571354259	4.62505266837835	4.37515032793527
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	3.43735863993487	3.41811642011516	4.37970386996405	4.82571182891946
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	5.78737365434576	6.68008582812191	10.1503226073427	10.8228541890125
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	2.53901901765115	2.53901901765115	4.072716156316	2.53901901765115
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	3.79048013381601	4.12772345370812	2.53901901765115	2.53901901765115
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	4.52054547739409	3.41811642011516	4.072716156316	4.62005218245783
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	3.17928590080638	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	10.7372433116569	9.92635176236583	11.2955972480459	10.8085055140557
