Contig	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	6	2	0	2
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	0	0	0	6
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	40	42	16	22
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	2	0	0	0
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	2	4	18	12
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	26	28	4	0
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	4	0	0	0
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	0	18	10	10
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	0	12	8	2
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	24	16	6	24
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	0	0	2	6
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	0	2	2	0
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	22	12	0	2
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	2	0	0	0
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	4	10	2	6
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	8	12	18	8
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	24	2	22	14
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	8	32	112	78
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	0	0	0	2
KSW-C63_1_V_NODE_408_length_6424_cov_21.953682||full	6	2	6	8
KSW-C63_1_V_NODE_415_length_6398_cov_19.603027||full	0	6	2	6
KSW-C63_1_V_NODE_446_length_6168_cov_7.062326||full	2	0	0	4
KSW-C63_1_V_NODE_478_length_5928_cov_70.762813||full	20	12	4	10
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	4	0	0	0
KSW-C63_1_V_NODE_491_length_5846_cov_3.584873||full	2	12	2	4
KSW-C63_1_V_NODE_494_length_5829_cov_4.002251||full	0	0	2	8
KSW-C63_1_V_NODE_506_length_5760_cov_17.611218||full	0	2	0	0
KSW-C63_1_V_NODE_509_length_5742_cov_3.553895||full	2	4	26	14
KSW-C63_1_V_NODE_511_length_5737_cov_66.867476||full	0	0	0	6
KSW-C63_1_V_NODE_533_length_5521_cov_8.255580||full	0	6	0	4
KSW-C63_1_V_NODE_534_length_5513_cov_4.034628||full	0	0	0	2
KSW-C63_1_V_NODE_545_length_5458_cov_5.612993||full	0	0	2	0
KSW-C63_1_V_NODE_555_length_5417_cov_3684.083551||full	228	248	1208	1506
KSW-C63_1_V_NODE_567_length_5351_cov_6.161631||full	8	26	106	98
KSW-C63_1_V_NODE_569_length_5342_cov_6.684698||full	4	10	10	6
KSW-C63_1_V_NODE_598_length_5168_cov_6.459613||full	2	2	2	2
KSW-C63_1_V_NODE_613_length_5110_cov_4.839763||full	10	0	8	8
KSW-C63_1_V_NODE_619_length_5077_cov_5.764237||full	10	10	4	4
KSW-C63_2_V_NODE_1_length_95852_cov_10.476466||full	1178	544	1332	3418
KSW-C63_2_V_NODE_2_length_76320_cov_18.241133||full	1308	1182	606	574
KSW-C63_2_V_NODE_3_length_73377_cov_76.935258||full	7564	4394	4212	11496
KSW-C63_2_V_NODE_6_length_47699_cov_10.945261||full	0	0	80	80
KSW-C63_2_V_NODE_8_length_38542_cov_10.219763||full	2250	2280	474	488
KSW-C63_2_V_NODE_9_length_38173_cov_10.612676||full	0	0	92	64
KSW-C63_2_V_NODE_11_length_36397_cov_17.552116||full	1052	1094	614	624
KSW-C63_2_V_NODE_23_length_28206_cov_7.475223||full	50	42	46	74
KSW-C63_2_V_NODE_26_length_26236_cov_6.819296||full	34	82	38	30
KSW-C63_2_V_NODE_34_length_22890_cov_9.682680||full	20	30	12	8
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	4	16	192	424
KSW-C63_2_V_NODE_46_length_19623_cov_19.459066||full	64	140	556	390
KSW-C63_2_V_NODE_55_length_18333_cov_6.289857||full	24	50	14	38
KSW-C63_2_V_NODE_58_length_18076_cov_9.457633||full	8	4	24	28
KSW-C63_2_V_NODE_65_length_17002_cov_14.258158||full	70	40	14	4
KSW-C63_2_V_NODE_74_length_16168_cov_4.891020||full	8	14	2	8
KSW-C63_2_V_NODE_76_length_16009_cov_7.100852||full	726	744	146	150
KSW-C63_2_V_NODE_80_length_15505_cov_7.763172||full	0	38	38	48
KSW-C63_2_V_NODE_85_length_14866_cov_1109.031801||full	92	196	654	1078
KSW-C63_2_V_NODE_90_length_14539_cov_8.543772||full	794	742	146	134
KSW-C63_2_V_NODE_95_length_13956_cov_4.932811||full	8	10	18	16
KSW-C63_2_V_NODE_105_length_13455_cov_10.345004||full	10	2	4	8
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	1258	1300	178	262
KSW-C63_2_V_NODE_119_length_12603_cov_8.094916||full	14	20	10	16
KSW-C63_2_V_NODE_120_length_12558_cov_7.336399||full	8	6	12	12
KSW-C63_2_V_NODE_123_length_12521_cov_8.024627||full	1344	1280	268	242
KSW-C63_2_V_NODE_133_length_12160_cov_19.647997||full	2	4	8	12
KSW-C63_2_V_NODE_135_length_12133_cov_25.632803||full	66	86	52	62
KSW-C63_2_V_NODE_137_length_12055_cov_7.291500||full	1656	1586	278	280
KSW-C63_2_V_NODE_142_length_11875_cov_59.274535||full	360	164	156	306
KSW-C63_2_V_NODE_149_length_11446_cov_5.030111||full	8	8	8	2
KSW-C63_2_V_NODE_153_length_11377_cov_12.395248||full	0	0	6	10
KSW-C63_2_V_NODE_156_length_11327_cov_8.099184||full	20	14	16	26
KSW-C63_2_V_NODE_165_length_11104_cov_4.940357||full	4	0	68	482
KSW-C63_2_V_NODE_181_length_10559_cov_5.122906||full	0	4	0	2
KSW-C63_2_V_NODE_188_length_10503_cov_9.855379||full	56	102	12	6
KSW-C63_2_V_NODE_192_length_10320_cov_39.392986||full	26	52	294	190
KSW-C63_2_V_NODE_196_length_10216_cov_9.776105||full	10	34	40	16
KSW-C63_2_V_NODE_211_length_9855_cov_9.426224||full	0	0	12	6
KSW-C63_2_V_NODE_217_length_9766_cov_4.751828||full	18	10	2	0
KSW-C63_2_V_NODE_237_length_9377_cov_5.996889||full	2	12	4	8
KSW-C63_2_V_NODE_238_length_9365_cov_5.193340||full	10	10	10	20
KSW-C63_2_V_NODE_261_length_8959_cov_22.101864||full	18	54	164	152
KSW-C63_2_V_NODE_265_length_8914_cov_7.774128||full	1338	1314	208	252
KSW-C63_2_V_NODE_287_length_8607_cov_8.574135||full	0	0	14	20
KSW-C63_2_V_NODE_291_length_8537_cov_4.944471||full	0	0	4	0
KSW-C63_2_V_NODE_302_length_8396_cov_4.963673||full	0	4	2	6
KSW-C63_2_V_NODE_317_length_8182_cov_14.287560||full	2	6	6	8
KSW-C63_2_V_NODE_319_length_8097_cov_6.024123||full	0	0	10	6
KSW-C63_2_V_NODE_320_length_8095_cov_170.122637||full	26	56	56	72
KSW-C63_2_V_NODE_323_length_8028_cov_111.034366||full	110	62	120	122
KSW-C63_2_V_NODE_326_length_8004_cov_10.103912||full	0	4	0	0
KSW-C63_2_V_NODE_327_length_8003_cov_10.731631||full	22	18	18	12
KSW-C63_2_V_NODE_330_length_7967_cov_19.069009||full	14	4	12	20
KSW-C63_2_V_NODE_331_length_7953_cov_1609.497088||full	0	2	0	0
KSW-C63_2_V_NODE_340_length_7849_cov_9.278034||full	32	24	30	18
KSW-C63_2_V_NODE_342_length_7807_cov_4.003483||full	4	8	0	0
KSW-C63_2_V_NODE_345_length_7770_cov_4.513415||full	0	10	10	6
KSW-C63_2_V_NODE_354_length_7624_cov_49.391597||full	122	92	58	52
KSW-C63_2_V_NODE_358_length_7526_cov_4.615714||full	6	2	0	0
KSW-C63_2_V_NODE_366_length_7415_cov_12.676766||full	0	0	18	14
KSW-C63_2_V_NODE_372_length_7343_cov_75.571762||full	2	18	116	302
KSW-C63_2_V_NODE_374_length_7336_cov_8.071419||full	0	0	2	2
KSW-C63_2_V_NODE_376_length_7332_cov_7.660712||full	8	14	54	30
KSW-C63_2_V_NODE_379_length_7301_cov_152.650152||full	0	2	26	28
KSW-C63_2_V_NODE_380_length_7285_cov_171.417981||full	92	64	86	122
KSW-C63_2_V_NODE_383_length_7268_cov_7.843477||full	6	0	8	0
KSW-C63_2_V_NODE_386_length_7224_cov_558.355838||full	74	130	50	114
KSW-C63_2_V_NODE_391_length_7177_cov_3.655434||full	10	6	0	0
KSW-C63_2_V_NODE_402_length_7051_cov_6.748999||full	2	2	2	2
KSW-C63_2_V_NODE_435_length_6810_cov_4.541081||full	2	0	0	4
KSW-C63_2_V_NODE_444_length_6725_cov_43.140630||full	58	38	40	30
KSW-C63_2_V_NODE_445_length_6723_cov_3.522346||full	6	12	20	4
KSW-C63_2_V_NODE_446_length_6706_cov_14.654187||full	0	0	2	8
KSW-C63_2_V_NODE_454_length_6654_cov_11.639642||full	26	28	22	8
KSW-C63_2_V_NODE_457_length_6628_cov_7.483797||full	24	16	10	12
KSW-C63_2_V_NODE_461_length_6591_cov_5.131732||full	4	4	28	12
KSW-C63_2_V_NODE_465_length_6556_cov_13.488233||full	0	0	2	2
KSW-C63_2_V_NODE_466_length_6548_cov_7.819190||full	12	8	4	14
KSW-C63_2_V_NODE_469_length_6537_cov_4.446776||full	64	44	14	2
KSW-C63_2_V_NODE_484_length_6434_cov_4.373099||full	8	8	2	6
KSW-C63_2_V_NODE_485_length_6424_cov_7.680327||full	0	0	2	4
KSW-C63_2_V_NODE_490_length_6374_cov_3.462257||full	6	4	2	18
KSW-C63_2_V_NODE_491_length_6373_cov_10.186451||full	10	2	0	2
KSW-C63_2_V_NODE_497_length_6347_cov_4.270661||full	2	2	4	2
KSW-C63_2_V_NODE_500_length_6334_cov_4.347030||full	0	0	2	0
KSW-C63_2_V_NODE_504_length_6267_cov_4.098680||full	20	10	4	2
KSW-C63_2_V_NODE_522_length_6168_cov_62.783903||full	0	2	0	0
KSW-C63_2_V_NODE_526_length_6152_cov_3.842053||full	0	0	2	0
KSW-C63_2_V_NODE_534_length_6096_cov_5.879325||full	0	0	2	4
KSW-C63_2_V_NODE_538_length_6059_cov_4.711359||full	0	0	4	0
KSW-C63_2_V_NODE_541_length_6021_cov_138.924573||full	6	4	54	82
KSW-C63_2_V_NODE_546_length_6006_cov_6.490170||full	4	4	2	8
KSW-C63_2_V_NODE_558_length_5925_cov_11.373595||full	4	10	10	12
KSW-C63_2_V_NODE_561_length_5913_cov_10.107716||full	124	138	26	22
KSW-C63_2_V_NODE_569_length_5877_cov_4.856750||full	16	26	6	2
KSW-C63_2_V_NODE_571_length_5874_cov_5.283554||full	10	8	16	8
KSW-C63_2_V_NODE_574_length_5858_cov_5.188696||full	0	0	0	20
KSW-C63_2_V_NODE_575_length_5855_cov_7.570000||full	2	24	8	16
KSW-C63_2_V_NODE_577_length_5845_cov_5.982902||full	16	16	2	0
KSW-C63_2_V_NODE_596_length_5715_cov_4.420671||full	382	402	112	100
KSW-C63_2_V_NODE_609_length_5648_cov_6.617736||full	0	0	2	0
KSW-C63_2_V_NODE_613_length_5627_cov_5.319095||full	0	4	4	0
KSW-C63_2_V_NODE_621_length_5583_cov_37.929269||full	10	28	120	124
KSW-C63_2_V_NODE_626_length_5563_cov_9.444263||full	6	4	9682	18842
KSW-C63_2_V_NODE_634_length_5523_cov_3.299195||full	50	74	26	6
KSW-C63_2_V_NODE_635_length_5515_cov_10.617399||full	0	2	7218	13910
KSW-C63_2_V_NODE_642_length_5490_cov_4.307452||full	2	10	0	4
KSW-C63_2_V_NODE_644_length_5481_cov_13.511058||full	10	18	16	44
KSW-C63_2_V_NODE_647_length_5452_cov_5.229016||full	0	0	2	8
KSW-C63_2_V_NODE_654_length_5423_cov_7.566505||full	6	4	4	0
KSW-C63_2_V_NODE_655_length_5417_cov_43.285714||full	0	2	20	8
KSW-C63_2_V_NODE_660_length_5396_cov_66.340198||full	2	2	20	14
KSW-C63_2_V_NODE_678_length_5339_cov_6.732021||full	22	8	2	2
KSW-C63_2_V_NODE_693_length_5285_cov_6.577629||full	2	0	0	2
KSW-C63_2_V_NODE_697_length_5271_cov_4.207439||full	0	2	2	4
KSW-C63_2_V_NODE_705_length_5238_cov_12.187343||full	0	4	0	0
KSW-C63_2_V_NODE_712_length_5209_cov_4.877377||full	0	0	0	2
KSW-C63_2_V_NODE_714_length_5203_cov_5.329448||full	0	16	4	4
KSW-C63_2_V_NODE_720_length_5186_cov_5.365231||full	6	10	0	0
KSW-C63_2_V_NODE_725_length_5165_cov_13.036204||full	156	308	212	78
KSW-C63_2_V_NODE_739_length_5125_cov_5.916765||full	2	8	2	4
KSW-C63_2_V_NODE_749_length_5088_cov_12.124379||full	2	0	6	14
KSW-C63_2_V_NODE_776_length_5018_cov_4.378400||full	2	32	22	28
KSW-T0_1_V_NODE_1_length_85718_cov_15.650713||full	1238	730	1612	4058
KSW-T0_1_V_NODE_8_length_34924_cov_52.617138||full	56	44	84	100
KSW-T0_1_V_NODE_9_length_34741_cov_120.764429||full	36	40	166	192
KSW-T0_1_V_NODE_17_length_29066_cov_379.179208||full	78	142	190	228
KSW-T0_1_V_NODE_18_length_28102_cov_38.885014||full	616	514	344	322
KSW-T0_1_V_NODE_22_length_25887_cov_45.202036||full	854	786	462	704
KSW-T0_1_V_NODE_29_length_24785_cov_140.963122||full	44	76	88	130
KSW-T0_1_V_NODE_51_length_18592_cov_18.072881||full	18	10	14	6
KSW-T0_1_V_NODE_54_length_17967_cov_6.502289||full	0	0	0	2
KSW-T0_1_V_NODE_61_length_16323_cov_13.281165||full	6	4	2	0
KSW-T0_1_V_NODE_62_length_16291_cov_14.648928||full	98	68	30	14
KSW-T0_1_V_NODE_67_length_15748_cov_21.417830||full	4	8	18	36
KSW-T0_1_V_NODE_69_length_15590_cov_71.346186||full	692	406	342	628
KSW-T0_1_V_NODE_76_length_15029_cov_8.130359||full	0	6	6	8
KSW-T0_1_V_NODE_86_length_13804_cov_20.714888||full	16	18	8	0
KSW-T0_1_V_NODE_87_length_13801_cov_79.296159||full	0	2	112	278
KSW-T0_1_V_NODE_88_length_13781_cov_44.754626||full	498	298	526	834
KSW-T0_1_V_NODE_89_length_13759_cov_38.742046||full	230	134	138	200
KSW-T0_1_V_NODE_105_length_12692_cov_4.289230||full	6	2	10	12
KSW-T0_1_V_NODE_111_length_12513_cov_7.608846||full	32	20	18	20
KSW-T0_1_V_NODE_115_length_12100_cov_59.326609||full	178	158	262	242
KSW-T0_1_V_NODE_119_length_11789_cov_22.633288||full	200	132	86	238
KSW-T0_1_V_NODE_122_length_11710_cov_4.919262||full	6	0	2	6
KSW-T0_1_V_NODE_126_length_11419_cov_22.044087||full	6	14	4	8
KSW-T0_1_V_NODE_128_length_11297_cov_36.684754||full	14	18	24	26
KSW-T0_1_V_NODE_134_length_10975_cov_5.727106||full	16	12	4	12
KSW-T0_1_V_NODE_139_length_10733_cov_18.987451||full	158	80	66	120
KSW-T0_1_V_NODE_141_length_10699_cov_3664.102499||full	524	658	3334	3898
KSW-T0_1_V_NODE_145_length_10515_cov_7.561663||full	4	2	2	16
KSW-T0_1_V_NODE_148_length_10424_cov_6.630148||full	74	40	36	2
KSW-T0_1_V_NODE_154_length_10037_cov_8.087457||full	0	4	18	8
KSW-T0_1_V_NODE_160_length_9932_cov_19.058824||full	14	10	12	6
KSW-T0_1_V_NODE_163_length_9874_cov_7.575517||full	2	2	4	8
KSW-T0_1_V_NODE_167_length_9756_cov_10.500258||full	18	10	8	8
KSW-T0_1_V_NODE_179_length_9411_cov_5.766888||full	24	2	6	4
KSW-T0_1_V_NODE_188_length_9302_cov_9.907321||full	0	0	30	28
KSW-T0_1_V_NODE_189_length_9252_cov_4.890508||full	0	0	4	10
KSW-T0_1_V_NODE_205_length_9037_cov_7.198174||full	4	0	0	4
KSW-T0_1_V_NODE_206_length_9029_cov_7.722755||full	0	0	0	10
KSW-T0_1_V_NODE_211_length_8970_cov_4.199551||full	0	2	8	4
KSW-T0_1_V_NODE_212_length_8963_cov_38.502470||full	4	8	10	14
KSW-T0_1_V_NODE_221_length_8830_cov_20.468376||full	4	4	8	14
KSW-T0_1_V_NODE_232_length_8595_cov_9.036417||full	44	214	16	26
KSW-T0_1_V_NODE_235_length_8515_cov_5.173995||full	12	8	22	10
KSW-T0_1_V_NODE_237_length_8474_cov_12.754246||full	0	2	2	0
KSW-T0_1_V_NODE_243_length_8357_cov_10.014695||full	0	4	4	2
KSW-T0_1_V_NODE_256_length_8098_cov_14.570558||full	0	0	4	4
KSW-T0_1_V_NODE_268_length_7805_cov_8.234065||full	80	36	18	34
KSW-T0_1_V_NODE_275_length_7741_cov_26.208951||full	10	6	10	18
KSW-T0_1_V_NODE_276_length_7717_cov_8.605717||full	0	14	4	30
KSW-T0_1_V_NODE_285_length_7567_cov_9.783546||full	4	4	2	0
KSW-T0_1_V_NODE_287_length_7549_cov_8.155991||full	0	10	6	10
KSW-T0_1_V_NODE_288_length_7524_cov_12.356942||full	0	4	0	0
KSW-T0_1_V_NODE_292_length_7446_cov_7.541605||full	16	56	8	6
KSW-T0_1_V_NODE_301_length_7346_cov_28.857084||full	2	8	6	4
KSW-T0_1_V_NODE_302_length_7323_cov_14.232251||full	6	6	4	20
KSW-T0_1_V_NODE_306_length_7248_cov_87.051300||full	28	22	50	60
KSW-T0_1_V_NODE_307_length_7230_cov_8.574077||full	0	2	0	2
KSW-T0_1_V_NODE_331_length_6948_cov_6.493399||full	36	128	12	8
KSW-T0_1_V_NODE_333_length_6910_cov_15.716411||full	10	12	30	28
KSW-T0_1_V_NODE_352_length_6711_cov_32.142127||full	12	26	58	40
KSW-T0_1_V_NODE_353_length_6707_cov_5.937462||full	0	0	2	10
KSW-T0_1_V_NODE_354_length_6702_cov_275.489394||full	68	66	78	82
KSW-T0_1_V_NODE_355_length_6701_cov_6.220885||full	2	2	0	6
KSW-T0_1_V_NODE_356_length_6700_cov_3.331828||full	2	4	0	0
KSW-T0_1_V_NODE_383_length_6346_cov_21.901764||full	0	2	4	10
KSW-T0_1_V_NODE_385_length_6332_cov_6.088577||full	12	2	0	4
KSW-T0_1_V_NODE_388_length_6305_cov_19.393920||full	0	2	14	10
KSW-T0_1_V_NODE_393_length_6278_cov_5.285393||full	20	18	8	18
KSW-T0_1_V_NODE_394_length_6277_cov_79.254581||full	100	62	34	28
KSW-T0_1_V_NODE_421_length_6127_cov_4.933959||full	6	4	0	2
KSW-T0_1_V_NODE_423_length_6112_cov_72.891035||full	4	6	16	8
KSW-T0_1_V_NODE_455_length_5855_cov_6.612586||full	2	2	0	0
KSW-T0_1_V_NODE_464_length_5819_cov_4.165857||full	2	4	2	0
KSW-T0_1_V_NODE_465_length_5813_cov_4.472560||full	2	0	4	6
KSW-T0_1_V_NODE_479_length_5746_cov_18.678088||full	0	0	2	6
