Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-T0_2_V_NODE_104_length_9577_cov_349.798467||full	11.15471	16.023386	0	0	0	0	11.4268465	11.725742
KSW-T0_2_V_NODE_106_length_9473_cov_12.794861||full	0	0	0	0	0	0	0	2.3286018
KSW-T0_2_V_NODE_155_length_7758_cov_5.958717||full	0	8.26773	0	0	0	0	0	0
KSW-T0_2_V_NODE_247_length_5905_cov_495.044957||full	14.408922	21.15407	0	2.8883276	0	13.322472	11.829192	12.639177
KSW-T0_2_V_NODE_266_length_5759_cov_7.346599||full	10.67337	17.835325	4.7946258	0	9.640557	0	0	0
KSW-T63_1_V_NODE_5_length_53316_cov_53.143501||full	113.35523	8.246859	16.523323	11.432992	0	0	0	0
KSW-T63_1_V_NODE_9_length_50237_cov_17.702005||full	5.212086	5.899308	0	0	0	0	0	0
KSW-T63_1_V_NODE_13_length_45344_cov_347.440747||full	13.667536	4.771701	14.709398	4.2328596	26.755756	18.516296	3.3130634	0
KSW-T63_1_V_NODE_14_length_43368_cov_28.636599||full	0	0	8.639637	66.5814	0	0	58.09589	183.11337
KSW-T63_1_V_NODE_18_length_41262_cov_25.976824||full	0	0	6.8051853	54.035633	0	0	48.437817	156.5792
KSW-T63_1_V_NODE_32_length_33674_cov_23.954787||full	0	0	3.7807868	31.361128	0	0	31.622326	106.94609
KSW-T63_1_V_NODE_42_length_29208_cov_25.888451||full	0	4.3877296	0	0	0	0	0	0
KSW-T63_1_V_NODE_44_length_28506_cov_17.685565||full	0	3.9585512	0	0	0	0	0	0
KSW-T63_1_V_NODE_49_length_26667_cov_128.731925||full	22.644213	10.117078	17.764767	6.383096	19.607622	19.175005	3.443036	3.2972522
KSW-T63_1_V_NODE_54_length_25635_cov_77.352267||full	14.634327	5.3249917	8.698161	3.4696681	37.3903	27.815893	7.4709253	13.093804
KSW-T63_1_V_NODE_59_length_24607_cov_140.232690||full	0	5.2194877	0	0	0	0	0	0
KSW-T63_1_V_NODE_78_length_22218_cov_26.782746||full	0	0	6.0890017	53.630634	0	0	46.697598	150.8178
KSW-T63_1_V_NODE_88_length_20659_cov_7.440497||full	10.982479	33.64833	4.1778593	3.107976	0	12.665389	0	0
KSW-T63_1_V_NODE_95_length_20027_cov_23.512167||full	0	0	4.355838	37.02806	0	0	35.805397	120.19221
KSW-T63_1_V_NODE_107_length_19026_cov_102.619525||full	11.829015	6.165071	4.608985	0	16.316645	10.721853	0	0
KSW-T63_1_V_NODE_117_length_18623_cov_46.140187||full	0	0	15.804044	411.85007	0	0	530.459	713.6251
KSW-T63_1_V_NODE_121_length_18295_cov_38.466831||full	9.790617	4.719318	3.6671622	0	18.513254	27.015486	2.9845774	2.1362476
KSW-T63_1_V_NODE_123_length_18050_cov_7.153376||full	42.22796	44.095448	23.757734	12.154062	103.17312	117.960785	5.354537	4.1515937
KSW-T63_1_V_NODE_136_length_17542_cov_194.746612||full	0	0	0	0	0	0	2.4182642	3.205296
KSW-T63_1_V_NODE_137_length_17279_cov_13.107408||full	0	6.0196004	0	0	0	0	0	0
KSW-T63_1_V_NODE_147_length_16536_cov_40.283781||full	6.0384316	9.435161	0	0	0	12.616974	0	0
KSW-T63_1_V_NODE_158_length_15962_cov_27.304709||full	4.8340497	0	4.681398	0	0	0	0	0
KSW-T63_1_V_NODE_167_length_15220_cov_87.840356||full	6.100384	4.7638125	3.3131382	0	0	0	0	0
KSW-T63_1_V_NODE_176_length_14840_cov_19.181603||full	21.779938	31.44908	5.842714	6.039644	0	0	0	0
KSW-T63_1_V_NODE_188_length_14465_cov_6.047536||full	0	2.985056	0	0	0	0	0	0
KSW-T63_1_V_NODE_222_length_13264_cov_26.757665||full	0	0	3.6216276	26.397348	0	0	25.635174	78.93369
KSW-T63_1_V_NODE_223_length_13260_cov_73.216282||full	0	3.8160703	0	0	0	0	0	0
KSW-T63_1_V_NODE_224_length_13249_cov_29.167197||full	0	0	5.1407375	37.428886	0	0	35.66484	118.97347
KSW-T63_1_V_NODE_248_length_12703_cov_27.210152||full	11.535112	16.663004	6.0502496	10.467123	0	0	6.840377	4.3704767
KSW-T63_1_V_NODE_249_length_12644_cov_35.899277||full	0	5.509753	0	0	0	0	0	0
KSW-T63_1_V_NODE_277_length_12212_cov_303.182611||full	0	0	0	0	0	0	12.160205	11.432207
KSW-T63_1_V_NODE_290_length_11979_cov_115.220060||full	0	0	0	0	0	0	5.9406643	15.20902
KSW-T63_1_V_NODE_305_length_11687_cov_9.782669||full	34.070007	38.41593	21.517437	11.329606	83.502144	100.953026	4.735565	3.0244823
KSW-T63_1_V_NODE_307_length_11561_cov_29.064227||full	6.030831	7.631701	0	0	0	0	0	0
KSW-T63_1_V_NODE_347_length_10937_cov_8.561845||full	6.212333	6.8352647	0	0	0	0	0	0
KSW-T63_1_V_NODE_368_length_10604_cov_437.998673||full	0	0	0	0	0	0	2.9945512	2.1740863
KSW-T63_1_V_NODE_383_length_10353_cov_29.712177||full	0	5.4405303	0	0	0	0	0	0
KSW-T63_1_V_NODE_400_length_10112_cov_36.927115||full	8.384683	11.972658	3.8248703	6.216107	0	0	4.434132	3.5631418
KSW-T63_1_V_NODE_413_length_9965_cov_55.867104||full	3.1636446	0	2.959139	0	0	0	0	0
KSW-T63_1_V_NODE_420_length_9896_cov_9.144193||full	0	6.3123646	0	0	0	0	0	0
KSW-T63_1_V_NODE_424_length_9823_cov_7.655098||full	0	8.93499	0	0	0	0	0	0
KSW-T63_1_V_NODE_445_length_9602_cov_14.263957||full	0	4.7396126	0	0	0	0	0	0
KSW-T63_1_V_NODE_466_length_9404_cov_30.973794||full	0	0	3.444865	28.886093	0	0	30.33821	101.96082
KSW-T63_1_V_NODE_479_length_9279_cov_9.660234||full	0	6.260633	0	0	0	0	0	0
KSW-T63_1_V_NODE_509_length_8935_cov_25.322072||full	0	0	4.9046383	4.837195	0	0	3.3003526	4.133417
KSW-T63_1_V_NODE_559_length_8481_cov_26.253857||full	0	0	6.7805963	66.53128	0	0	53.808247	165.24902
KSW-T63_1_V_NODE_579_length_8322_cov_7.971453||full	0	4.3532286	0	0	0	0	0	0
KSW-T63_1_V_NODE_586_length_8275_cov_9.849635||full	36.55881	8.97496	10.5373	5.1621175	0	0	0	0
KSW-T63_1_V_NODE_614_length_8074_cov_9.426487||full	8.124769	32.444397	0	0	0	0	0	0
KSW-T63_1_V_NODE_634_length_7897_cov_5.419791||full	0	5.173787	0	0	0	0	0	0
KSW-T63_1_V_NODE_660_length_7656_cov_9.099461||full	0	0	45.218742	35.147724	0	0	45.882355	24.146658
KSW-T63_1_V_NODE_665_length_7635_cov_5.182718||full	18.88222	8.757866	4.654756	3.2411728	0	0	0	0
KSW-T63_1_V_NODE_693_length_7509_cov_48.058760||full	0	0	10.83666	240.6285	0	0	319.35764	421.19882
KSW-T63_1_V_NODE_759_length_7188_cov_140.616851||full	0	0	0	4.5790687	0	0	4.961089	4.22266
KSW-T63_1_V_NODE_762_length_7178_cov_7.928120||full	0	0	6.835068	0	0	0	0	0
KSW-T63_1_V_NODE_782_length_7067_cov_400.140616||full	0	0	0	0	0	0	0	5.174911
KSW-T63_1_V_NODE_783_length_7052_cov_9.494498||full	0	4.214818	0	0	0	0	0	0
KSW-T63_1_V_NODE_830_length_6816_cov_5.439136||full	11.187433	5.2481236	0	0	0	0	0	0
KSW-T63_1_V_NODE_834_length_6804_cov_135.502148||full	9.189692	7.6349673	9.834514	0	0	0	0	0
KSW-T63_1_V_NODE_835_length_6798_cov_25.514904||full	4.694137	0	0	0	0	0	0	0
KSW-T63_1_V_NODE_875_length_6642_cov_7.314863||full	12.157529	24.205288	0	2.8543472	0	0	0	0
KSW-T63_1_V_NODE_877_length_6626_cov_12.125247||full	4.177591	0	0	0	0	0	0	0
KSW-T63_1_V_NODE_938_length_6412_cov_5.110429||full	0	0	0	0	11.414181	11.759658	0	0
KSW-T63_1_V_NODE_948_length_6343_cov_48.159033||full	7.2680974	11.863524	5.112067	7.5417027	0	0	6.65099	3.6215339
KSW-T63_1_V_NODE_957_length_6294_cov_27.599615||full	9.107483	17.562092	0	0	0	0	0	0
KSW-T63_1_V_NODE_1037_length_6022_cov_49.798391||full	9.123418	14.031968	5.9656096	8.717292	0	0	7.2939625	4.3646226
KSW-T63_1_V_NODE_1195_length_5595_cov_6.122383||full	8.238822	16.10441	0	0	0	0	0	0
KSW-T63_1_V_NODE_1208_length_5550_cov_136.932848||full	0	0	0	4.4011445	0	0	6.494389	5.8287053
KSW-T63_1_V_NODE_1216_length_5526_cov_130.711022||full	0	0	0	0	0	0	0	8.094243
KSW-T63_1_V_NODE_1234_length_5483_cov_6.414333||full	6.7916512	11.014145	0	0	0	0	0	0
KSW-T63_1_V_NODE_1267_length_5415_cov_9.553545||full	0	15.072606	0	0	0	0	0	0
KSW-T63_1_V_NODE_1270_length_5411_cov_5.272965||full	11.954214	23.532066	4.5904355	3.801815	0	0	0	0
KSW-T63_1_V_NODE_1293_length_5362_cov_4.297532||full	0	3.8113241	0	0	0	0	0	0
KSW-T63_1_V_NODE_1322_length_5305_cov_5.146667||full	11.808633	37.209625	2.5772357	4.35061	14.914191	21.603619	2.5677006	0
KSW-T63_1_V_NODE_1327_length_5296_cov_13.548178||full	0	5.8770704	0	0	0	0	0	0
KSW-T63_1_V_NODE_1427_length_5091_cov_232.818507||full	0	0	0	0	0	0	5.266075	13.359912
KSW-T63_1_V_NODE_1452_length_5034_cov_23.797751||full	0	0	0	5.848588	0	0	0	0
KSW-T63_2_V_NODE_23_length_45985_cov_224.599739||full	0	0	0	2.5232732	0	0	10.020559	17.44395
KSW-T63_2_V_NODE_43_length_34268_cov_198.030719||full	0	0	14.21096	359.3085	0	0	462.27817	620.7032
KSW-T63_2_V_NODE_55_length_30774_cov_8.125460||full	0	11.66266	0	0	0	0	2.8689997	0
KSW-T63_2_V_NODE_84_length_26250_cov_25.902157||full	0	3.9800708	0	0	0	0	0	0
KSW-T63_2_V_NODE_85_length_26194_cov_80.082865||full	0	5.7967377	0	0	0	0	0	0
KSW-T63_2_V_NODE_107_length_23927_cov_210.847730||full	16.001348	4.541194	39.695156	13.514978	23.029121	14.651881	10.869066	8.991133
KSW-T63_2_V_NODE_113_length_23507_cov_27.458127||full	0	0	0	0	0	0	50.45757	143.83234
KSW-T63_2_V_NODE_159_length_19541_cov_40.122806||full	0	4.4267826	4.663918	0	0	0	0	0
KSW-T63_2_V_NODE_171_length_18925_cov_346.507313||full	3.9125657	4.9843507	0	0	0	0	0	1.9201702
KSW-T63_2_V_NODE_172_length_18894_cov_15.572005||full	0	3.6191757	0	0	0	0	0	0
KSW-T63_2_V_NODE_174_length_18843_cov_75.481903||full	7.8074784	0	12.352363	5.004582	9.391594	0	3.2172105	2.6617813
KSW-T63_2_V_NODE_180_length_18549_cov_61.505353||full	0	0	0	0	0	0	0	2.3942254
KSW-T63_2_V_NODE_184_length_18378_cov_10.050647||full	6.5340853	8.175444	0	0	0	0	0	0
KSW-T63_2_V_NODE_226_length_16444_cov_13.742022||full	0	0	3.4436667	0	0	0	0	0
KSW-T63_2_V_NODE_231_length_16121_cov_18.093365||full	0	0	0	0	0	0	23.226267	64.78682
KSW-T63_2_V_NODE_312_length_13554_cov_20.911401||full	7.890828	9.79902	3.4291253	5.872571	0	0	5.186244	2.5415678
KSW-T63_2_V_NODE_318_length_13459_cov_192.887571||full	0	0	0	0	0	0	0	4.8579044
KSW-T63_2_V_NODE_324_length_13259_cov_19.764844||full	0	0	0	0	0	0	0	1.8127648
KSW-T63_2_V_NODE_330_length_13077_cov_6.913608||full	4.427582	10.51005	0	0	0	0	0	0
KSW-T63_2_V_NODE_338_length_12924_cov_17.199238||full	10.344238	17.913977	6.8979063	9.041131	0	0	7.4528623	4.7281833
KSW-T63_2_V_NODE_355_length_12494_cov_8.008924||full	0	3.419352	0	10.840409	0	0	2.7074664	0
KSW-T63_2_V_NODE_358_length_12468_cov_5.898091||full	0	0	0	0	0	0	2.6776633	3.731874
KSW-T63_2_V_NODE_369_length_12288_cov_15.336303||full	4.905016	6.6515903	0	0	10.911744	0	0	0
KSW-T63_2_V_NODE_377_length_12174_cov_207.800314||full	0	0	0	0	0	0	4.271167	7.3691964
