family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.944444444	0.055555556
Flavobacteriaceae	0.7	0.3
Maricaulaceae	0.8	0.2
Granulosicoccaceae	0.5	0.5
Akkermansiaceae	1	0
Saprospiraceae	0.75	0.25
Sphingomonadaceae	0.75	0.25
Thiotrichaceae	1	0
Alteromonadaceae	1	0
UBA6164	0.5	0.5
Rhizobiaceae	1	0
Pirellulaceae	1	0
Vibrionaceae	0	0
All	0.726315789	0.273684211
