family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.933333333	0.066666667
Flavobacteriaceae	0.470588235	0.529411765
Maricaulaceae	0.95	0.05
Granulosicoccaceae	0.3	0.7
Akkermansiaceae	0.5	0.5
Saprospiraceae	0.566037736	0.433962264
Sphingomonadaceae	0.909090909	0.090909091
Thiotrichaceae	0.5	0.5
Alteromonadaceae	0.333333333	0.666666667
UBA6164	0.5	0.5
Rhizobiaceae	1	0
Pirellulaceae	0.142857143	0.857142857
Vibrionaceae	0.6	0.4
All	0.567729084	0.432270916
