family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.554794521	0.445205479
Flavobacteriaceae	0.243055556	0.756944444
Maricaulaceae	0	1
Granulosicoccaceae	0	0
Akkermansiaceae	0	1
Saprospiraceae	0.3	0.7
Sphingomonadaceae	0.375	0.625
Thiotrichaceae	0	0
Alteromonadaceae	0.454545455	0.545454545
UBA6164	0	0
Rhizobiaceae	0.666666667	0.333333333
Pirellulaceae	0	1
Vibrionaceae	0	1
All	0.325749741	0.674250259
