family	prophage_carring_pMAGs	no_prophage_carring_pMAGs
Rhodobacteraceae	0.85	0.15
Flavobacteriaceae	0.25	0.75
Maricaulaceae	0	0
Granulosicoccaceae	0	0
Akkermansiaceae	0	1
Saprospiraceae	0	1
Sphingomonadaceae	0.833333333	0.166666667
Thiotrichaceae	0	1
Alteromonadaceae	0	1
UBA6164	0	0
Rhizobiaceae	0	0
Pirellulaceae	0	1
Vibrionaceae	0.75	0.25
All	0.385288967	0.614711033
