OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Prokaryotic_ASV_105	42	48	12	3	42	37	1	0
Prokaryotic_ASV_106	13	6	2	18	9	17	84	71
Prokaryotic_ASV_107	4	6	54	85	1	3	60	16
Prokaryotic_ASV_108	22	27	17	12	33	44	28	19
Prokaryotic_ASV_109	33	29	21	16	63	32	0	2
Prokaryotic_ASV_110	6	6	31	92	4	6	42	18
Prokaryotic_ASV_111	45	36	16	2	54	32	0	0
Prokaryotic_ASV_112	0	0	35	27	0	0	76	76
Prokaryotic_ASV_113	1	2	12	27	3	3	64	91
Prokaryotic_ASV_114	6	19	27	28	20	34	38	18
Prokaryotic_ASV_115	21	37	9	8	42	39	0	2
Prokaryotic_ASV_116	0	0	57	51	0	1	60	12
Prokaryotic_ASV_117	0	2	58	16	6	4	41	70
Prokaryotic_ASV_118	0	0	1	5	0	0	175	72
Prokaryotic_ASV_119	0	0	32	31	0	0	39	89
Prokaryotic_ASV_120	41	55	1	1	26	26	0	1
Prokaryotic_ASV_121	8	8	68	25	18	6	17	1
Prokaryotic_ASV_122	36	36	2	2	38	34	3	5
Prokaryotic_ASV_123	0	1	28	134	0	0	9	10
Prokaryotic_ASV_124	0	0	23	16	4	0	48	94
Prokaryotic_ASV_125	55	33	5	1	22	23	2	2
Prokaryotic_ASV_126	31	41	0	0	40	33	0	0
Prokaryotic_ASV_127	27	24	3	10	39	59	1	4
Prokaryotic_ASV_128	32	44	12	4	21	13	0	1
Prokaryotic_ASV_129	0	0	28	39	1	0	25	69
Prokaryotic_ASV_130	5	10	4	7	18	18	32	32
Prokaryotic_ASV_131	26	26	5	1	30	51	0	1
Prokaryotic_ASV_132	17	22	12	17	25	24	5	4
Prokaryotic_ASV_133	3	0	19	50	0	13	39	33
Prokaryotic_ASV_134	10	12	20	19	36	23	16	25
Prokaryotic_ASV_135	21	37	14	34	17	16	14	7
Prokaryotic_ASV_136	8	8	8	18	5	0	45	76
Prokaryotic_ASV_137	1	3	48	42	0	2	31	18
Prokaryotic_ASV_138	24	29	0	2	25	36	0	0
Prokaryotic_ASV_139	20	19	2	0	39	42	0	0
Prokaryotic_ASV_140	19	35	5	0	23	20	0	1
Prokaryotic_ASV_141	30	19	0	0	21	29	1	1
Prokaryotic_ASV_142	0	2	73	20	0	0	18	7
Prokaryotic_ASV_143	22	19	1	1	26	26	0	1
Prokaryotic_ASV_144	23	27	21	5	21	20	2	0
Prokaryotic_ASV_145	1	2	0	1	45	43	5	17
Prokaryotic_ASV_146	8	11	21	18	14	9	27	27
Prokaryotic_ASV_147	1	12	27	67	2	4	2	10
Prokaryotic_ASV_148	24	10	1	0	23	48	0	0
Prokaryotic_ASV_149	20	37	0	0	37	34	0	0
Prokaryotic_ASV_150	21	24	16	21	16	13	2	1
Prokaryotic_ASV_151	10	12	0	7	37	28	5	8
Prokaryotic_ASV_152	1	1	13	33	4	5	37	25
Prokaryotic_ASV_153	6	6	45	33	3	16	0	0
Prokaryotic_ASV_154	0	0	0	0	2	0	80	52
Prokaryotic_ASV_155	0	0	36	46	2	1	14	14
Prokaryotic_ASV_156	0	1	22	42	1	0	27	17
Prokaryotic_ASV_157	15	15	17	22	16	15	1	7
Prokaryotic_ASV_158	28	31	3	0	27	16	0	0
Prokaryotic_ASV_159	16	36	0	5	17	14	4	0
Prokaryotic_ASV_160	0	0	0	0	0	0	58	59
Prokaryotic_ASV_161	16	21	1	1	13	14	7	4
Prokaryotic_ASV_162	32	21	0	0	14	25	0	0
Prokaryotic_ASV_163	14	10	2	0	34	19	2	4
Prokaryotic_ASV_164	0	0	0	0	0	1	81	33
Prokaryotic_ASV_165	17	23	0	0	19	28	0	0
Prokaryotic_ASV_166	0	0	12	77	0	0	1	11
Prokaryotic_ASV_167	21	22	12	1	13	16	0	0
Prokaryotic_ASV_168	13	13	0	0	17	47	0	0
Prokaryotic_ASV_169	1	0	39	20	2	1	17	28
Prokaryotic_ASV_170	3	0	7	23	1	2	27	25
Prokaryotic_ASV_171	0	0	13	3	1	0	34	80
Prokaryotic_ASV_172	17	28	2	0	15	26	0	0
Prokaryotic_ASV_173	13	7	12	6	18	21	9	13
Prokaryotic_ASV_174	22	14	6	1	17	18	0	0
Prokaryotic_ASV_175	11	18	9	2	11	33	1	0
Prokaryotic_ASV_176	1	0	0	1	0	0	44	68
Prokaryotic_ASV_177	9	14	3	12	22	22	13	0
Prokaryotic_ASV_178	0	0	0	0	1	0	106	16
Prokaryotic_ASV_179	16	11	7	2	21	18	5	1
Prokaryotic_ASV_180	0	0	50	15	0	2	12	4
Prokaryotic_ASV_181	20	21	0	0	10	35	0	2
Prokaryotic_ASV_182	20	15	0	2	17	16	0	0
Prokaryotic_ASV_183	20	16	12	0	8	13	1	1
Prokaryotic_ASV_184	8	21	0	2	16	24	0	0
Prokaryotic_ASV_185	0	1	35	47	0	0	9	13
Prokaryotic_ASV_186	0	0	3	8	0	1	29	48
Prokaryotic_ASV_187	7	25	5	4	11	18	3	0
Prokaryotic_ASV_188	1	10	16	1	22	16	3	6
Prokaryotic_ASV_189	0	5	7	24	6	7	23	14
Prokaryotic_ASV_190	1	0	2	8	0	0	79	3
Prokaryotic_ASV_191	0	0	2	0	1	0	68	23
Prokaryotic_ASV_192	28	14	2	0	24	22	0	0
Prokaryotic_ASV_193	0	0	15	36	2	2	6	4
Prokaryotic_ASV_194	0	0	20	42	0	0	12	15
Prokaryotic_ASV_195	0	0	0	2	3	0	49	35
Prokaryotic_ASV_196	14	13	0	0	8	10	15	26
Prokaryotic_ASV_197	0	0	20	18	0	0	35	11
Prokaryotic_ASV_198	0	0	4	18	0	0	47	32
Prokaryotic_ASV_199	2	2	1	17	8	2	10	41
Prokaryotic_ASV_200	0	0	46	3	0	0	9	30
Prokaryotic_ASV_201	23	18	1	0	25	18	0	0
Prokaryotic_ASV_202	0	0	3	3	25	25	14	9
Prokaryotic_ASV_203	9	21	0	3	12	26	0	0
Prokaryotic_ASV_204	14	14	6	5	23	26	0	1
Prokaryotic_ASV_205	0	3	0	0	8	0	33	39
Prokaryotic_ASV_206	0	0	10	23	0	0	44	32
Prokaryotic_ASV_207	17	11	0	0	20	25	0	0
Prokaryotic_ASV_208	11	13	8	3	17	16	0	0
Prokaryotic_ASV_209	8	11	0	1	28	12	6	2
Prokaryotic_ASV_210	7	10	33	2	4	9	0	0
Prokaryotic_ASV_211	0	0	28	19	3	0	10	9
Prokaryotic_ASV_212	0	0	8	44	0	0	9	19
Prokaryotic_ASV_213	0	0	3	1	0	0	58	26
Prokaryotic_ASV_214	0	0	3	0	23	41	10	15
Prokaryotic_ASV_215	9	4	19	6	6	12	3	0
Prokaryotic_ASV_216	15	8	1	0	13	9	0	0
Prokaryotic_ASV_217	25	15	2	3	13	3	2	3
Prokaryotic_ASV_218	21	17	1	0	5	17	0	0
Prokaryotic_ASV_219	24	28	4	0	15	6	0	0
Prokaryotic_ASV_220	15	24	1	0	12	17	0	0
Prokaryotic_ASV_221	0	2	15	26	5	0	9	7
Prokaryotic_ASV_222	0	0	13	53	0	0	1	5
Prokaryotic_ASV_223	0	0	6	8	0	0	53	17
Prokaryotic_ASV_224	0	1	5	26	1	0	36	6
Prokaryotic_ASV_225	2	17	2	1	19	13	0	0
Prokaryotic_ASV_226	0	0	1	1	0	0	46	27
Prokaryotic_ASV_227	9	2	0	6	20	14	2	3
Prokaryotic_ASV_228	0	1	11	16	0	0	30	26
Prokaryotic_ASV_229	39	9	3	1	8	5	0	1
Prokaryotic_ASV_230	13	6	3	19	7	8	0	0
