OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Cell-enriched-vOTU_189	41.89774	20.831894	122.43855	14.078587	186.4364	151.19206	8.727055	7.592556
Cell-enriched-vOTU_190	35.88584	21.910416	6.758937	8.408299	188.90564	238.72852	25.605738	24.814243
Cell-enriched-vOTU_191	68.4201	34.92039	22.650116	0	227.56494	192.74512	0	0
Cell-enriched-vOTU_192	0	0	152.47964	140.03061	0	0	179.4915	72.6019
Cell-enriched-vOTU_193	18.34241	37.495987	0	0	199.00648	289.24	0	0
Cell-enriched-vOTU_194	39.617268	26.984177	0	0	130.3003	336.35962	6.081234	3.5727136
Cell-enriched-vOTU_195	0	0	6.388034	135.24745	0	0	171.70985	222.25209
Cell-enriched-vOTU_196	0	0	4.2797074	132.04715	0	0	173.46454	223.15474
Cell-enriched-vOTU_197	0	0	150.20955	138.04509	0	0	172.87758	68.61317
Cell-enriched-vOTU_198	7.663502	0	9.90746	7.6543245	187.9575	263.56497	33.60096	19.07652
Cell-enriched-vOTU_199	0	0	146.68848	135.65465	0	0	175.66978	70.13409
Cell-enriched-vOTU_200	48.184116	30.166319	2.2267332	0	131.10893	301.08838	5.9203234	3.6543722
Cell-enriched-vOTU_201	0	0	138.8015	137.1091	0	0	170.32536	68.90572
Cell-enriched-vOTU_202	40.068344	17.380026	116.07271	13.9037075	170.45723	129.50116	7.373679	5.6545835
Cell-enriched-vOTU_203	38.538765	18.231169	112.79002	13.064852	169.97008	129.48979	8.092817	6.442838
Cell-enriched-vOTU_204	0	0	134.81657	130.7039	0	0	164.32494	63.475025
Cell-enriched-vOTU_205	16.775644	12.925627	4.0585246	4.2819757	145.5451	288.7933	13.043577	6.616413
Cell-enriched-vOTU_206	0	0	6.615581	134.8275	0	0	144.50313	205.56892
Cell-enriched-vOTU_207	61.891655	49.896507	0	0	167.16707	211.21062	0	0
Cell-enriched-vOTU_208	55.780945	53.464058	30.835749	16.510366	147.54175	173.69801	7.2848353	4.8397164
Cell-enriched-vOTU_209	0	0	131.17021	123.90111	0	0	160.03667	62.260853
Cell-enriched-vOTU_210	0	0	10.308742	116.60971	0	0	112.439674	236.95934
Cell-enriched-vOTU_211	37.41106	17.539482	117.779175	12.465196	163.6488	113.04209	7.073991	6.1569734
Cell-enriched-vOTU_212	11.166073	15.651193	51.740425	70.03973	51.196323	82.29693	125.387794	65.93251
Cell-enriched-vOTU_213	0	0	0	121.725716	0	0	139.20842	207.99869
Cell-enriched-vOTU_214	0	0	131.31364	121.37717	0	0	153.38992	60.107437
Cell-enriched-vOTU_215	34.156597	5.036953	27.0127	69.94595	91.36326	132.47168	68.78755	37.132614
Cell-enriched-vOTU_216	37.31456	18.62589	115.82272	12.618754	151.11565	114.04962	6.2396955	6.133603
Cell-enriched-vOTU_217	97.727715	83.75733	43.31193	20.265434	72.53738	112.84704	16.216684	14.600571
Cell-enriched-vOTU_218	0	0	70.42108	185.20079	15.517657	19.562336	90.27485	77.55276
Cell-enriched-vOTU_219	17.46154	0	5.093883	3.588807	194.56842	227.8563	0	4.140573
Cell-enriched-vOTU_220	33.52081	16.434994	118.1018	9.747276	143.75044	117.79185	7.4693317	4.4559317
Cell-enriched-vOTU_221	34.156372	11.504495	36.169098	33.14074	118.629005	198.73293	6.0466022	12.060722
Cell-enriched-vOTU_222	0	0	15.235019	114.87212	0	0	129.889	184.70984
Cell-enriched-vOTU_223	39.29622	35.105854	32.49787	45.942047	61.220333	86.416626	74.450584	67.81989
Cell-enriched-vOTU_224	0	0	123.67915	111.44093	0	0	147.08237	60.43031
Cell-enriched-vOTU_225	0	0	93.82214	75.60514	0	0	110.976326	159.07391
Cell-enriched-vOTU_226	97.17036	79.57362	41.773136	17.90828	60.27089	110.86099	15.353365	14.5627
Cell-enriched-vOTU_227	63.7857	33.914974	3.2271738	0	150.81158	184.16524	0	0
Cell-enriched-vOTU_228	32.86411	14.865162	112.728935	11.686767	136.08943	111.317535	5.5667067	6.3678923
Cell-enriched-vOTU_229	34.26304	16.373873	108.47253	10.730127	145.85837	101.45715	6.9010177	5.1000047
Cell-enriched-vOTU_230	55.068222	32.679794	0	0	144.93123	194.35728	0	0
Cell-enriched-vOTU_231	32.863575	13.853489	92.54978	9.788023	150.6557	113.6292	6.491064	5.4029846
Cell-enriched-vOTU_232	29.444607	21.317585	0	0	119.45319	254.1235	0	0
Cell-enriched-vOTU_233	31.577475	15.853273	101.2461	11.612662	138.31427	111.2233	7.942902	4.836494
Cell-enriched-vOTU_234	0	0	0	97.51987	0	0	133.9464	187.75645
Cell-enriched-vOTU_235	31.646175	14.500779	95.94046	10.474662	142.98242	110.20716	6.6929803	5.0609365
Cell-enriched-vOTU_236	31.182964	14.838621	110.97165	10.425679	138.37979	99.20526	5.0869946	4.23899
Cell-enriched-vOTU_237	64.8359	208.62123	5.537201	0	59.79813	73.2458	0	0
Cell-enriched-vOTU_238	61.60029	44.688236	0	0	136.03487	169.50587	0	0
Cell-enriched-vOTU_239	34.680065	15.893346	113.4207	8.913191	132.19574	95.14723	4.350836	4.136714
Cell-enriched-vOTU_240	32.06901	16.02073	84.36145	12.325575	145.08441	107.498985	5.545057	4.907225
Cell-enriched-vOTU_241	93.84675	88.48894	36.02288	19.926264	52.92779	94.329	10.778459	11.371011
Cell-enriched-vOTU_242	0	0	3.747803	94.481514	0	0	124.11621	183.56992
Cell-enriched-vOTU_243	23.212353	3.6124377	12.22886	17.365461	178.35194	156.98846	7.8603983	4.9950466
Cell-enriched-vOTU_244	13.889868	30.604292	0	0	158.26299	194.55273	0	0
Cell-enriched-vOTU_245	55.936676	36.51708	3.007167	0	119.987366	179.82013	0	0
Cell-enriched-vOTU_246	61.535656	56.591236	35.619102	27.569746	39.513073	46.315033	67.27295	58.545135
Cell-enriched-vOTU_247	30.938316	13.910414	96.95074	10.941632	129.29381	100.46563	5.582219	4.2660728
Cell-enriched-vOTU_248	0	0	50.821995	179.23091	9.757663	12.695505	64.90481	67.51233
Cell-enriched-vOTU_249	15.184521	12.279563	4.145617	1.9305938	122.34099	214.01744	10.799032	4.220229
Cell-enriched-vOTU_250	51.303654	25.093027	12.655055	0	173.38412	121.78092	0	0
Cell-enriched-vOTU_251	7.2905025	0	7.4615545	6.256059	137.1459	180.38463	29.550941	14.311842
Cell-enriched-vOTU_252	55.209385	20.795008	2.7467575	0	126.430305	175.50758	0	0
Cell-enriched-vOTU_253	44.419926	48.377495	21.134825	12.570574	118.605934	123.30418	5.6942787	5.0425463
Cell-enriched-vOTU_254	40.635296	43.24433	17.956972	7.03655	116.75895	136.60623	10.185083	5.5924892
Cell-enriched-vOTU_255	30.508257	13.378322	80.47948	10.635661	128.7961	102.38026	6.1639404	4.12652
Cell-enriched-vOTU_256	51.431507	54.171375	34.474327	25.293516	33.000614	53.06173	69.06406	55.509766
Cell-enriched-vOTU_257	22.721766	3.8676996	18.13326	48.003685	71.99111	100.618614	61.892544	47.33555
Cell-enriched-vOTU_258	32.214146	12.087019	88.67546	8.822332	124.97257	92.93972	6.181072	4.7827783
Cell-enriched-vOTU_259	8.815152	0	6.573705	6.2685704	129.58868	173.5861	31.202406	14.178967
Cell-enriched-vOTU_260	0	0	4.53245	100.190506	0	0	78.27928	185.58319
Cell-enriched-vOTU_261	0	0	167.1779	150.76259	7.875206	16.637644	6.1285896	15.086195
Cell-enriched-vOTU_262	67.293076	7.0385885	3.3672125	0	141.13551	141.02599	3.6654449	0
Cell-enriched-vOTU_263	51.075417	17.323061	0	0	116.55631	177.62383	0	0
Cell-enriched-vOTU_264	51.461166	24.135828	0	0	145.49242	136.33636	0	0
Cell-enriched-vOTU_265	13.563242	11.140361	4.246633	2.770514	120.097275	190.97394	10.008631	3.3376796
Cell-enriched-vOTU_266	30.482992	12.906496	80.740555	9.232691	124.75346	88.54779	4.6962514	4.325518
Cell-enriched-vOTU_267	26.711342	11.266083	85.04223	9.322952	126.47443	86.59078	5.296066	4.7809763
Cell-enriched-vOTU_268	0	0	0	89.90827	0	0	83.737434	180.66469
Cell-enriched-vOTU_269	39.645157	42.672237	22.786867	12.607688	100.940475	125.87826	5.1263847	4.305717
Cell-enriched-vOTU_270	26.607954	12.748986	82.77234	9.209422	122.54789	89.61104	5.442267	3.9708338
Cell-enriched-vOTU_271	42.22796	44.095448	23.757734	12.154062	103.17312	117.960785	5.354537	4.1515937
Cell-enriched-vOTU_272	24.258745	16.850138	0	0	107.80706	202.77689	0	0
Cell-enriched-vOTU_273	40.355545	54.690437	8.717994	11.141833	56.72925	175.2074	0	0
Cell-enriched-vOTU_274	36.534874	43.189632	23.005497	12.1535425	105.531784	113.40491	5.069637	4.2155185
Cell-enriched-vOTU_275	78.25109	72.483475	29.809753	15.822395	44.99986	80.91386	9.371098	9.194717
Cell-enriched-vOTU_276	216.75235	20.260378	47.624367	27.039091	0	28.872454	0	0
Cell-enriched-vOTU_277	29.000925	3.4188154	15.3917465	22.255692	145.54747	94.06234	13.254645	17.360762
Cell-enriched-vOTU_278	13.926494	12.848435	57.365852	50.206367	69.155	113.91612	6.6028934	12.850347
Cell-enriched-vOTU_279	27.925802	15.787792	92.59055	8.769598	102.20401	81.3498	4.7554455	2.9944024
Cell-enriched-vOTU_280	15.219323	2.9606462	5.378486	5.074557	144.63329	161.37401	0	0
Cell-enriched-vOTU_281	7.9520235	0	6.7871027	5.5931654	111.41701	158.20917	29.332577	15.239844
Cell-enriched-vOTU_282	0	0	6.7243443	106.29203	0	0	91.70408	129.09517
Cell-enriched-vOTU_283	42.295765	89.48916	20.954319	10.115671	86.43109	81.69181	0	2.522771
Cell-enriched-vOTU_284	33.891968	19.481133	14.001327	2.6528916	149.71799	113.75052	0	0
Cell-enriched-vOTU_285	0	0	8.173656	70.66038	0	0	59.51027	189.5113
Cell-enriched-vOTU_286	59.28387	6.1090593	3.6308537	0	126.28993	126.29337	3.2365234	0
Cell-enriched-vOTU_287	12.3403425	10.580067	4.2267027	2.7302992	97.24155	183.1351	10.760022	3.671701
Cell-enriched-vOTU_288	0	0	17.32203	16.527618	127.91012	130.6504	17.81465	14.058088
Cell-enriched-vOTU_289	79.590645	72.83457	31.950968	14.75056	38.769947	63.225677	11.176039	10.451985
Cell-enriched-vOTU_290	38.27359	34.970882	18.94944	11.372064	94.630615	115.0342	5.283298	3.583744
Cell-enriched-vOTU_291	35.566746	33.489952	20.034506	11.078023	93.64773	118.482994	3.742126	4.175348
Cell-enriched-vOTU_292	0	0	43.921425	72.94299	0	0	92.57918	110.68991
Cell-enriched-vOTU_293	0	0	0	3.954479	0	0	252.06888	63.929485
Cell-enriched-vOTU_294	0	0	45.908592	71.42457	0	0	87.72358	114.522224
Cell-enriched-vOTU_295	0	0	87.439644	85.95771	0	0	100.48587	44.57296
Cell-enriched-vOTU_296	0	0	8.639637	66.5814	0	0	58.09589	183.11337
Cell-enriched-vOTU_297	0	0	0	82.65894	0	0	99.25616	134.46611
Cell-enriched-vOTU_298	33.835785	44.904617	12.911744	7.1864295	94.34844	110.85743	7.261921	4.6736765
Cell-enriched-vOTU_299	96.88893	86.93919	41.946663	21.610603	13.697869	54.164997	0	0
Cell-enriched-vOTU_300	0	0	0	3.7717962	0	0	243.22191	67.44162
Cell-enriched-vOTU_301	0	0	6.2311916	11.198245	0	0	152.55801	142.72359
Cell-enriched-vOTU_302	0	0	41.08244	154.33032	0	0	59.74435	57.287193
Cell-enriched-vOTU_303	28.207844	5.205632	14.342301	18.292229	121.2754	88.58611	15.198994	19.62298
Cell-enriched-vOTU_304	35.002117	35.694946	12.145285	5.053397	97.6276	112.73311	6.782738	5.426174
Cell-enriched-vOTU_305	0	0	99.296036	77.08365	0	0	85.02895	48.210506
Cell-enriched-vOTU_306	31.413984	30.361322	13.708408	4.5456805	97.11818	120.055664	7.1808696	4.9390216
Cell-enriched-vOTU_307	38.492752	31.687504	21.734507	10.597809	89.41653	107.258865	5.7239766	4.1705155
Cell-enriched-vOTU_308	20.558174	0	20.429537	20.1632	108.79344	105.15	21.566902	12.385483
Cell-enriched-vOTU_309	21.295835	5.3252826	13.884303	20.326057	130.69017	84.33279	12.738968	20.097908
Cell-enriched-vOTU_310	0	0	148.682	125.48038	0	14.9420185	4.8153367	13.968007
Cell-enriched-vOTU_311	13.803843	15.476285	3.1902616	3.9337223	126.82255	141.09555	3.0861807	0
Cell-enriched-vOTU_312	10.460644	0	0	0	136.87003	159.15854	0	0
Cell-enriched-vOTU_313	25.88786	11.745204	73.57412	8.134986	98.58309	79.1844	4.736095	3.3827872
Cell-enriched-vOTU_314	0	0	0	4.014355	0	0	238.29279	62.22124
Cell-enriched-vOTU_315	80.764046	90.972534	49.23829	20.364653	10.736047	50.95654	0	0
Cell-enriched-vOTU_316	153.76703	31.253529	54.031628	22.924648	0	40.285847	0	0
Cell-enriched-vOTU_317	23.57988	11.1356125	67.58581	8.019527	104.49098	76.818954	5.3067594	4.244819
Cell-enriched-vOTU_318	30.264526	35.518597	11.168822	4.814562	88.237946	119.92318	5.679303	5.0011706
Cell-enriched-vOTU_319	0	0	43.060547	63.243107	0	0	86.70555	107.264046
Cell-enriched-vOTU_320	0	0	299.10593	0	0	0	0	0
Cell-enriched-vOTU_321	30.547192	34.57937	11.114461	6.3050594	92.36657	113.15582	6.146894	4.442826
Cell-enriched-vOTU_322	34.070007	38.41593	21.517437	11.329606	83.502144	100.953026	4.735565	3.0244823
Cell-enriched-vOTU_323	44.35885	8.234523	5.56638	3.103683	126.20726	109.40252	0	0
Cell-enriched-vOTU_324	39.71097	45.21653	7.302705	8.317866	39.969265	156.26913	0	0
Cell-enriched-vOTU_325	16.816498	0	5.1009355	5.6716466	128.58838	124.01768	8.050066	7.892967
Cell-enriched-vOTU_326	0	0	3.970273	4.0329285	0	0	183.2585	104.27266
Cell-enriched-vOTU_327	96.18423	93.27375	36.814434	20.148062	0	49.017822	0	0
Cell-enriched-vOTU_328	36.151783	81.95462	18.389938	7.160923	76.9378	71.964905	0	2.274747
Cell-enriched-vOTU_329	15.392162	7.056495	3.5124543	3.0594943	106.65019	129.67528	15.395285	13.587551
Cell-enriched-vOTU_330	177.52003	55.066414	20.278648	16.457716	0	24.625954	0	0
Cell-enriched-vOTU_331	89.8173	91.17292	33.807777	18.822208	9.229827	50.593296	0	0
Cell-enriched-vOTU_332	0	0	6.7805963	66.53128	0	0	53.808247	165.24902
Cell-enriched-vOTU_333	71.76276	63.52418	28.274828	13.91236	41.578484	53.405823	8.829471	10.970462
Cell-enriched-vOTU_334	19.561079	13.702236	82.00459	6.7390747	101.7985	68.00255	0	0
Cell-enriched-vOTU_335	21.013443	10.825667	75.254654	8.27364	97.11745	70.992	4.6505566	3.5221262
Cell-enriched-vOTU_336	41.02844	46.566067	24.378452	20.998262	28.226427	39.163074	49.00304	42.018925
Cell-enriched-vOTU_337	0	0	56.34877	45.27126	0	0	112.77526	76.751495
Cell-enriched-vOTU_338	0	0	42.315502	66.38937	0	0	82.40641	99.3355
Cell-enriched-vOTU_339	45.369404	22.08794	0	0	104.04104	118.766365	0	0
Cell-enriched-vOTU_340	42.50114	20.217033	4.2878275	0	108.87501	113.62713	0	0
Cell-enriched-vOTU_341	34.32569	23.599813	33.24795	0	107.08232	88.0854	0	2.921331
Cell-enriched-vOTU_342	30.119482	31.542435	10.485819	4.861781	92.231445	109.60692	5.517029	4.0002475
Cell-enriched-vOTU_343	192.40125	16.437927	38.327667	23.676186	0	16.57397	0	0
Cell-enriched-vOTU_344	0	0	41.669857	140.91887	0	0	54.22356	50.234234
Cell-enriched-vOTU_345	0	3.598456	158.9264	59.541237	20.018925	28.121397	6.3104777	9.194717
Cell-enriched-vOTU_346	33.899624	39.561264	12.633284	4.1400714	79.24184	108.36337	4.444472	3.3787005
Cell-enriched-vOTU_347	0	0	38.47063	64.39156	0	0	81.83684	100.81875
Cell-enriched-vOTU_348	0	0	0	3.2973738	0	0	223.8279	56.950405
Cell-enriched-vOTU_349	22.491577	9.331289	69.93054	8.24989	99.880974	66.49651	5.0957866	2.566966
Cell-enriched-vOTU_350	28.689322	5.4450755	67.532364	57.936962	24.135338	51.122192	32.14146	16.36815
Cell-enriched-vOTU_351	44.214027	49.104305	5.248126	0	78.89496	105.89307	0	0
Cell-enriched-vOTU_352	23.323627	11.2441225	76.73819	7.591568	91.98236	62.978535	4.8755474	2.9342377
Cell-enriched-vOTU_353	22.731737	10.257143	64.443375	7.2890406	100.02326	69.547195	4.1128774	2.9172497
Cell-enriched-vOTU_354	0	0	43.058334	62.754433	0	0	75.771805	99.67165
Cell-enriched-vOTU_355	0	0	49.653538	34.372917	0	0	119.961876	75.67289
Cell-enriched-vOTU_356	22.939367	9.620466	91.11161	7.452359	77.96092	66.99108	0	3.5245543
Cell-enriched-vOTU_357	142.73647	27.24322	49.707302	24.928602	0	34.467335	0	0
Cell-enriched-vOTU_358	51.513695	47.69235	5.537776	0	77.58401	96.6699	0	0
Cell-enriched-vOTU_359	24.26806	9.904605	50.187897	10.9647665	93.707924	75.969215	8.286132	4.36763
Cell-enriched-vOTU_360	21.25395	10.520552	81.80767	6.6461225	90.85931	66.27559	0	0
Cell-enriched-vOTU_361	0	0	88.64603	64.690765	0	0	78.40947	45.468685
Cell-enriched-vOTU_362	0	0	88.63724	66.258835	0	0	78.36194	43.903343
Cell-enriched-vOTU_363	18.250204	13.660009	59.549744	8.580505	92.24481	76.02085	4.594887	3.7035651
Cell-enriched-vOTU_364	23.732014	0	11.879121	17.6377	114.62805	79.36011	13.1481495	16.142498
Cell-enriched-vOTU_365	45.4578	14.436108	0	0	91.640656	124.94948	0	0
Cell-enriched-vOTU_366	16.08935	0	21.611883	54.05222	41.207466	65.70371	51.581524	25.60031
Cell-enriched-vOTU_367	0	0	89.20071	71.676476	0	0	73.37512	41.04967
Cell-enriched-vOTU_368	0	0	4.954833	80.87136	0	0	86.55939	102.79897
Cell-enriched-vOTU_369	33.47057	5.0834513	19.680489	7.7286644	104.13746	95.09408	5.725266	4.252882
Cell-enriched-vOTU_370	47.824432	58.398315	3.397475	0	61.358593	103.170296	0	0
Cell-enriched-vOTU_371	20.506851	10.3074045	46.896164	10.98059	97.4864	76.37884	7.4799666	3.9416084
Cell-enriched-vOTU_372	0	0	42.550575	63.63073	0	0	77.63461	89.31053
Cell-enriched-vOTU_373	0	0	3.9312937	4.5234404	0	0	168.87032	95.42885
Cell-enriched-vOTU_374	71.62919	33.281345	0	0	88.414215	78.67478	0	0
Cell-enriched-vOTU_375	0	0	154.49832	53.608776	20.200396	33.85664	4.079175	4.9760895
Cell-enriched-vOTU_376	49.85188	58.602745	4.1847963	0	70.12738	88.094925	0	0
Cell-enriched-vOTU_377	178.845	12.370225	39.16238	19.139996	0	21.28684	0	0
Cell-enriched-vOTU_378	0	0	7.4870276	59.72962	0	0	46.55541	156.79466
Cell-enriched-vOTU_379	27.479755	18.752922	14.09144	0	123.1554	86.896614	0	0
Cell-enriched-vOTU_380	0	0	38.264076	61.64441	0	0	74.37881	95.73422
Cell-enriched-vOTU_381	38.22053	140.08269	4.3213434	0	39.939728	47.410866	0	0
Cell-enriched-vOTU_382	32.772568	43.659	11.008666	6.507313	90.70005	79.3065	3.5951092	2.362827
Cell-enriched-vOTU_383	69.34514	112.16723	0	0	30.391815	57.94187	0	0
Cell-enriched-vOTU_384	0	0	34.743862	51.240513	0	0	85.243034	98.24282
Cell-enriched-vOTU_385	115.25817	90.35034	18.28938	14.016693	0	30.638447	0	0
Cell-enriched-vOTU_386	0	0	34.745857	53.952667	0	0	80.84451	98.93788
Cell-enriched-vOTU_387	21.647327	9.559597	69.83951	7.351277	85.609116	67.72807	4.2153788	2.530341
Cell-enriched-vOTU_388	40.986942	18.630743	0	0	102.05253	106.44857	0	0
Cell-enriched-vOTU_389	0	0	36.498	53.655827	0	0	76.03421	101.839355
Cell-enriched-vOTU_390	20.349308	24.044605	41.93975	13.756972	65.57441	97.55139	4.202774	0
Cell-enriched-vOTU_391	131.84064	33.553375	43.719833	21.567373	0	36.518417	0	0
Cell-enriched-vOTU_392	0	0	47.1411	105.51673	0	0	63.476837	50.13422
Cell-enriched-vOTU_393	20.864798	10.773363	50.608833	12.881439	89.972176	70.13885	7.2969065	3.5252922
Cell-enriched-vOTU_394	0	0	6.560494	54.11894	0	0	50.461952	154.7735
Cell-enriched-vOTU_395	0	0	6.8051853	54.035633	0	0	48.437817	156.5792
Cell-enriched-vOTU_396	30.080153	75.72533	18.22951	5.937127	69.831245	65.95139	0	0
Cell-enriched-vOTU_397	30.889051	32.207764	17.048054	7.84708	80.26854	89.70021	3.7140431	3.127995
Cell-enriched-vOTU_398	33.539707	80.49558	17.047897	5.947229	68.39816	59.290817	0	0
Cell-enriched-vOTU_399	84.8424	49.164505	66.54893	49.374905	0	14.570575	0	0
Cell-enriched-vOTU_400	0	0	0	3.0090938	0	0	205.81952	54.514748
Cell-enriched-vOTU_401	0	0	0	3.653834	0	0	206.92819	52.60185
Cell-enriched-vOTU_402	8.40161	0	14.906354	9.823265	78.01233	151.34499	0	0
Cell-enriched-vOTU_403	21.036173	9.643976	69.584076	6.5797544	86.67346	62.222256	3.292775	3.1140718
Cell-enriched-vOTU_404	23.209324	10.365546	69.98965	7.3858156	89.994644	58.274002	0	2.8838413
Cell-enriched-vOTU_405	76.620804	82.876305	33.68412	16.808073	9.159155	42.768623	0	0
Cell-enriched-vOTU_406	0	0	37.371227	54.557167	0	0	73.9591	95.00353
Cell-enriched-vOTU_407	51.662437	72.71168	6.6732264	14.776406	29.172596	64.15017	15.833839	5.6469564
Cell-enriched-vOTU_408	30.502388	33.47535	0	0	129.5272	66.52979	0	0
Cell-enriched-vOTU_409	12.404778	0	11.651759	8.551841	104.5486	105.82331	10.055283	6.9637475
Cell-enriched-vOTU_410	0	0	6.6778917	53.369244	0	0	48.749916	150.9517
Cell-enriched-vOTU_411	0	0	36.738373	57.059563	0	0	72.524216	92.39033
Cell-enriched-vOTU_412	0	0	36.566906	52.11023	0	0	73.812256	95.722755
Cell-enriched-vOTU_413	0	0	6.43209	53.692886	0	0	49.291813	148.5638
Cell-enriched-vOTU_414	18.106888	9.907224	97.79244	5.253866	70.47092	52.408504	3.3230755	0
Cell-enriched-vOTU_415	0	0	6.0890017	53.630634	0	0	46.697598	150.8178
Cell-enriched-vOTU_416	29.024408	38.65316	8.105404	3.7448637	92.38323	84.51882	0	0
Cell-enriched-vOTU_417	125.1939	29.523314	42.962246	22.081207	0	34.62607	0	0
Cell-enriched-vOTU_418	32.72313	23.70586	28.846516	0	99.247856	67.42489	0	2.4355867
Cell-enriched-vOTU_419	17.971815	5.1607738	17.285643	20.213257	70.841965	114.03848	3.511884	4.713138
Cell-enriched-vOTU_420	0	0	36.064323	121.723625	0	0	48.36851	47.011383
Cell-enriched-vOTU_421	79.471535	50.813187	62.79681	46.798374	0	13.218777	0	0
Cell-enriched-vOTU_422	3.0212257	0	30.108442	112.72699	8.437499	0	48.987106	49.61913
Cell-enriched-vOTU_423	33.032066	47.849754	17.89333	7.6884913	62.978363	83.16189	0	0
Cell-enriched-vOTU_424	10.828215	0	14.749573	41.478367	41.131527	66.66486	48.12763	29.369892
Cell-enriched-vOTU_425	27.133987	29.66937	19.15166	9.3213415	72.49171	86.458435	4.6664467	2.9924042
Cell-enriched-vOTU_426	47.48293	12.894532	3.0882814	0	91.9642	96.23552	0	0
Cell-enriched-vOTU_427	0	0	35.02843	55.92987	0	0	71.35851	88.973045
Cell-enriched-vOTU_428	22.126062	22.219385	0	0	90.55726	116.22362	0	0
Cell-enriched-vOTU_429	12.269067	23.270988	0	0	91.91786	123.59602	0	0
Cell-enriched-vOTU_430	29.922815	40.000244	8.52142	3.7195792	92.83611	76.005005	0	0
Cell-enriched-vOTU_431	73.89743	29.417583	0	0	83.21472	64.24634	0	0
Cell-enriched-vOTU_432	38.193516	11.013862	0	0	79.05099	122.25887	0	0
Cell-enriched-vOTU_433	34.809998	17.975288	0	0	90.88618	106.56665	0	0
Cell-enriched-vOTU_434	0	0	35.003426	52.426247	0	0	71.59488	91.03659
Cell-enriched-vOTU_435	20.601267	6.0137005	48.69753	10.271968	84.36606	67.8626	7.439842	4.6154633
Cell-enriched-vOTU_436	0	0	4.1016054	76.61615	0	0	61.943356	107.12905
Cell-enriched-vOTU_437	0	0	80.79721	62.584415	0	0	65.85734	40.461605
Cell-enriched-vOTU_438	79.263756	144.2228	13.064902	11.698281	0	0	0	0
Cell-enriched-vOTU_439	14.931083	3.451318	16.908327	17.088045	89.184494	81.98418	16.32568	7.8040495
Cell-enriched-vOTU_440	0	0	33.91964	51.364967	0	0	70.696945	90.591354
Cell-enriched-vOTU_441	19.262299	8.265232	43.97701	10.620277	91.435356	62.321285	6.4612637	3.9628692
Cell-enriched-vOTU_442	0	0	0	3.0092492	0	0	186.3704	56.308903
Cell-enriched-vOTU_443	29.855217	36.891846	9.472264	3.4835253	91.71565	73.38443	0	0
Cell-enriched-vOTU_444	0	0	79.681725	61.417686	0	0	64.59754	38.661243
Cell-enriched-vOTU_445	29.121935	29.359264	16.512344	8.332471	67.85531	88.68471	0	3.2232199
Cell-enriched-vOTU_446	58.175274	53.447918	24.64245	10.831961	28.818129	51.4972	7.745706	7.2131
Cell-enriched-vOTU_447	0	0	32.269897	115.09376	0	0	45.358086	48.837276
Cell-enriched-vOTU_448	0	0	117.87803	96.120995	0	10.519583	3.500674	13.179389
Cell-enriched-vOTU_449	0	4.0900474	122.97706	44.870193	23.420998	33.891922	5.8686037	5.988128
Cell-enriched-vOTU_450	0	0	19.061556	9.474262	0	0	84.47207	127.85417
Cell-enriched-vOTU_451	32.386898	24.937927	0	0	75.57185	107.21333	0	0
Cell-enriched-vOTU_452	31.453438	30.95257	17.930876	8.212508	71.37105	75.90906	4.221552	0
Cell-enriched-vOTU_453	69.29599	76.39582	36.261253	14.806807	0	43.051655	0	0
Cell-enriched-vOTU_454	18.012619	8.729527	47.166084	10.867649	81.07069	62.783947	6.627931	3.9798253
Cell-enriched-vOTU_455	9.239519	8.943953	2.904641	2.487181	72.6119	138.27998	4.440177	0
Cell-enriched-vOTU_456	15.897537	3.5822039	25.719006	7.1730843	110.48972	72.399284	3.5542765	0
Cell-enriched-vOTU_457	27.382423	38.48058	7.756886	3.1095753	86.468285	75.184654	0	0
Cell-enriched-vOTU_458	0	0	30.074419	45.08479	0	0	74.13044	88.62046
Cell-enriched-vOTU_459	0	0	34.05125	52.84189	0	0	67.4461	83.3225
Cell-enriched-vOTU_460	0	0	5.57639	48.40465	0	0	43.94799	139.38562
Cell-enriched-vOTU_461	72.06571	80.05508	29.231548	15.118325	0	40.790035	0	0
Cell-enriched-vOTU_462	0	0	7.9120083	58.21186	0	0	46.005444	124.875534
Cell-enriched-vOTU_463	17.753448	9.1004305	46.44872	10.483164	79.66687	63.196507	6.048326	3.6993325
Cell-enriched-vOTU_464	0	0	47.021454	58.896873	0	0	63.485104	66.11319
Cell-enriched-vOTU_465	75.01789	75.133286	32.557453	14.887553	0	36.645832	0	0
Cell-enriched-vOTU_466	61.114944	41.57219	17.05509	8.825307	34.770794	58.323086	7.471018	4.900009
Cell-enriched-vOTU_467	108.84082	25.545729	53.749416	29.55881	0	16.285368	0	0
Cell-enriched-vOTU_468	0	0	35.1705	50.134537	0	0	68.006294	79.25896
Cell-enriched-vOTU_469	149.39645	13.683365	32.72187	18.39174	0	18.113949	0	0
Cell-enriched-vOTU_470	19.35753	23.784925	8.593697	4.0063467	75.392296	92.40499	4.940739	3.2505038
Cell-enriched-vOTU_471	105.7374	26.568474	54.448776	28.832306	0	14.76047	0	0
Cell-enriched-vOTU_472	0	0	32.367764	48.452923	0	0	66.99264	82.11287
