vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-V-S6C3166	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-S5C16676	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-S8C15218	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_109328||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C63_1-NODE_482_length_5902_cov_24.197879||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1037253	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_852764||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_710788||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_1072389	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-k141_629841||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_464494||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_389398||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C11574	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_1030393	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S2C20046	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C5566	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-S3C18679	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S2C12754	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-V-S6C10260	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_317128||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S5C20481	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_626202	Classified	Viruses	Others	Faserviricetes	Tubulavirales	Inoviridae
KSW-V-k141_599733||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_199_length_5822_cov_95.549159	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C16245	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_496_length_5821_cov_23.655741||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
