vOTUs	profile	Kindom	Phylum	Class	Order	Family
KSW-cf_coassembly_k141_907192||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_428457||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_1122676||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3034229||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-C72_1_C_NODE_24_length_155300_cov_30.128957||full_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_14_length_146525_cov_14.322121||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_898290||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3923619||full_1	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-C72_2_C_NODE_38_length_142231_cov_25.555572||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3827051||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_2377284||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-T72_2_V_NODE_1_length_116638_cov_32.454483||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_3933066||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pandoravirales	NA
KSW-C0_2_C_NODE_31_length_113388_cov_36.165265||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3499616_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C72_2_C_NODE_77_length_111426_cov_28.019018||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_149473||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3334150||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1088822||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1816490||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_515434||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3740526||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3824263||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3809566||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_2203822||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_2_V_NODE_1_length_95852_cov_10.476466||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_764696||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	NA
KSW-cf_coassembly_k141_2443410||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C0_2_C_NODE_56_length_93055_cov_25.399753||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2629445||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1729297||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_924422||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_350987||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T0_1_C_NODE_196_length_89543_cov_7.627078||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1138748||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_2845557||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2786329||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T0_1_V_NODE_1_length_85718_cov_15.650713||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_1137852||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_71_length_85509_cov_14.458808||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_999024||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_1_C_NODE_115_length_93443_cov_50.136313_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2449798||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_2382471||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_275209||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2702628||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1180611||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	NA
KSW-cf_coassembly_k141_1918860||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_2_V_NODE_2_length_76320_cov_18.241133||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2936440	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_461418||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3237009||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_2_V_NODE_3_length_73377_cov_76.935258||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_977803||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3501946||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_977734||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-cf_coassembly_k141_1839885||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_119634||full_1	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3039522||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_1_V_NODE_1_length_69953_cov_198.780866||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-vf_coassembly_k141_389744||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_421254||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-vf_coassembly_k141_72160||full	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	NA
KSW-cf_coassembly_k141_1115547||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_1247684||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-vf_coassembly_k141_989183||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_3181047||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_566115||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_154_length_65523_cov_10.842320||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1099074||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C0_2_C_NODE_157_length_65092_cov_30.826407||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1771017||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3296187||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2980198||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-C0_2_C_NODE_170_length_63830_cov_11.402603||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_744393||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3101010||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-vf_coassembly_k141_231734||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C72_1_C_NODE_236_length_62476_cov_10.985518||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1451040||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_3482710||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2197582||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3983068||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_3945071	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_904408||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-vf_coassembly_k141_911814||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-C72_2_C_NODE_199_length_69702_cov_237.932560||full_1	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pandoravirales	NA
KSW-cf_coassembly_k141_1945947||full_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3038433||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_7461||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3573161||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_2140935||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2632697||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1768629||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C72_1_C_NODE_256_length_60130_cov_16.488323||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2310330||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1906622||full_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_1_C_NODE_208_length_59947_cov_35.295649||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1652067||full_1	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3787612||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1035578||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3601724||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1650809||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3264186||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C0_2_C_NODE_122_length_69993_cov_16.383268||full_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2435462||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_973603||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-T72_1_V_NODE_2_length_58511_cov_37.783957||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2689508||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1621928||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1967829||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-C72_1_C_NODE_276_length_58015_cov_13.442633||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_3657285||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C0_2_C_NODE_220_length_57634_cov_16.933153||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_3929210||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_432718||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_1372649||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_100470||full	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	0	NA
KSW-cf_coassembly_k141_3625647||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1476828||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_494169||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_851841||full_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_365271||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_497923||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3228744||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_1015408||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_2462230||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_562150	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_51523||0_partial	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2251799||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_454170||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C0_2_C_NODE_241_length_54951_cov_10.574031||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T72_1_V_NODE_4_length_54777_cov_17.003856||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_596674||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_238926||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1107175||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_1_C_NODE_264_length_54526_cov_36.919719||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-vf_coassembly_k141_879381	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	Pithoviridae
KSW-T72_1_C_NODE_270_length_54402_cov_228.770530||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-cf_coassembly_k141_1546211||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_542411||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_1674828||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3317439||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_2564900||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_288283||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-T72_1_C_NODE_281_length_53417_cov_218.658952||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pandoravirales	NA
KSW-T72_1_V_NODE_5_length_53316_cov_53.143501||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_807551||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_896954||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1887446||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2943574||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-vf_coassembly_k141_943099||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2588707||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_3717457||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_566870||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-T0_1_C_NODE_545_length_52175_cov_41.806427||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-T72_1_C_NODE_299_length_52058_cov_6.863989	Unclassified	Viruses	NA	NA	NA	NA
KSW-cf_coassembly_k141_3375733||full_1	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1282315||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_541048	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_2620161||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_1483799||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	NA
KSW-C72_1_C_NODE_352_length_51015_cov_24.097626||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_304275||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-megahit_k141_546711||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_1513489||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_470561||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-cf_coassembly_k141_3543698||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-T72_1_V_NODE_9_length_50237_cov_17.702005||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_3517166||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-cf_coassembly_k141_2720627||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_1575349||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_1425702||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_2848238||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-T72_1_V_NODE_12_length_48534_cov_48.030384||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2490881||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_380112	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-vf_coassembly_k141_618814	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-C72_2_C_NODE_381_length_47928_cov_8.530320||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	NA
KSW-cf_coassembly_k141_1030751||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C72_2_V_NODE_6_length_47699_cov_10.945261||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-C0_1_C_NODE_487_length_47688_cov_8.668612||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3949104||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-vf_coassembly_k141_224536||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_1_C_NODE_495_length_47428_cov_31.078610||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3982682||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3413771	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_3314436||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3255831||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_3519799||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_689338	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_344_length_46965_cov_13.711490||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1636552||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T0_1_C_NODE_2_length_456630_cov_79.536889||0_partial_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2581967||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-T72_2_V_NODE_16_length_49285_cov_30.950112_1	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_349_length_46585_cov_25.603675||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_2_V_NODE_21_length_46578_cov_14.796724||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_1573867||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-cf_coassembly_k141_3668470||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_1_C_NODE_426_length_46439_cov_216.865816	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Pandoravirales	NA
KSW-T72_2_V_NODE_22_length_46484_cov_35.246742||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_3533343||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_352_length_46397_cov_25.925251||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_3423739||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_1_C_NODE_526_length_46203_cov_8.289157||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-C72_1_C_NODE_434_length_45987_cov_11.289319||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Prasinoviridae
KSW-C72_2_C_NODE_409_length_46163_cov_15.410102||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_2_V_NODE_23_length_45985_cov_224.599739||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-megahit_k141_120774||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_1545667||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_2883498||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_969287||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	NA
KSW-cf_coassembly_k141_11154||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T72_1_V_NODE_13_length_45344_cov_347.440747||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
