ID	diff	lwr	upr	p.adj
T0_V-C0_V	0.169998400499998	-0.828162303737056	1.16815910473705	0.995565510443665
C63_V-C0_V	0.181631773999999	-0.816528930237056	1.17979247823705	0.993468328460396
T63_V-C0_V	1.046124133	0.0479634287629447	2.04428483723705	0.0393396965810231
T63_C-C0_V	2.22224805	1.22408734576294	3.22040875423705	0.000325791176687518
C63_C-C0_V	2.9037020865	1.90554138226294	3.90186279073705	4.52187485756594e-05
T0_C-C0_V	3.0283514075	2.03019070326294	4.02651211173705	3.29265844102311e-05
C0_C-C0_V	4.106740683	3.10857997876294	5.10490138723705	3.40254815245356e-06
C63_V-T0_V	0.0116333735000005	-0.986527330737054	1.00979407773706	0.999999999944562
T63_V-T0_V	0.876125732500001	-0.122034971737053	1.87428643673706	0.0927280525081442
T63_C-T0_V	2.0522496495	1.05408894526295	3.05041035373706	0.000574958206115528
C63_C-T0_V	2.733703686	1.73554298176295	3.73186439023706	7.11467020397816e-05
T0_C-T0_V	2.858353007	1.86019230276295	3.85651371123706	5.09111060004175e-05
C0_C-T0_V	3.9367422825	2.93858157826294	4.93490298673705	4.67790797509249e-06
T63_V-C63_V	0.864492359000001	-0.133668345237054	1.86265306323706	0.0983735978816965
T63_C-C63_V	2.040616276	1.04245557176295	3.03877698023705	0.000598533834826109
C63_C-C63_V	2.7220703125	1.72390960826295	3.72023101673706	7.34527163055443e-05
T0_C-C63_V	2.8467196335	1.84855892926295	3.84488033773706	5.24977215133893e-05
C0_C-C63_V	3.925108909	2.92694820476294	4.92326961323705	4.78194898756445e-06
T63_C-T63_V	1.176123917	0.177963212762944	2.17428462123705	0.0208302025290756
C63_C-T63_V	1.8575779535	0.859417249262945	2.85573865773705	0.00115349794867992
T0_C-T63_V	1.9822272745	0.984066570262945	2.98038797873705	0.000734246061918742
C0_C-T63_V	3.06061655	2.06245584576294	4.05877725423705	3.03938899249845e-05
C63_C-T63_C	0.681454036500001	-0.316706667737054	1.67961474073706	0.245214897891736
T0_C-T63_C	0.806103357500001	-0.192057346737054	1.80426406173706	0.132252423127545
C0_C-T63_C	1.884492633	0.886331928762944	2.88265333723705	0.0010443890938715
T0_C-C63_C	0.124649321	-0.873511383237055	1.12281002523705	0.999345719214347
C0_C-C63_C	1.2030385965	0.204877892262944	2.20119930073705	0.0183159830343365
C0_C-T0_C	1.0783892755	0.0802285712629438	2.07654997973705	0.0335270076438591
