Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-T63_1_V_NODE_227_length_13170_cov_26.638963||full	8.950508	6.123701	6.4847097	3.6481833	16.455786	0	10.835475	3.8397746
KSW-T63_1_V_NODE_228_length_13109_cov_6.031331||full	0	0	2.011669	0	0	0	2.2363172	0
KSW-T63_1_V_NODE_232_length_13044_cov_4.931480||full	0	0	1.4023682	1.7676609	4.0433455	2.980961	1.9573553	1.783938
KSW-T63_1_V_NODE_234_length_13011_cov_4.429068||full	0	0	1.6325629	1.4469664	0	0	1.1512365	0.7550712
KSW-T63_1_V_NODE_237_length_12911_cov_7.663581||full	0	0	0	0	0	0	3.2253358	1.121444
KSW-T63_1_V_NODE_240_length_12900_cov_59.466485||full	0	0	1.4713001	1.2225343	1.3051716	0	9.910261	4.2205806
KSW-T63_1_V_NODE_245_length_12863_cov_44.345331||full	3.3040538	0	1.116278	1.4637327	3.9418795	0	14.55354	13.47741
KSW-T63_1_V_NODE_246_length_12791_cov_5.627041||full	4.031629	0	2.2180142	0	5.477296	0	1.8887005	0
KSW-T63_1_V_NODE_248_length_12703_cov_27.210152||full	0	0	1.8808388	8.905932	0	0	10.780925	5.7722187
KSW-T63_1_V_NODE_249_length_12644_cov_35.899277||full	2.4594874	0	2.9090502	4.0032864	5.49609	0	8.464654	5.398483
KSW-T63_1_V_NODE_253_length_12558_cov_54.923378||full	0	0	12.778961	2.900346	0	0	20.830635	15.387737
KSW-T63_1_V_NODE_255_length_12549_cov_12.323115||full	0	0	5.1637845	1.354095	3.0618703	0	4.3359413	1.5417312
KSW-T63_1_V_NODE_256_length_12529_cov_21.848725||full	0	0	1.3028299	0	0	0	4.6389112	2.548207
KSW-T63_1_V_NODE_260_length_12438_cov_6.007510||full	0	0	0	0	0	0	2.7872763	1.0808674
KSW-T63_1_V_NODE_265_length_12390_cov_14.820186||full	0	0	0	0	0	0	6.029065	0
KSW-T63_1_V_NODE_271_length_12321_cov_16.150823||full	0	0	1.6179183	1.6667084	2.4887128	0	6.782796	2.958487
KSW-T63_1_V_NODE_275_length_12285_cov_14.782093||full	0	0	0	0	0	0	2.6686287	0.89440596
KSW-T63_1_V_NODE_277_length_12212_cov_303.182611||full	3.5931292	0	3.68818	11.059741	0	0	58.096577	93.97664
KSW-T63_1_V_NODE_278_length_12180_cov_13.900041||full	0	0	0	1.1985854	0	0	4.354935	2.4518404
KSW-T63_1_V_NODE_279_length_12172_cov_46.761079||full	0	0	0	0.79571515	0	0	9.348767	4.9910526
KSW-T63_1_V_NODE_285_length_12098_cov_5.684547||full	0	0	0	0	0	0	1.6673905	2.1382594
KSW-T63_1_V_NODE_290_length_11979_cov_115.220060||full	7.930445	4.123609	0	0	7.160073	2.8830667	41.241947	194.96591
KSW-T63_1_V_NODE_293_length_11856_cov_42.576138||full	0	2.1933932	10.568284	4.1543727	3.5703638	0	17.36352	19.72567
KSW-T63_1_V_NODE_294_length_11828_cov_53.935276||full	0	0	0	1.1973414	0	0	12.803526	6.8071337
KSW-T63_1_V_NODE_300_length_11782_cov_10.831415||full	0	2.1792145	3.4385757	2.1767192	3.304043	0	3.5179152	1.6236831
KSW-T63_1_V_NODE_304_length_11718_cov_10.652234||full	0	0	7.8868046	1.9438057	1.6993848	0	2.9658613	3.5954144
KSW-T63_1_V_NODE_305_length_11687_cov_9.782669||full	0	0	0	4.236366	0	0	3.634557	6.6017056
KSW-T63_1_V_NODE_307_length_11561_cov_29.064227||full	0	3.3172631	14.32348	5.427845	8.065652	1.4562547	8.808124	4.707027
KSW-T63_1_V_NODE_320_length_11314_cov_6.340972||full	0	0	0	1.5788958	0	0	1.3754414	0
KSW-T63_1_V_NODE_327_length_11179_cov_14.401294||full	0	0	0	1.4888923	0	0	5.9328623	2.937191
KSW-T63_1_V_NODE_337_length_11029_cov_7.877346||full	0	0	0	0	1.6625279	0	2.5372066	1.0081025
KSW-T63_1_V_NODE_344_length_10948_cov_5.484164||full	0	0	0	1.1837447	0	0	1.8585588	1.157059
KSW-T63_1_V_NODE_347_length_10937_cov_8.561845||full	0	0	0	0	0	0	1.5674398	2.0326135
KSW-T63_1_V_NODE_349_length_10876_cov_7.987247||full	0	0	5.3520374	1.2792656	1.3733373	0	1.9572988	2.4361804
KSW-T63_1_V_NODE_350_length_10870_cov_21.274711||full	0	0	2.4608543	6.2002206	2.1448164	2.1558077	9.247679	21.96555
KSW-T63_1_V_NODE_359_length_10721_cov_31.553160||full	0	0	1.9261572	2.3540046	6.565513	0	9.17327	4.8950443
KSW-T63_1_V_NODE_368_length_10604_cov_437.998673||full	24.890223	10.184533	12.40012	58.24536	19.626959	6.5233607	121.26849	45.265167
KSW-T63_1_V_NODE_377_length_10443_cov_6.074317||full	0	0	2.346595	0	0	0	1.6767603	1.0366218
KSW-T63_1_V_NODE_382_length_10370_cov_9.693650||full	0	0	0	0	0	0	3.0162196	0
KSW-T63_1_V_NODE_383_length_10353_cov_29.712177||full	0	0	1.847125	1.7171218	2.3229308	0	9.0298605	6.2828465
KSW-T63_1_V_NODE_394_length_10226_cov_8.609675||full	0	0	0	0.920398	0	0	3.592355	1.4661537
KSW-T63_1_V_NODE_400_length_10112_cov_36.927115||full	0	0	1.729507	7.388768	0	0	9.159541	4.5468483
KSW-T63_1_V_NODE_405_length_10030_cov_5.654837||full	0	2.009473	1.7454965	1.5236324	3.4758062	0	1.9633448	1.7659473
KSW-T63_1_V_NODE_413_length_9965_cov_55.867104||full	2.6176214	0	5.72197	9.757073	4.8701077	2.6476421	8.460114	5.47136
KSW-T63_1_V_NODE_420_length_9896_cov_9.144193||full	0	0	3.4514542	1.646782	3.2602444	0	3.1534884	1.4161456
KSW-T63_1_V_NODE_424_length_9823_cov_7.655098||full	0	0	0	2.1942759	0	0	3.0400555	2.1581073
KSW-T63_1_V_NODE_429_length_9723_cov_24.326231||full	0	0	1.9624871	2.6102448	1.955781	0	9.496913	5.99708
KSW-T63_1_V_NODE_432_length_9720_cov_33.514847||full	3.7684913	1.9063627	1.659522	5.460746	6.0088964	3.143483	7.105497	5.9191227
KSW-T63_1_V_NODE_443_length_9626_cov_6.545711||full	0	0	2.268372	0	0	0	1.4584746	0.68499863
KSW-T63_1_V_NODE_445_length_9602_cov_14.263957||full	0	0	0	1.6764888	2.5457458	0	5.533321	2.0866294
KSW-T63_1_V_NODE_462_length_9451_cov_11.853980||full	0	0	0	0	3.424985	0	4.695253	1.7782316
KSW-T63_1_V_NODE_466_length_9404_cov_30.973794||full	0	0	0	9.846071	0	0	9.828795	64.70858
KSW-T63_1_V_NODE_467_length_9404_cov_8.433094||full	0	0	0	1.733677	1.6677964	0	1.9013897	0
KSW-T63_1_V_NODE_479_length_9279_cov_9.660234||full	0	0	0	0	0	0	3.5153968	3.5411053
KSW-T63_1_V_NODE_480_length_9271_cov_9.158746||full	0	0	1.4466629	0	1.6128162	0	1.4508197	0.8468186
KSW-T63_1_V_NODE_487_length_9214_cov_66.308112||full	8.975676	3.0183594	13.501911	4.3138776	9.950842	0	26.643991	12.277839
KSW-T63_1_V_NODE_488_length_9208_cov_37.252376||full	2.1764736	2.0827944	4.9345193	6.312126	6.5637197	3.695032	7.4590187	9.462829
KSW-T63_1_V_NODE_493_length_9130_cov_26.265565||full	0	0	0	1.1806917	3.7442	0	7.0591702	3.3845606
KSW-T63_1_V_NODE_494_length_9129_cov_12.650430||full	0	0	0	1.5093265	0	0	3.4879205	5.9612713
KSW-T63_1_V_NODE_509_length_8935_cov_25.322072||full	0	0	5.887748	2.3096602	0	0	8.397042	5.188587
KSW-T63_1_V_NODE_512_length_8923_cov_9.075327||full	0	0	3.142386	3.7410107	2.9494708	0	3.2131293	0
KSW-T63_1_V_NODE_517_length_8895_cov_4.412896||full	0	0	1.1814483	1.2679027	0	0	1.9646175	0.82045555
KSW-T63_1_V_NODE_529_length_8831_cov_24.498291||full	0	0	1.5235931	1.9893134	5.079631	0	6.106518	1.6935035
KSW-T63_1_V_NODE_530_length_8831_cov_11.379216||full	0	0	0	0.92689306	2.7680554	0	4.6084003	2.3566723
KSW-T63_1_V_NODE_534_length_8819_cov_36.635098||full	2.1598651	0	1.7436771	1.4110618	0	0	6.3067856	3.526232
KSW-T63_1_V_NODE_535_length_8801_cov_8.583810||full	0	0	0	1.6077678	2.5105395	0	1.393225	0
KSW-T63_1_V_NODE_537_length_8770_cov_10.492828||full	0	0	0	2.4111323	0	0	3.2977352	2.3288496
KSW-T63_1_V_NODE_542_length_8727_cov_5.266029||full	0	0	3.6730688	3.188635	1.9708835	1.4318686	2.342192	1.8216912
KSW-T63_1_V_NODE_548_length_8666_cov_7.476367||full	0	0	0	0	0	0	2.3159132	0
KSW-T63_1_V_NODE_551_length_8602_cov_5.765298||full	0	0	0	0	0	0	2.6067955	2.3145025
KSW-T63_1_V_NODE_552_length_8580_cov_25.197067||full	3.3833249	0	1.9030492	1.9561862	4.802298	0	7.248317	2.2604313
KSW-T63_1_V_NODE_556_length_8493_cov_8.720787||full	0	0	1.8070683	2.6238933	6.0169845	0	3.2429547	1.5835854
KSW-T63_1_V_NODE_558_length_8486_cov_7.800024||full	0	0	3.0133572	2.8137043	2.0273404	0	3.4085279	2.3156824
KSW-T63_1_V_NODE_559_length_8481_cov_26.253857||full	0	0	0	12.312292	0	0	10.910489	75.408394
KSW-T63_1_V_NODE_566_length_8433_cov_42.727501||full	6.433114	1.850256	1.9360083	2.2812948	8.3482485	0	14.613631	6.7914267
KSW-T63_1_V_NODE_578_length_8323_cov_6.303701||full	0	0	0	0	0	0	2.7203472	0
KSW-T63_1_V_NODE_579_length_8322_cov_7.971453||full	0	1.9530665	5.389152	1.2296456	3.100961	0	3.339865	1.242807
KSW-T63_1_V_NODE_580_length_8315_cov_21.158959||full	0	0	0	1.2304072	0	0	7.8075395	3.5605786
KSW-T63_1_V_NODE_584_length_8291_cov_29.321758||full	7.599019	3.3386745	6.464911	6.611062	14.387497	1.9717448	6.4094877	3.3273726
KSW-T63_1_V_NODE_586_length_8275_cov_9.849635||full	2.1958547	0	1.4795954	0	3.08255	0	4.0200562	1.3916218
KSW-T63_1_V_NODE_594_length_8236_cov_5.138247||full	0	0	0	0	0	0	1.3674008	0
KSW-T63_1_V_NODE_605_length_8148_cov_22.912764||full	3.6891305	0	2.9449108	1.7580644	4.666888	0	6.382233	3.3157878
KSW-T63_1_V_NODE_610_length_8109_cov_5.941396||full	0	0	4.147048	1.1270701	0	0	2.671727	0.9563622
KSW-T63_1_V_NODE_612_length_8094_cov_8.330265||full	2.1764874	0	1.1175098	1.5502956	2.2925205	0	2.0945334	0.84624773
KSW-T63_1_V_NODE_614_length_8074_cov_9.426487||full	0	0	0	3.0080323	2.1869044	2.0210934	4.0259624	2.7061021
KSW-T63_1_V_NODE_617_length_8042_cov_4.372230||full	0	0	1.8705869	0	1.1330005	0	1.4736542	0
KSW-T63_1_V_NODE_620_length_8033_cov_384.819504||full	22.582556	9.6154	11.164426	45.567585	19.172146	6.2979784	90.45636	30.625824
KSW-T63_1_V_NODE_626_length_7964_cov_13.959540||full	0	0	0	1.069473	2.518451	0	3.1088998	0
KSW-T63_1_V_NODE_627_length_7943_cov_8.040948||full	0	0	0	0	0	0	1.9332606	1.0252982
KSW-T63_1_V_NODE_628_length_7937_cov_4.694367||full	0	0	2.4532678	2.5783043	0	0	0.98516536	0
KSW-T63_1_V_NODE_629_length_7924_cov_105.584827||full	38.048573	21.09644	18.811428	19.026648	37.37455	9.171688	21.598583	11.1651325
KSW-T63_1_V_NODE_634_length_7897_cov_5.419791||full	0	0	1.9172788	0	2.3210547	0	2.5165079	0
KSW-T63_1_V_NODE_637_length_7881_cov_17.956044||full	0	0	1.6223856	1.662054	1.3787572	0	4.1126375	2.2310421
KSW-T63_1_V_NODE_644_length_7812_cov_6.069872||full	0	1.4995824	0	1.7309113	3.5969462	0	2.6078432	0
KSW-T63_1_V_NODE_648_length_7778_cov_5.767059||full	1.46572	0	0	0	1.7749261	0	2.337347	0.76441747
KSW-T63_1_V_NODE_652_length_7731_cov_8.725899||full	3.9775522	2.8589315	2.4423316	4.3411183	8.080688	1.5267625	3.546073	2.457983
KSW-T63_1_V_NODE_658_length_7683_cov_19.829575||full	4.0468526	2.0727167	1.561393	1.4736476	4.4185467	0	8.410615	4.6095777
KSW-T63_1_V_NODE_660_length_7656_cov_9.099461||full	0	0	0	1.2592274	0	0	2.8570776	4.8408256
KSW-T63_1_V_NODE_665_length_7635_cov_5.182718||full	0	0	0	0	1.6303207	0	2.0726936	0
KSW-T63_1_V_NODE_667_length_7624_cov_16.760470||full	0	0	0	0	0	0	6.1932063	1.6447958
KSW-T63_1_V_NODE_673_length_7601_cov_24.525046||full	5.4099946	2.2667036	3.1314306	1.6335483	5.539572	0	6.1111875	1.7179359
KSW-T63_1_V_NODE_683_length_7570_cov_179.258017||full	92.35573	61.384445	82.31577	78.91655	95.65697	52.129135	59.459206	25.471693
KSW-T63_1_V_NODE_685_length_7546_cov_90.222534||full	2.5777712	0	2.027696	3.6087513	1.7194244	0	37.341408	18.394707
KSW-T63_1_V_NODE_693_length_7509_cov_48.058760||full	0	0	0	2.9215112	0	0	9.719128	49.567028
KSW-T63_1_V_NODE_700_length_7487_cov_8.493945||full	0	0	1.0837423	1.8334763	0	0	2.646121	6.1326056
KSW-T63_1_V_NODE_703_length_7479_cov_7.195447||full	0	0	0	0	0	0	1.5367755	1.8321598
KSW-T63_1_V_NODE_710_length_7449_cov_25.424263||full	0	0	2.6932428	2.1428628	5.0137787	0	9.333681	4.234414
KSW-T63_1_V_NODE_712_length_7442_cov_26.492622||full	2.229124	0	5.5251846	1.8337228	2.798944	0	9.800828	4.2221627
KSW-T63_1_V_NODE_718_length_7387_cov_9.053601||full	0	0	0	0	0	0	1.7787502	0
KSW-T63_1_V_NODE_720_length_7385_cov_85.032469||full	0	0	0	1.5802695	0	0	13.6794405	8.627644
KSW-T63_1_V_NODE_721_length_7385_cov_55.417462||full	6.1003637	3.1342936	4.4877553	4.2802095	9.499138	0	13.332417	5.8991213
KSW-T63_1_V_NODE_729_length_7344_cov_6.801756||full	0	0	0	0	1.3443501	0	1.4834205	0
KSW-T63_1_V_NODE_731_length_7335_cov_4.282005||full	0	0	0	0	0	0	1.9517378	0.7928614
KSW-T63_1_V_NODE_736_length_7300_cov_4.314286||full	0	3.417699	2.5851297	1.2646394	3.5386941	0	1.303407	0
KSW-T63_1_V_NODE_742_length_7266_cov_5.279573||full	0	0	2.2738411	0	0	0	1.5170085	0
KSW-T63_1_V_NODE_747_length_7245_cov_11.776356||full	2.288822	0	3.1215916	2.654792	7.90323	1.269648	4.381567	1.6056428
KSW-T63_1_V_NODE_748_length_7237_cov_21.249791||full	0	0	5.571499	1.9605805	3.3779075	0	3.9444103	2.0363443
KSW-T63_1_V_NODE_753_length_7211_cov_68.820291||full	28.801086	0	31.535501	22.8582	22.47816	5.489161	26.459902	11.47493
KSW-T63_1_V_NODE_759_length_7188_cov_140.616851||full	0	0	3.497921	4.525228	1.4696136	0	43.76114	61.36129
KSW-T63_1_V_NODE_760_length_7185_cov_4.738990||full	0	0	0	1.4051274	1.5121605	0	1.9537022	1.853174
KSW-T63_1_V_NODE_762_length_7178_cov_7.928120||full	0	0	6.1001883	3.6878524	1.3847171	0	2.466186	3.7702382
KSW-T63_1_V_NODE_765_length_7148_cov_4.006767||full	0	0	1.7888249	1.2026193	2.5336714	1.4086777	0.85681903	0
KSW-T63_1_V_NODE_772_length_7110_cov_4.263501||full	0	0	0	0	0	0	1.9131162	0
KSW-T63_1_V_NODE_778_length_7086_cov_14.771014||full	0	0	2.1379201	1.4636847	1.1502947	0	5.319638	2.262823
KSW-T63_1_V_NODE_782_length_7067_cov_400.140616||full	17.60358	11.638259	32.540222	41.589615	5.22155	3.1935856	59.73176	57.11722
KSW-T63_1_V_NODE_783_length_7052_cov_9.494498||full	0	0	0	0	0	0	2.1775916	0
KSW-T63_1_V_NODE_784_length_7044_cov_6.195021||full	0	0	1.7670332	2.3709917	2.6002512	1.3549396	1.9841394	2.4179468
KSW-T63_1_V_NODE_789_length_7025_cov_7.371593||full	0	0	0	0	1.9327135	0	1.6892821	0
KSW-T63_1_V_NODE_794_length_7003_cov_5.018135||full	126.92106	0	0	0	10.579285	20.995214	1.4489874	8.435595
KSW-T63_1_V_NODE_807_length_6927_cov_6.001746||full	2.2570002	0	2.2841077	1.0694329	2.6614447	1.8394107	1.1350788	0
KSW-T63_1_V_NODE_809_length_6894_cov_42.529463||full	0	0	5.7061267	4.5714774	10.605223	2.215763	13.570066	2.1001852
KSW-T63_1_V_NODE_815_length_6871_cov_26.560153||full	0	0	0	1.1983509	0	0	5.778763	3.0279431
KSW-T63_1_V_NODE_830_length_6816_cov_5.439136||full	0	0	0	0	0	0	1.5347099	0
KSW-T63_1_V_NODE_834_length_6804_cov_135.502148||full	18.166605	12.03523	24.032938	29.460737	26.752333	13.342876	28.855244	24.85168
KSW-T63_1_V_NODE_835_length_6798_cov_25.514904||full	6.810839	4.064281	7.898888	7.225019	16.21579	1.9917146	9.576408	2.852481
KSW-T63_1_V_NODE_837_length_6770_cov_5.197022||full	0	0	0	0	0	0	2.079152	0
KSW-T63_1_V_NODE_838_length_6764_cov_4.891042||full	0	0	0	1.1702299	1.4394094	1.4375641	1.2399989	0
KSW-T63_1_V_NODE_847_length_6730_cov_4.711311||full	0	0	1.278864	2.3150344	2.5845134	0	2.0318923	1.1070378
KSW-T63_1_V_NODE_849_length_6725_cov_9.114993||full	0	0	2.8955348	1.6229934	2.3224616	0	3.9926362	1.2110505
KSW-T63_1_V_NODE_852_length_6722_cov_4.060747||full	0	0	0	0	0	0	0.9250232	0
KSW-T63_1_V_NODE_854_length_6721_cov_6.424092||full	0	0	2.692402	0	0	0	1.8923746	0
KSW-T63_1_V_NODE_855_length_6718_cov_4.024614||full	0	0	0	0	0	0	1.5285997	1.8473339
KSW-T63_1_V_NODE_858_length_6707_cov_41.916416||full	3.5031545	4.5071535	6.5397744	7.4858117	10.597256	2.1222718	10.240159	11.372033
KSW-T63_1_V_NODE_863_length_6682_cov_22.109250||full	0	0	0	0.877843	4.7757344	0	7.8522067	4.178276
KSW-T63_1_V_NODE_867_length_6664_cov_54.939325||full	4.9174023	2.3129952	2.441908	2.0656111	7.4024415	0	10.655093	4.0319095
KSW-T63_1_V_NODE_871_length_6655_cov_26.620455||full	2.6482997	0	0	0.7586463	3.3337758	0	10.406701	6.877584
KSW-T63_1_V_NODE_872_length_6649_cov_38.231877||full	3.221923	0	0	1.8262246	5.4129496	0	14.849561	12.540617
KSW-T63_1_V_NODE_875_length_6642_cov_7.314863||full	0	0	0	2.1415255	0	0	1.8233829	1.0835369
KSW-T63_1_V_NODE_877_length_6626_cov_12.125247||full	0	0	2.811204	3.543474	6.4355693	2.5343244	2.8523114	5.8012342
KSW-T63_1_V_NODE_878_length_6620_cov_42.062909||full	0	0	4.8889985	3.349841	4.665743	0	14.878702	6.7988224
KSW-T63_1_V_NODE_882_length_6616_cov_4.844231||full	0	0	0	0	0	0	2.0227094	1.3095642
KSW-T63_1_V_NODE_883_length_6595_cov_42.592966||full	0	0	0	1.5934163	0	0	13.775383	5.7255397
KSW-T63_1_V_NODE_886_length_6591_cov_6.720012||full	2.4801104	0	0	0	2.2469835	0	2.6617894	0.7107409
KSW-T63_1_V_NODE_893_length_6558_cov_8.801938||full	0	2.726101	3.7790992	3.2246501	6.1438923	1.1911309	2.6864617	1.9515563
KSW-T63_1_V_NODE_898_length_6538_cov_13.403363||full	0	0	0	2.4627838	2.8394277	0	4.6839876	5.873483
KSW-T63_1_V_NODE_906_length_6510_cov_7.356003||full	3.120629	2.3789263	3.307847	2.315695	6.309291	0	2.8313935	1.0870352
KSW-T63_1_V_NODE_908_length_6506_cov_8.132693||full	0	0	0	0	0	0	1.8529934	0.99320936
KSW-T63_1_V_NODE_909_length_6505_cov_39.952248||full	7.119899	5.1484346	5.6561136	2.7693868	13.43599	0	9.054778	3.419268
KSW-T63_1_V_NODE_917_length_6484_cov_6.677555||full	0	5.7442145	4.0552344	2.4110286	3.4036262	0	2.862475	2.1041746
KSW-T63_1_V_NODE_923_length_6460_cov_4.456362||full	0	0	0	2.3264747	0	0	1.9068055	1.3597326
KSW-T63_1_V_NODE_924_length_6457_cov_21.600437||full	0	0	0	0	1.3671963	0	4.5231752	2.6027472
KSW-T63_1_V_NODE_938_length_6412_cov_5.110429||full	0	0	0	0	1.0375109	0	2.2670827	1.0581006
KSW-T63_1_V_NODE_941_length_6393_cov_13.985484||full	0	0	0	0	0	0	4.435144	1.2333261
KSW-T63_1_V_NODE_944_length_6369_cov_6.505068||full	0	0	0	0	0	0	1.094477	0
KSW-T63_1_V_NODE_946_length_6355_cov_45.955238||full	7.23367	7.214316	9.938473	14.818247	7.090445	3.0602846	13.079902	13.959403
KSW-T63_1_V_NODE_948_length_6343_cov_48.159033||full	0	0	2.6362488	10.605901	0	0	13.889938	5.89106
KSW-T63_1_V_NODE_949_length_6342_cov_4.078575||full	2.5610986	0	1.9542336	0	3.5340848	0	1.5749366	0
KSW-T63_1_V_NODE_957_length_6294_cov_27.599615||full	0	4.906288	20.500849	5.7010765	11.868279	1.1307877	11.256596	4.8268523
KSW-T63_1_V_NODE_984_length_6209_cov_15.229932||full	0	0	1.1723212	0	0	0	3.369141	1.3327634
KSW-T63_1_V_NODE_986_length_6204_cov_7.070906||full	0	0	0	0	0	0	1.7280098	1.0701504
KSW-T63_1_V_NODE_992_length_6194_cov_37.956345||full	0	0	0	1.1496838	0	0	9.496283	4.4412575
KSW-T63_1_V_NODE_996_length_6184_cov_16.072932||full	7.8891835	3.203594	4.3940363	1.6135796	8.1428175	0	5.6485753	1.9323878
KSW-T63_1_V_NODE_999_length_6166_cov_8.973327||full	0	0	0	0	1.4315089	0	2.154091	0
KSW-T63_1_V_NODE_1001_length_6161_cov_27.590075||full	5.215812	0	1.7559379	1.5723094	7.0910354	0	10.429228	4.9940352
KSW-T63_1_V_NODE_1004_length_6153_cov_5.285175||full	0	0	1.9937868	1.6323545	2.7458549	0	2.1448193	0.81632036
KSW-T63_1_V_NODE_1018_length_6085_cov_19.235323||full	0	0	0	1.2382308	18.876759	1.5456998	6.1466556	6.9067755
KSW-T63_1_V_NODE_1023_length_6075_cov_4.128571||full	0	0	0	0	0	0	0.92243874	0
KSW-T63_1_V_NODE_1026_length_6069_cov_5.725640||full	0	0	0	0	0	0	1.4131509	0
KSW-T63_1_V_NODE_1033_length_6026_cov_20.779936||full	0	0	0	0	0	0	4.24381	5.3686147
KSW-T63_1_V_NODE_1037_length_6022_cov_49.798391||full	0	0	2.6448493	12.366356	0	0	16.71918	8.4126
KSW-T63_1_V_NODE_1044_length_6003_cov_34.948218||full	0	0	0	2.500109	0	0	13.8113785	7.128353
KSW-T63_1_V_NODE_1048_length_5996_cov_11.311227||full	0	0	0	0.8646826	0	0	1.7755778	1.2936577
KSW-T63_1_V_NODE_1066_length_5957_cov_23.225008||full	0	5.1293726	18.19393	4.1226892	9.461939	0	7.765648	3.9714966
KSW-T63_1_V_NODE_1075_length_5939_cov_173.528552||full	47.878433	15.383948	30.380508	31.9593	43.54826	16.312424	32.51616	11.993739
KSW-T63_1_V_NODE_1081_length_5919_cov_3.797578||full	0	0	0	1.1086928	0	0	0.84534484	0
KSW-T63_1_V_NODE_1090_length_5891_cov_8.450308||full	0	0	0	0	0	0	1.8480203	1.0232142
KSW-T63_1_V_NODE_1093_length_5858_cov_49.211098||full	2.1869593	0	3.8021119	1.5403647	2.4781768	0	9.379739	4.312303
KSW-T63_1_V_NODE_1094_length_5857_cov_3.298345||full	0	0	0	0	0	0	1.1581999	0
KSW-T63_1_V_NODE_1112_length_5811_cov_5.278145||full	0	0	0	0	1.7331063	0	2.0820525	0
KSW-T63_1_V_NODE_1114_length_5804_cov_4.517133||full	0	0	2.1686232	1.9038043	0	0	1.6392561	0.82401294
KSW-T63_1_V_NODE_1122_length_5787_cov_11.415562||full	0	0	0	0	1.7602391	0	2.4421136	0.71487725
KSW-T63_1_V_NODE_1123_length_5787_cov_4.206211||full	3.1844702	3.876858	2.0971358	1.2574128	4.172348	1.6625687	1.1236724	0.8643794
KSW-T63_1_V_NODE_1125_length_5781_cov_5.029864||full	0	0	0	0	0	0	1.0505033	0
KSW-T63_1_V_NODE_1129_length_5770_cov_38.752056||full	0	0	0	1.2769043	0	0	10.809627	4.682803
KSW-T63_1_V_NODE_1150_length_5699_cov_7.197201||full	0	0	0	0.9379826	1.795624	0	2.3915575	0.9799269
KSW-T63_1_V_NODE_1152_length_5697_cov_4.503899||full	0	0	0	0.93419385	0	0	1.2571125	0
KSW-T63_1_V_NODE_1155_length_5692_cov_14.854355||full	0	0	0	0	0	0	5.8119984	0
KSW-T63_1_V_NODE_1159_length_5685_cov_3.297869||full	0	0	0	0	0	0	0.74854964	0
KSW-T63_1_V_NODE_1160_length_5684_cov_24.564932||full	0	0	0	0	0	0	4.7574487	3.0357544
KSW-T63_1_V_NODE_1161_length_5679_cov_11.420697||full	2.560483	0	1.1452335	0	3.1950374	0	4.3717685	2.4177654
KSW-T63_1_V_NODE_1172_length_5640_cov_9.431871||full	1.9605327	0	0	0	2.3680425	0	3.6250389	1.4211879
KSW-T63_1_V_NODE_1174_length_5633_cov_38.619039||full	0	0	0	0	0	0	14.329104	1.0783082
KSW-T63_1_V_NODE_1175_length_5630_cov_18.541345||full	3.621155	2.5404859	5.2058163	7.270378	9.368377	2.5592334	6.5098877	3.031131
KSW-T63_1_V_NODE_1186_length_5613_cov_3.785714||full	0	0	1.6821227	0	1.4921895	0	1.2924937	0
KSW-T63_1_V_NODE_1190_length_5606_cov_15.852639||full	0	0	2.2456317	1.3142726	1.574813	0	2.857122	1.1530727
KSW-T63_1_V_NODE_1193_length_5599_cov_3.400974||full	0	0	0	0.6822052	0	0	0.92535365	0
KSW-T63_1_V_NODE_1194_length_5596_cov_26.852734||full	1.9135208	0	2.2137039	1.8279883	2.0218773	0	6.749081	3.3717859
KSW-T63_1_V_NODE_1195_length_5595_cov_6.122383||full	0	0	0	1.5363338	0	0	1.4313706	0.76252484
KSW-T63_1_V_NODE_1201_length_5569_cov_7.219079||full	2.0483205	0	0	0	0	0	2.843296	0
KSW-T63_1_V_NODE_1202_length_5564_cov_24.533309||full	0	2.524463	5.080133	4.164462	5.8054147	0	4.4071727	1.5410303
KSW-T63_1_V_NODE_1206_length_5561_cov_6.010352||full	0	0	1.0259734	2.822079	0	0	2.44018	1.1393638
KSW-T63_1_V_NODE_1208_length_5550_cov_136.932848||full	0	0	5.176422	5.2382903	2.12171	0	40.29915	55.576782
KSW-T63_1_V_NODE_1209_length_5546_cov_77.583318||full	4.4876103	2.228103	8.089562	5.586621	6.328892	0	24.82914	11.47317
KSW-T63_1_V_NODE_1210_length_5546_cov_10.787106||full	0	0	0	0	1.3055918	0	2.524199	0
KSW-T63_1_V_NODE_1211_length_5545_cov_4.947723||full	0	0	0	0.888379	1.9507632	0	1.9305953	1.807329
KSW-T63_1_V_NODE_1216_length_5526_cov_130.711022||full	16.883375	0	1.423846	5.2344623	6.0627627	1.3194153	31.030994	44.35775
KSW-T63_1_V_NODE_1219_length_5525_cov_4.414442||full	0	2.882964	1.3172959	0.8890318	2.868042	0	1.1255035	0
KSW-T63_1_V_NODE_1233_length_5483_cov_10.063559||full	0	0	0	0	2.1468713	0	2.7494016	0.9431593
KSW-T63_1_V_NODE_1234_length_5483_cov_6.414333||full	0	0	0	0	0	0	1.5468205	0
