Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_1_V_NODE_270_length_5558_cov_6.468290||full	9.204601	4.7976236	9.913085	20.407276	32.92062	21.65276	11.243089	39.557415
KSW-C0_1_V_NODE_277_length_5493_cov_27.257815||full	34.86924	60.37446	37.46457	73.8275	79.11527	18.700975	40.313686	21.417017
KSW-C0_1_V_NODE_278_length_5472_cov_517.713679||full	679.9333	1201.3054	2092.8145	549.6984	255.76399	515.512	219.1353	879.22296
KSW-C0_1_V_NODE_298_length_5312_cov_4.248240||full	6.3616004	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_300_length_5306_cov_13.972196||full	19.34568	29.167788	14.757681	3.4464583	10.710621	17.114569	0.65714025	0
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	10.161405	8.309654	17.202091	35.219162	28.19361	4.9714756	89.04126	37.52105
KSW-C0_1_V_NODE_326_length_5191_cov_3.285631||full	6.002583	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	3.1995804	0	2.4285064	2.1582727	4.7161636	1.5739334	1.1813917	0
KSW-C0_1_V_NODE_336_length_5135_cov_36.528937||full	63.134304	117.582695	26.782259	5.1293287	27.117584	40.171284	1.2296064	0.83102125
KSW-C0_1_V_NODE_357_length_5039_cov_12.670746||full	22.150307	20.192522	9.798474	1.8142315	8.625649	15.468931	0	0
KSW-C0_1_V_NODE_366_length_5011_cov_5.733253||full	9.382325	0	0	0	0	0	0	0
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	3.0342464	0	2.119822	1.6609962	2.8461123	1.3164928	1.4102243	0
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	14.192671	10.7393265	21.132992	26.668535	21.249187	13.3053465	18.133427	14.1279
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	147.45042	199.6572	110.55034	211.45888	163.4211	160.7987	154.91713	121.004
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	11.458925	9.382239	17.171755	21.439781	15.953096	10.9684105	13.061371	10.222716
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	23.22613	18.744673	32.782078	33.933453	38.63657	14.6444845	38.310284	28.90335
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	247.092	53.165554	231.47252	319.0976	279.14627	170.78094	263.05563	580.6689
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	6.9520802	5.855662	11.067228	11.8900385	9.558876	6.0714746	7.753168	6.661436
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	518.8357	162.29697	129.32541	353.24576	416.32813	218.51457	372.1868	221.38931
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	15.178058	11.988827	24.67881	30.727482	25.316998	15.285067	22.934032	18.256155
KSW-C0_2_V_NODE_29_length_14009_cov_8.715494||full	3.0986216	5.007206	2.1906605	0	1.8826001	2.6991193	0	0
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	9.302595	10.986189	12.769125	19.580536	9.337904	3.831755	16.55536	16.37325
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	6.724209	5.0844493	9.995602	10.650482	7.82942	5.8129544	6.7664833	5.6676803
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	19.889189	14.0705185	15.632304	11.980121	22.181725	10.032213	7.669366	5.1770372
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	28.107735	37.10124	31.860767	47.09593	43.694252	23.278183	28.92464	17.438364
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	12.512176	9.523556	12.577916	6.2991753	16.207378	7.0573854	4.3343177	3.7344182
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	6.1473293	3.6411672	3.9252565	4.76474	4.5598626	1.4869719	12.832816	10.282934
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	7.3317904	9.6562195	4.023841	4.3796377	11.576751	5.4022937	3.3011107	1.7443467
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	10.78944	5.0937486	10.266806	15.217583	18.100996	2.4802077	58.425453	20.377523
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	0	6.1829267	8.257618	3.055851	8.509386	2.0319285	4.421842	2.4735632
KSW-C0_2_V_NODE_75_length_8532_cov_62.856907||full	21.54328	29.028467	7.007793	0	9.629864	20.262648	0	0
KSW-C0_2_V_NODE_80_length_8359_cov_45.037211||full	22.763664	38.246254	8.76161	1.6002092	9.489882	16.157858	0	0
KSW-C0_2_V_NODE_82_length_8267_cov_9.707379||full	11.285548	9.98761	8.161322	7.5920205	12.103041	6.7826295	4.638548	3.5968504
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	4.7007523	4.9749517	2.5564697	2.0384269	4.5642643	2.3194165	0.8239685	1.0207007
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	10.392454	7.7331176	16.947788	18.718203	15.709055	9.949883	13.436633	10.37397
KSW-C0_2_V_NODE_88_length_8133_cov_32.630478||full	21.159845	33.23131	3.2353256	0	8.477586	13.463697	0	0
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	9.0754595	6.4934125	11.739291	15.730456	13.091072	8.0698805	10.060873	9.086561
KSW-C0_2_V_NODE_96_length_7851_cov_10.874679||full	8.198291	10.968818	2.35939	0	5.281259	6.383983	0	0
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	0	14.424357	13.228145	10.435308	13.195485	2.0094984	13.191499	9.424601
KSW-C0_2_V_NODE_103_length_7657_cov_4.429755||full	3.4736116	4.4560375	0	0	2.659784	4.7593384	0	0
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	8.726727	8.209569	4.599759	3.39112	7.834344	4.059423	1.8003391	2.3321633
KSW-C0_2_V_NODE_112_length_7421_cov_116.015884||full	88.275894	109.71867	22.077826	2.739244	34.55788	43.459652	0	0.94066125
KSW-C0_2_V_NODE_117_length_7201_cov_13.517772||full	17.851728	14.130276	2.5132325	2.1032991	10.50019	9.93279	0.6934929	0
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	12.273356	8.544055	13.554159	18.939068	20.454735	3.3542774	76.246895	42.35633
KSW-C0_2_V_NODE_124_length_7015_cov_9.486351||full	9.622639	15.054516	4.5250926	0	5.618671	5.175822	0	0
KSW-C0_2_V_NODE_125_length_7000_cov_8.282937||full	4.8379726	7.70929	1.2646121	0	1.7464029	2.0833073	0	0
KSW-C0_2_V_NODE_136_length_6741_cov_5.969488||full	2.8978302	4.2626305	2.2794569	0	2.48517	7.43795	0	0
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	27.465977	12.721914	27.809116	45.119156	64.24671	17.274454	40.660698	18.120552
KSW-C0_2_V_NODE_138_length_6659_cov_4.723047||full	2.4383903	4.050909	0	0	0	1.0946906	0	0
KSW-C0_2_V_NODE_147_length_6471_cov_4.346478||full	4.9755387	4.1210346	1.9395471	0	2.0903435	2.9343557	0	0
KSW-C0_2_V_NODE_151_length_6414_cov_50.218431||full	27.478537	46.834335	6.256927	1.7019784	15.318861	28.178045	0	0
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	9.517104	8.332083	6.576359	4.8874454	11.460384	4.5877895	3.554969	2.3258023
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	17.008314	19.66824	12.030229	14.346515	37.054607	12.5757885	11.170217	7.5474224
KSW-C0_2_V_NODE_172_length_6089_cov_7.823666||full	4.4845176	12.976687	3.5222695	0	3.1981616	4.6770196	0	0
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	7.551124	8.866191	12.798606	11.657462	14.505673	5.5049577	6.9353247	4.0359826
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	13.004368	15.80639	20.243092	32.286102	15.37993	6.82228	27.34683	28.783785
KSW-C0_2_V_NODE_182_length_5988_cov_30.018203||full	45.110134	30.877964	21.443125	11.7987995	31.51714	20.518112	3.86929	0
KSW-C0_2_V_NODE_185_length_5973_cov_16.735722||full	15.735154	23.238012	8.8256035	1.2334926	7.7690754	15.199892	0	0
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	151.0744	31.863348	127.0885	163.02513	163.66228	106.08636	132.82915	261.90308
