vMAGs	sample
KSW-V-S2C20046	KSW-VF
KSW-V-S2C20063	KSW-VF
KSW-V-S2C20429	KSW-VF
KSW-V-S2C20760	KSW-VF
KSW-V-S2C20791	KSW-VF
KSW-V-S2C21147	KSW-VF
KSW-V-S2C2332	KSW-VF
KSW-V-S2C2659	KSW-VF
KSW-V-S2C4854	KSW-VF
KSW-V-S2C5886	KSW-VF
KSW-V-S2C7617	KSW-VF
KSW-V-S2C79_1	KSW-VF
KSW-V-S2C8139	KSW-VF
KSW-V-S2C8669	KSW-VF
KSW-V-S2C8718	KSW-VF
KSW-V-S2C8781	KSW-VF
KSW-V-S2C9906	KSW-VF
KSW-V-S3C12485	KSW-VF
KSW-V-S3C12792	KSW-VF
KSW-V-S3C13810	KSW-VF
KSW-V-S3C13890	KSW-VF
KSW-V-S3C1396	KSW-VF
KSW-V-S3C13992	KSW-VF
KSW-V-S3C14099	KSW-VF
KSW-V-S3C14375	KSW-VF
KSW-V-S3C14505	KSW-VF
KSW-V-S3C15094	KSW-VF
KSW-V-S3C16520	KSW-VF
KSW-V-S3C17358	KSW-VF
KSW-V-S3C17502	KSW-VF
KSW-V-S3C18185	KSW-VF
KSW-V-S3C18410	KSW-VF
KSW-V-S3C18476	KSW-VF
KSW-V-S3C18679	KSW-VF
KSW-V-S3C19205	KSW-VF
KSW-V-S3C20640	KSW-VF
KSW-V-S3C264	KSW-VF
KSW-V-S3C3304	KSW-VF
KSW-V-S3C3320	KSW-VF
KSW-V-S3C3331	KSW-VF
KSW-V-S3C4149	KSW-VF
KSW-V-S3C4561	KSW-VF
KSW-V-S3C5651	KSW-VF
KSW-V-S3C60	KSW-VF
KSW-V-S3C8363	KSW-VF
KSW-V-S3C9479	KSW-VF
KSW-V-S4C10481	KSW-VF
KSW-V-S4C11420	KSW-VF
KSW-V-S4C12559	KSW-VF
KSW-V-S4C13948	KSW-VF
KSW-V-S4C14499	KSW-VF
KSW-V-S4C14504	KSW-VF
KSW-V-S4C15101	KSW-VF
KSW-V-S4C1589	KSW-VF
KSW-V-S4C18710	KSW-VF
KSW-V-S4C19402	KSW-VF
KSW-V-S4C2231	KSW-VF
KSW-V-S4C253	KSW-VF
KSW-V-S4C3095	KSW-VF
KSW-V-S4C3759	KSW-VF
KSW-V-S4C41	KSW-VF
KSW-V-S4C9579	KSW-VF
KSW-V-S5C1114	KSW-VF
KSW-V-S5C11316	KSW-VF
KSW-V-S5C11574	KSW-VF
KSW-V-S5C1263	KSW-VF
KSW-V-S5C12710	KSW-VF
KSW-V-S5C13548	KSW-VF
KSW-V-S5C13580	KSW-VF
KSW-V-S5C13919	KSW-VF
KSW-V-S5C14659	KSW-VF
KSW-V-S5C15218	KSW-VF
KSW-V-S5C1538	KSW-VF
KSW-V-S5C15397	KSW-VF
KSW-V-S5C15410	KSW-VF
KSW-V-S5C15541	KSW-VF
KSW-V-S5C15577	KSW-VF
KSW-V-S5C15786	KSW-VF
KSW-V-S5C16245	KSW-VF
KSW-V-S5C16520	KSW-VF
KSW-V-S5C16676	KSW-VF
KSW-V-S5C16999	KSW-VF
KSW-V-S5C17344	KSW-VF
KSW-V-S5C17638	KSW-VF
KSW-V-S5C18377	KSW-VF
KSW-V-S5C18975	KSW-VF
KSW-V-S5C19096	KSW-VF
KSW-V-S5C19402	KSW-VF
KSW-V-S5C19589	KSW-VF
KSW-V-S5C19605	KSW-VF
KSW-V-S5C198	KSW-VF
KSW-V-S5C19900	KSW-VF
KSW-V-S5C19906	KSW-VF
KSW-V-S5C20019	KSW-VF
KSW-V-S5C20097	KSW-VF
KSW-V-S5C2045	KSW-VF
KSW-V-S5C20466	KSW-VF
KSW-V-S5C20481	KSW-VF
KSW-V-S5C2064	KSW-VF
KSW-V-S5C20760	KSW-VF
KSW-V-S5C20809	KSW-VF
KSW-V-S5C2081	KSW-VF
KSW-V-S5C21011	KSW-VF
KSW-V-S5C229	KSW-VF
KSW-V-S5C2440	KSW-VF
KSW-V-S5C2547	KSW-VF
KSW-V-S5C2955	KSW-VF
KSW-V-S5C3305	KSW-VF
KSW-V-S5C4711	KSW-VF
KSW-V-S5C519	KSW-VF
KSW-V-S5C5409	KSW-VF
KSW-V-S5C8561	KSW-VF
KSW-V-S5C9092	KSW-VF
KSW-V-S6C10021	KSW-VF
KSW-V-S6C10260	KSW-VF
KSW-V-S6C1028	KSW-VF
KSW-V-S6C1138	KSW-VF
KSW-V-S6C11598	KSW-VF
KSW-V-S6C11683	KSW-VF
KSW-V-S6C11749	KSW-VF
KSW-V-S6C11799	KSW-VF
KSW-V-S6C13264	KSW-VF
KSW-V-S6C13424	KSW-VF
KSW-V-S6C13810	KSW-VF
KSW-V-S6C14254	KSW-VF
KSW-V-S6C14454	KSW-VF
KSW-V-S6C15302	KSW-VF
KSW-V-S6C16197	KSW-VF
KSW-V-S6C16377	KSW-VF
KSW-V-S6C17992	KSW-VF
KSW-V-S6C18209	KSW-VF
KSW-V-S6C18486	KSW-VF
KSW-V-S6C18729	KSW-VF
KSW-V-S6C18901	KSW-VF
KSW-V-S6C19153	KSW-VF
KSW-V-S6C19912	KSW-VF
KSW-V-S6C2028	KSW-VF
KSW-V-S6C20491	KSW-VF
KSW-V-S6C20520	KSW-VF
KSW-V-S6C20942	KSW-VF
KSW-V-S6C2309	KSW-VF
KSW-V-S6C3166	KSW-VF
KSW-V-S6C382	KSW-VF
KSW-V-S6C394	KSW-VF
KSW-V-S6C4149	KSW-VF
KSW-V-S6C5566	KSW-VF
KSW-V-S6C5951	KSW-VF
KSW-V-S6C7027	KSW-VF
KSW-V-S6C632	KSW-VF
KSW-V-S6C7301	KSW-VF
KSW-V-S6C7742	KSW-VF
KSW-V-S6C7935	KSW-VF
KSW-V-S6C9883	KSW-VF
KSW-V-S7C1188	KSW-VF
KSW-V-S7C12505	KSW-VF
KSW-V-S7C12941	KSW-VF
KSW-V-S7C1349	KSW-VF
KSW-V-S7C13653	KSW-VF
KSW-V-S7C13810	KSW-VF
KSW-V-S7C14785	KSW-VF
KSW-V-S7C14798	KSW-VF
KSW-V-S7C14892	KSW-VF
KSW-V-S7C15497	KSW-VF
KSW-V-S7C17355	KSW-VF
KSW-V-S7C17358	KSW-VF
KSW-V-S7C17812	KSW-VF
KSW-V-S7C19385	KSW-VF
KSW-V-S7C19391	KSW-VF
KSW-V-S7C19439	KSW-VF
KSW-V-S7C19441	KSW-VF
KSW-V-S7C19589	KSW-VF
KSW-V-S7C2251	KSW-VF
KSW-V-S7C2342	KSW-VF
KSW-V-S7C3069	KSW-VF
KSW-V-S7C3095	KSW-VF
KSW-V-S7C3596	KSW-VF
KSW-V-S7C4005	KSW-VF
KSW-V-S7C4405	KSW-VF
KSW-V-S7C8720	KSW-VF
KSW-V-S7C9276	KSW-VF
KSW-V-S7C9426	KSW-VF
KSW-V-S8C12086	KSW-VF
KSW-V-S8C12115	KSW-VF
KSW-V-S8C13184	KSW-VF
KSW-V-S8C14024	KSW-VF
KSW-V-S8C15218	KSW-VF
KSW-V-S8C15872	KSW-VF
KSW-V-S8C16994	KSW-VF
KSW-V-S8C17450	KSW-VF
KSW-V-S8C17650	KSW-VF
KSW-V-S8C18019	KSW-VF
KSW-V-S8C18226	KSW-VF
KSW-V-S8C19589	KSW-VF
KSW-V-S8C19873	KSW-VF
KSW-V-S8C20775	KSW-VF
KSW-V-S8C3095	KSW-VF
KSW-V-S8C3759	KSW-VF
KSW-V-S8C7655	KSW-VF
KSW-V-S8C792	KSW-VF
KSW-V-S8C9567	KSW-VF
KSW-V-T0_1-NODE_197_length_9114_cov_4.918203	KSW-VF
KSW-V-T0_1-NODE_20_length_27877_cov_6.379232	KSW-VF
KSW-V-T0_1-NODE_400_length_6238_cov_6.637878	KSW-VF
KSW-V-T0_1-NODE_401_length_6224_cov_7.250608	KSW-VF
KSW-V-T0_1-NODE_437_length_5971_cov_18.271974	KSW-VF
KSW-V-T0_1-NODE_456_length_5848_cov_9.292595	KSW-VF
KSW-V-T0_1-NODE_551_length_5471_cov_7.087703	KSW-VF
KSW-V-T0_2-NODE_135_length_8212_cov_407.977443	KSW-VF
KSW-V-T0_2-NODE_236_length_6035_cov_4.235452	KSW-VF
KSW-V-T0_2-NODE_267_length_5755_cov_29.801930	KSW-VF
KSW-V-T0_2-NODE_274_length_5677_cov_4.926539	KSW-VF
KSW-V-T0_2-NODE_305_length_5406_cov_3.064287	KSW-VF
KSW-V-T0_2-NODE_356_length_5045_cov_17.456914	KSW-VF
KSW-V-T0_2-NODE_81_length_11050_cov_15.473943	KSW-VF
KSW-V-T63_1-NODE_1256_length_5436_cov_7.837948	KSW-VF
KSW-V-T63_2-NODE_1335_length_6042_cov_15.978787	KSW-VF
KSW-V-T63_2-NODE_1337_length_6039_cov_178.536096	KSW-VF
KSW-V-T63_2-NODE_1494_length_5706_cov_113.325960	KSW-VF
KSW-V-T63_2-NODE_1_length_116638_cov_32.454483	KSW-VF
KSW-V-T63_2-NODE_821_length_7929_cov_137.071628	KSW-VF
KSW-V-T63_2-NODE_914_length_7491_cov_7.727004	KSW-VF
KSD-NODE_233_length_37786_cov_12.616708	KSD
KSD-NODE_100_length_55053_cov_66.800102	KSD
KSD-k141_9763874	KSD
KSD-k141_9709310	KSD
KSD-k141_8706823	KSD
KSD-k141_8602846	KSD
KSD-k141_8382601	KSD
KSD-k141_8170858	KSD
KSD-k141_8108594	KSD
KSD-k141_8070369	KSD
KSD-k141_7620526_2	KSD
KSD-k141_7617658	KSD
KSD-k141_7177684	KSD
KSD-k141_7131289	KSD
KSD-k141_6941645	KSD
KSD-k141_6601177	KSD
KSD-k141_5951121	KSD
KSD-k141_5948142_2	KSD
KSD-k141_5825589	KSD
KSD-k141_5613609	KSD
KSD-k141_5032105	KSD
KSD-k141_4710214	KSD
KSD-k141_1936106	KSD
KSD-k141_1891203	KSD
KSD-k141_18795433	KSD
KSD-k141_1858200	KSD
KSD-k141_17665842	KSD
KSD-k141_17069524	KSD
KSD-k141_165879	KSD
KSD-k141_16115018	KSD
KSD-k141_16058499	KSD
KSD-k141_16026612	KSD
KSD-k141_15276615	KSD
KSD-k141_15111531	KSD
KSD-k141_151060	KSD
KSD-k141_14938382	KSD
KSD-k141_1491525	KSD
KSD-k141_14474543	KSD
KSD-k141_1418691	KSD
KSD-k141_1302870	KSD
KSD-k141_12863417	KSD
KSD-k141_1160282	KSD
KSD-k141_11404307	KSD
KSD-k141_11170057	KSD
KSD-k141_10407811	KSD
KSD-k141_1024276	KSD
KSD-k141_1022496	KSD
KSD-S9C927	KSD
KSD-S9C8537	KSD
KSD-S9C73500	KSD
KSD-S9C63800	KSD
KSD-S9C65359	KSD
KSD-S9C5827	KSD
KSD-S9C57442	KSD
KSD-S9C55539	KSD
KSD-S9C55181	KSD
KSD-S9C5416	KSD
KSD-S9C52679	KSD
KSD-S9C51327	KSD
KSD-S9C4968	KSD
KSD-S9C48154	KSD
KSD-S9C3875	KSD
KSD-S9C32964	KSD
KSD-S9C30371	KSD
KSD-S9C28335	KSD
KSD-S9C28096	KSD
KSD-S9C26847	KSD
KSD-S9C26195	KSD
KSD-S9C25446	KSD
KSD-S9C2417	KSD
KSD-S9C23987	KSD
KSD-S9C2297	KSD
KSD-S9C228358	KSD
KSD-S9C1969_1	KSD
KSD-S9C182749	KSD
KSD-S9C16266	KSD
KSD-S9C13074	KSD
KSD-S9C12993	KSD
KSD-S9C12829	KSD
KSD-S9C108831	KSD
KSD-S9C10615	KSD
KSD-S9C102793	KSD
KSD-S9C10107_1	KSD
KSD-S9C100039	KSD
KSD-S8C98698	KSD
KSD-S8C95336	KSD
KSD-S8C94926	KSD
KSD-S8C94249	KSD
KSD-S8C8287	KSD
KSD-S8C78468	KSD
KSD-S8C74902	KSD
KSD-S8C74454	KSD
KSD-S8C737	KSD
KSD-S8C6354	KSD
KSD-S8C71925	KSD
KSD-S8C6807	KSD
KSD-S8C57609	KSD
KSD-S8C5531	KSD
KSD-S8C47446	KSD
KSD-S8C45563	KSD
KSD-S8C4244	KSD
KSD-S8C4208	KSD
KSD-S8C41574	KSD
KSD-S8C37971	KSD
KSD-S8C3770	KSD
KSD-S8C36698	KSD
KSD-S8C36390	KSD
KSD-S8C36227	KSD
KSD-S8C34122	KSD
KSD-S8C33913	KSD
KSD-S8C3272	KSD
KSD-S8C27764	KSD
KSD-S8C2515	KSD
KSD-S8C2441	KSD
KSD-S8C240881	KSD
KSD-S8C220134	KSD
KSD-S8C21800	KSD
KSD-S8C20864	KSD
KSD-S8C19207	KSD
KSD-S8C183546	KSD
KSD-S8C17326	KSD
KSD-S8C1633_1	KSD
KSD-S8C157240	KSD
KSD-S8C15301	KSD
KSD-S8C14873	KSD
KSD-S8C14444	KSD
KSD-S8C14308	KSD
KSD-S8C14234	KSD
KSD-S8C13913	KSD
KSD-S8C13656	KSD
KSD-S8C13073	KSD
KSD-S8C130701	KSD
KSD-S8C12073	KSD
KSD-S8C116320	KSD
KSD-S8C11452	KSD
KSD-S8C112118	KSD
KSD-S8C10640	KSD
KSD-S8C104899	KSD
KSD-S8C103228	KSD
KSD-S8C10094	KSD
KSD-S7C87517	KSD
KSD-S7C79077	KSD
KSD-S7C6478	KSD
KSD-S7C54539	KSD
KSD-S7C33978	KSD
KSD-S7C32657	KSD
KSD-S7C27548	KSD
KSD-S7C25206	KSD
KSD-S7C234367	KSD
KSD-S7C17332	KSD
KSD-S7C17314	KSD
KSD-S7C146788	KSD
KSD-S7C126909	KSD
KSD-S6C9440_1	KSD
KSD-S6C6113	KSD
KSD-S6C43733	KSD
KSD-S6C3980	KSD
KSD-S6C21885	KSD
KSD-S6C15245	KSD
KSD-S6C12763_1	KSD
KSD-S6C110830	KSD
KSD-S6C10095	KSD
KSD-S5C98326	KSD
KSD-S5C9415	KSD
KSD-S5C8809	KSD
KSD-S5C76045	KSD
KSD-S5C69097_1	KSD
KSD-S5C65388	KSD
KSD-S5C4959	KSD
KSD-S5C47106	KSD
KSD-S5C44357	KSD
KSD-S5C41040	KSD
KSD-S5C3835	KSD
KSD-S5C3376	KSD
KSD-S5C33165	KSD
KSD-S5C3276	KSD
KSD-S5C3123	KSD
KSD-S5C28896	KSD
KSD-S5C24063	KSD
KSD-S5C169880	KSD
KSD-S5C157883	KSD
KSD-S5C13753	KSD
KSD-S5C129963	KSD
KSD-S4C87002	KSD
KSD-S4C63475	KSD
KSD-S4C62986	KSD
KSD-S4C61362	KSD
KSD-S4C60671	KSD
KSD-S4C58505	KSD
KSD-S4C49568	KSD
KSD-S4C4372	KSD
KSD-S4C34409	KSD
KSD-S4C2346	KSD
KSD-S4C20326	KSD
KSD-S4C198051	KSD
KSD-S4C195981	KSD
KSD-S4C182306	KSD
KSD-S4C11351	KSD
KSD-S4C108945	KSD
KSD-S3C97686	KSD
KSD-S3C76011	KSD
KSD-S3C74537	KSD
KSD-k141_4585007_2	KSD
KSD-k141_4369805	KSD
KSD-k141_4172048	KSD
KSD-k141_4074948	KSD
KSD-k141_4021253	KSD
KSD-k141_3850250	KSD
KSD-k141_3728400	KSD
KSD-k141_3377939_2	KSD
KSD-k141_3368872	KSD
KSD-k141_3071386	KSD
KSD-k141_3070963_2	KSD
KSD-k141_2974545	KSD
KSD-k141_2557212	KSD
KSD-k141_2462674	KSD
KSD-k141_2425733	KSD
KSD-k141_23868795	KSD
KSD-k141_23868365	KSD
KSD-k141_23868360	KSD
KSD-k141_23868304	KSD
KSD-k141_237586	KSD
KSD-k141_23502081	KSD
KSD-k141_22573139	KSD
KSD-k141_22569917	KSD
KSD-k141_21771585	KSD
KSD-k141_21743888	KSD
KSD-k141_20739548	KSD
KSD-S9C8684	KSD
KSD-S9C84286	KSD
KSD-S9C67399	KSD
KSD-S9C60136	KSD
KSD-S9C50641	KSD
KSD-S9C46978	KSD
KSD-S9C37089	KSD
KSD-S9C330433	KSD
KSD-S9C24261	KSD
KSD-S9C23421	KSD
KSD-S9C22740	KSD
KSD-S9C154128	KSD
KSD-S9C15148	KSD
KSD-S9C150486	KSD
KSD-S9C127268	KSD
KSD-S9C10919	KSD
KSD-S9C105059	KSD
KSD-S8C95715	KSD
KSD-S8C93096	KSD
KSD-S8C48323	KSD
KSD-S8C36225	KSD
KSD-S8C27291	KSD
KSD-S8C2124	KSD
KSD-S8C134350	KSD
KSD-S8C124204	KSD
KSD-S7C17568	KSD
KSD-S6C39870	KSD
KSD-S6C26231	KSD
KSD-S5C76587	KSD
KSD-S5C4634	KSD
KSD-S5C24726	KSD
KSD-S5C183890	KSD
KSD-S5C127703	KSD
KSD-S5C119617	KSD
KSD-S4C48130	KSD
KSD-S3C6802	KSD
KSD-S3C6400	KSD
KSD-S3C41960	KSD
KSD-S3C33740	KSD
KSD-S3C28215	KSD
KSD-S3C25077	KSD
KSD-S3C24607	KSD
KSD-S3C19376	KSD
KSD-S3C185381	KSD
KSD-S3C177792	KSD
KSD-S3C161699	KSD
KSD-S3C138294	KSD
KSD-S3C13357	KSD
KSD-S3C117649	KSD
KSD-S3C114271	KSD
KSD-S2C92504	KSD
KSD-S2C88213	KSD
KSD-S2C87924	KSD
KSD-S2C868	KSD
KSD-S2C8488	KSD
KSD-S2C80671	KSD
KSD-S2C6132	KSD
KSD-S2C45973	KSD
KSD-S2C44696	KSD
KSD-S2C35224	KSD
KSD-S2C3434	KSD
KSD-S2C33529	KSD
KSD-S2C271580	KSD
KSD-S2C22079	KSD
KSD-S2C2036	KSD
KSD-S2C19149	KSD
KSD-S2C18184	KSD
KSD-S2C17614	KSD
KSD-S2C13741	KSD
KSD-S2C13334	KSD
KSD-S2C118165	KSD
KSD-S2C115937	KSD
KSD-S1C82212	KSD
KSD-S1C76967	KSD
KSD-S1C62731	KSD
KSD-S1C62728	KSD
KSD-S1C49839	KSD
KSD-S1C4740	KSD
KSD-S1C1999	KSD
KSD-S1C18544	KSD
KSD-NODE_95_length_49980_cov_7.593190	KSD
KSD-NODE_90_length_61077_cov_8.375635	KSD
KSD-NODE_81_length_58461_cov_29.388984	KSD
KSD-NODE_74_length_48079_cov_17.939884	KSD
KSD-NODE_72_length_61318_cov_29.038784	KSD
KSD-NODE_70_length_48513_cov_10.163214	KSD
KSD-NODE_64_length_63752_cov_15.737947	KSD
KSD-NODE_62_length_64381_cov_1318.347838	KSD
KSD-NODE_59_length_43259_cov_10.024373	KSD
KSD-NODE_54_length_70550_cov_27.906632	KSD
KSD-NODE_50_length_53161_cov_33.732610	KSD
KSD-NODE_4_length_102760_cov_32.679646	KSD
KSD-NODE_44_length_53757_cov_10.803397	KSD
KSD-NODE_412_length_28939_cov_82.614666	KSD
KSD-NODE_40_length_49137_cov_11.203211	KSD
KSD-NODE_400_length_26586_cov_147.218348	KSD
KSD-NODE_349_length_39028_cov_19.775665	KSD
KSD-NODE_331_length_34732_cov_10.209216	KSD
KSD-NODE_327_length_34891_cov_12.060311	KSD
KSD-NODE_309_length_41246_cov_31.194193	KSD
KSD-NODE_287_length_42580_cov_21.699095	KSD
KSD-NODE_265_length_43854_cov_378.244914	KSD
KSD-NODE_22_length_99781_cov_7.385516	KSD
KSD-NODE_213_length_39019_cov_8.341880	KSD
KSD-NODE_205_length_50349_cov_10.768640	KSD
KSD-NODE_202_length_42564_cov_9.771366	KSD
KSD-NODE_169_length_43137_cov_9.580869	KSD
KSD-NODE_156_length_46389_cov_10.873311	KSD
KSD-NODE_147_length_58119_cov_14.133783	KSD
KSD-NODE_13_length_82376_cov_17.728951	KSD
KSD-NODE_139_length_45974_cov_32.897559	KSD
KSD-NODE_132_length_39627_cov_11.688214	KSD
KSD-NODE_127_length_61841_cov_81.602078	KSD
KSD-NODE_120_length_47879_cov_8.926041	KSD
KSD-NODE_120_length_40953_cov_10.367353	KSD
KSD-NODE_117_length_46305_cov_7.156346	KSD
KSD-NODE_116_length_34766_cov_7.037884	KSD
KSD-k141_23576331	KSD
KSD-NODE_110_length_57707_cov_147.768091	KSD
KSD-NODE_10970_length_5572_cov_8.379373	KSD
KSD-NODE_104_length_43365_cov_9.145902	KSD
KSD-NODE_102_length_54899_cov_11.000802	KSD
KSD-k141_21691012	KSD
KSD-k141_20742962	KSD
KSD-k141_20315329	KSD
KSD-k141_1964086	KSD
KSD-k141_19156615	KSD
KSD-k141_10303486	KSD
KSD-S8C26857	KSD
KSD-S8C25977	KSD
KSD-S5C70565	KSD
KSD-S3C54139	KSD
KSD-S1C43794	KSD
KSD-S1C216452	KSD
KSD-S1C19239	KSD
KSD-k141_799260	KSD
KSD-k141_713224	KSD
KSD-k141_5586911	KSD
KSD-k141_4984210	KSD
KSD-k141_4156025	KSD
KSD-k141_3881586	KSD
KSD-k141_3653138	KSD
KSD-k141_353407_2	KSD
KSD-k141_22702157	KSD
KSD-k141_10364136	KSD
K-k141_329484	KSD
KSW-C-C0_2-NODE_653_length_33993_cov_26.331487	KSD
KSW-C-C0_2-NODE_778_length_30529_cov_9.778336	KSD
KSW-C-k141_1122676	KSD
KSW-C-k141_1216892	KSD
KSW-C-k141_1451040	KSD
KSW-C-k141_1505814	KSD
KSW-C-k141_207622	KSD
KSW-C-k141_608200	KSD
KSW-C-S2C21250	KSD
KSW-C-S2C28268	KSD
KSW-C-S3C7086	KSD
KSW-C-S5C29681	KSD
KSW-C-S8C2862	KSD
KSW-V-C63_1-NODE_496_length_5821_cov_23.655741	KSD
KSW-V-k141_109157	KSD
KSW-V-k141_109328	KSD
KSW-V-k141_218253	KSD
KSW-V-k141_362741	KSD
KSW-V-k141_432718	KSD
KSW-V-k141_698034	KSD
KSW-V-k141_749456	KSD
KSW-V-k141_88281	KSD
KSW-V-k141_911814	KSD
KSW-V-S1C19478	KSD
KSW-V-S2C12754	KSD
KSW-V-S2C20063	KSD
KSW-V-S2C79_1	KSD
KSW-V-S3C13890	KSD
KSW-V-S3C13992	KSD
KSW-V-S3C19205	KSD
KSW-V-S3C60	KSD
KSW-V-S4C19402	KSD
KSW-V-S4C9579	KSD
KSW-V-S5C19402	KSD
KSW-V-S5C9092	KSD
KSW-V-S6C1028	KSD
KSW-V-S6C16197	KSD
KSW-V-S6C382	KSD
KSW-V-S6C5951	KSD
KSW-V-S7C12941	KSD
KSW-V-S7C15497	KSD
KSW-V-S7C2251	KSD
KSW-V-S7C9426	KSD
KSW-V-S8C12086	KSD
KSW-V-S8C18226	KSD
KSW-V-S8C7655	KSD
