vMAGs	sample
KSW-V-S4C14504	KSW-CF
KSW-V-S4C3095	KSW-CF
KSW-V-S5C1114	KSW-CF
KSW-V-S5C15218	KSW-CF
KSW-V-S5C15541	KSW-CF
KSW-V-S5C198	KSW-CF
KSW-V-S5C2547	KSW-CF
KSW-V-S5C9092	KSW-CF
KSW-V-S6C382	KSW-CF
KSW-V-S6C5951	KSW-CF
KSW-V-S7C1188	KSW-CF
KSW-V-S7C12941	KSW-CF
KSW-V-S7C14785	KSW-CF
KSW-V-S7C14798	KSW-CF
KSW-V-S7C15497	KSW-CF
KSW-V-S7C17355	KSW-CF
KSW-V-S7C17812	KSW-CF
KSW-V-S7C19385	KSW-CF
KSW-V-S7C19391	KSW-CF
KSW-V-S7C19439	KSW-CF
KSW-V-S7C19441	KSW-CF
KSW-V-S7C3069	KSW-CF
KSW-V-S7C3095	KSW-CF
KSW-V-S7C9276	KSW-CF
KSW-V-S7C9426	KSW-CF
KSW-V-S8C13184	KSW-CF
KSW-V-S8C15218	KSW-CF
KSW-V-S8C15872	KSW-CF
KSW-V-S8C16994	KSW-CF
KSW-V-S8C17450	KSW-CF
KSW-V-S8C17650	KSW-CF
KSW-V-S8C18019	KSW-CF
KSW-V-S8C18226	KSW-CF
KSW-V-S8C19873	KSW-CF
KSW-V-S8C3095	KSW-CF
KSW-V-S8C7655	KSW-CF
KSW-V-S8C9567	KSW-CF
KSW-V-T0_1-NODE_20_length_27877_cov_6.379232	KSW-CF
KSW-V-T63_2-NODE_1_length_116638_cov_32.454483	KSW-CF
KSW-V-T63_2-NODE_821_length_7929_cov_137.071628	KSW-CF
KSD-k141_9763874	KSW-VF
KSD-S9C63800	KSW-VF
KSD-S9C51327	KSW-VF
KSD-S9C3875	KSW-VF
KSD-S9C100039	KSW-VF
KSD-S8C57609	KSW-VF
KSD-S8C220134	KSW-VF
KSD-NODE_54_length_70550_cov_27.906632	KSW-VF
KSD-NODE_110_length_57707_cov_147.768091	KSW-VF
KSD-k141_799260	KSW-VF
KSW-C-C0_2-NODE_653_length_33993_cov_26.331487	KSW-VF
KSW-C-C0_2-NODE_778_length_30529_cov_9.778336	KSW-VF
KSW-C-k141_1122676	KSW-VF
KSW-C-k141_1216892	KSW-VF
KSW-C-k141_1380363	KSW-VF
KSW-C-k141_1451040	KSW-VF
KSW-C-k141_1544766	KSW-VF
KSW-C-k141_1820791	KSW-VF
KSW-C-k141_207622	KSW-VF
KSW-C-k141_2140935	KSW-VF
KSW-C-k141_2598954	KSW-VF
KSW-C-k141_2959522	KSW-VF
KSW-C-k141_3543698	KSW-VF
KSW-C-k141_458117	KSW-VF
KSW-C-S1C1545	KSW-VF
KSW-C-S1C6532	KSW-VF
KSW-C-S2C1152	KSW-VF
KSW-C-S2C14093	KSW-VF
KSW-C-S2C1770	KSW-VF
KSW-C-S2C1996	KSW-VF
KSW-C-S2C21095	KSW-VF
KSW-C-S2C2211	KSW-VF
KSW-C-S2C2488	KSW-VF
KSW-C-S2C4622	KSW-VF
KSW-C-S2C65278	KSW-VF
KSW-C-S3C509	KSW-VF
KSW-C-S3C7086	KSW-VF
KSW-C-S3C942	KSW-VF
KSW-C-S5C2205_1	KSW-VF
KSW-C-S5C2490	KSW-VF
KSW-C-S5C29681	KSW-VF
KSW-C-S5C3124	KSW-VF
KSW-C-S5C634	KSW-VF
KSW-C-S6C10551	KSW-VF
KSW-C-S7C35066	KSW-VF
KSW-C-S8C1711	KSW-VF
KSW-C-S8C1803	KSW-VF
KSW-C-S8C2862	KSW-VF
KSW-C-S8C5826	KSW-VF
KSW-C-S8C8185	KSW-VF
KSW-V-C0_1-NODE_126_length_7958_cov_4.229280	KSW-VF
KSW-V-C0_1-NODE_135_length_7789_cov_7.799845	KSW-VF
KSW-V-C0_1-NODE_174_length_6690_cov_25.879126	KSW-VF
KSW-V-C0_1-NODE_191_length_6407_cov_19.287783	KSW-VF
KSW-V-C0_1-NODE_224_length_6021_cov_3.971673	KSW-VF
KSW-V-C0_1-NODE_248_length_5716_cov_22.275040	KSW-VF
KSW-V-C0_1-NODE_269_length_5560_cov_10.861580	KSW-VF
KSW-V-C0_1-NODE_278_length_5472_cov_517.713679	KSW-VF
KSW-V-C0_1-NODE_282_length_5428_cov_3.879769	KSW-VF
KSW-V-C0_1-NODE_291_length_5364_cov_4.496139	KSW-VF
KSW-V-C0_1-NODE_294_length_5336_cov_9.533800	KSW-VF
KSW-V-C0_1-NODE_321_length_5208_cov_8.298855	KSW-VF
KSW-V-C0_1-NODE_347_length_5086_cov_10.952892	KSW-VF
KSW-V-C0_1-NODE_350_length_5073_cov_79.168792	KSW-VF
KSW-V-C0_1-NODE_76_length_10127_cov_22.856136	KSW-VF
KSW-V-C0_2-NODE_103_length_7657_cov_4.429755	KSW-VF
KSW-V-C0_2-NODE_111_length_7426_cov_20.893366	KSW-VF
KSW-V-C0_2-NODE_112_length_7421_cov_116.015884	KSW-VF
KSW-V-C0_2-NODE_127_length_6970_cov_4.758062	KSW-VF
KSW-V-C0_2-NODE_135_length_6749_cov_7475.127577	KSW-VF
KSW-V-C0_2-NODE_136_length_6741_cov_5.969488	KSW-VF
KSW-V-C0_2-NODE_138_length_6659_cov_4.723047	KSW-VF
KSW-V-C0_2-NODE_147_length_6471_cov_4.346478	KSW-VF
KSW-V-C0_2-NODE_150_length_6418_cov_6.205878	KSW-VF
KSW-V-C0_2-NODE_163_length_6248_cov_68.101082	KSW-VF
KSW-V-C0_2-NODE_164_length_6239_cov_6.626132	KSW-VF
KSW-V-C0_2-NODE_168_length_6156_cov_13.326176	KSW-VF
KSW-V-C0_2-NODE_182_length_5988_cov_30.018203	KSW-VF
KSW-V-C0_2-NODE_192_length_5868_cov_48.797351	KSW-VF
KSW-V-C0_2-NODE_199_length_5822_cov_95.549159	KSW-VF
KSW-V-k141_1008922	KSW-VF
KSW-V-C0_2-NODE_203_length_5778_cov_3.659619	KSW-VF
KSW-V-C0_2-NODE_221_length_5632_cov_8.300520	KSW-VF
KSW-V-C0_2-NODE_229_length_5564_cov_9.884371	KSW-VF
KSW-V-C0_2-NODE_241_length_5468_cov_25.698319	KSW-VF
KSW-V-C0_2-NODE_261_length_5309_cov_1290.649981	KSW-VF
KSW-V-C0_2-NODE_264_length_5278_cov_5.114494	KSW-VF
