Contig	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-NODE_2369_length_12790_cov_6.655359||full	9.871995	4.399213	7.8597693	0	0	0	0	10.874343	35.134888
KSD-NODE_2391_length_12712_cov_6.902268||full	8.893688	57.07505	18.00414	0	3.8414881	3.2952437	0	28.072016	6.987288
KSD-NODE_2396_length_12691_cov_5.672444||full	14.699587	0	0	0	6.8950973	5.4237304	0	0	0
KSD-NODE_2407_length_12663_cov_5.387532||full	8.028312	13.2009325	6.2884235	0	0	3.9534123	0	0	0
KSD-NODE_2418_length_12634_cov_5.740281||full	8.826996	2.3043678	3.5607371	0	0	0	0	4.6476674	0
KSD-NODE_2430_length_12583_cov_6.195402||full	17.553724	0	0	0	0	0	0	0	0
KSD-NODE_2465_length_12484_cov_5.214579||full	14.730519	0	0	0	0	0	0	0	0
KSD-NODE_2472_length_12467_cov_4.031824||full	11.497485	0	0	0	0	0	0	0	0
KSD-NODE_2506_length_12346_cov_7.591652||full	11.448355	0	0	0	0	0	0	0	0
KSD-NODE_2515_length_12304_cov_6.454813||full	13.776693	4.650126	0	0	0	0	0	0	0
KSD-NODE_2680_length_11788_cov_8.908378||full	16.695332	0	0	0	0	0	0	0	0
KSD-NODE_2681_length_11786_cov_4.561674||full	12.8580265	0	0	0	0	0	0	0	0
KSD-NODE_2687_length_11773_cov_10.387779||full	20.36575	3.534248	25.002083	0	0	6.0464373	0	9.35577	0
KSD-NODE_2708_length_11721_cov_5.149837||full	14.503224	0	0	0	0	0	0	0	0
KSD-NODE_2833_length_11363_cov_5.083569||full	14.238698	0	0	0	0	0	0	0	0
KSD-NODE_2866_length_11286_cov_4.891283||full	13.635751	0	0	0	0	0	0	0	0
KSD-NODE_2895_length_11210_cov_5.740744||full	15.886804	0	0	0	0	0	0	0	0
KSD-NODE_2908_length_11171_cov_4.907071||full	14.076667	0	0	0	0	0	0	0	0
KSD-NODE_2931_length_11136_cov_8.656439||full	23.237944	0	0	0	0	0	0	0	0
KSD-NODE_2980_length_11010_cov_4.912734||full	14.071112	0	0	0	0	0	0	0	0
KSD-NODE_2996_length_10977_cov_6.252060||full	17.782701	0	0	0	0	0	0	0	0
KSD-NODE_3020_length_10929_cov_6.215376||full	11.920303	0	0	0	4.4262424	4.185065	0	0	0
KSD-NODE_3043_length_10889_cov_4.051135||full	11.413141	0	0	0	0	0	0	0	0
KSD-NODE_3133_length_10719_cov_5.741842||full	16.603725	0	0	0	0	0	0	0	0
KSD-NODE_3164_length_10659_cov_14.864674||full	37.827232	0	0	0	0	0	0	0	0
KSD-NODE_3230_length_10494_cov_5.513747||full	15.550914	0	0	0	0	0	0	0	0
KSD-NODE_3262_length_10434_cov_5.487137||full	15.618736	0	0	0	0	0	0	0	0
