from	to	weight
KSW-cf_2nd_assembly_k141_4541053||full	KSW-bin.64.orig	1
KSW-T63_2_C_NODE_4150_length_12588_cov_8.986356||full	KSW-bin.64.orig	1
K-NODE_8015_length_6507_cov_14.792622||full	KSW-bin.71.orig	1
KSW-cf_2nd_assembly_k141_1611284||full	KSW-bin.71.orig	1
KSW-cf_2nd_assembly_k141_3230851||full	KSW-bin.71.orig	1
KSW-cf_2nd_assembly_k141_509135||full	KSW-bin.71.orig	1
KSW-cf_coassembly_k141_2849169||full	KSW-bin.71.orig	1
KSW-cf_coassembly_k141_288273||full	KSW-bin.71.orig	1
KSW-cf_coassembly_k141_3598033||full	KSW-bin.71.orig	1
KSW-T63_1_C_NODE_12016_length_5134_cov_4.081709||full	KSW-bin.71.orig	1
