gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
KSW-C63_2_V_NODE_6_length_47699_cov_10.945261||full	965.836109113573	9.49459287801328	1.35200947519334	7.02257865216185	2.17810315612594e-12	9.32944132755918e-09
KSW-C63_2_V_NODE_9_length_38173_cov_10.612676||full	849.997470246644	12.6440585071158	1.81382804133226	6.9709245964842	3.1486470899626e-12	9.32944132755918e-09
KSW-vf_coassembly_k141_843677||full	671.323338127292	9.93707963277027	1.51200244109485	6.57213200368563	4.95998591455483e-11	9.79762550988397e-08
KSW-vf_coassembly_k141_463121||full	1375.84434236181	6.9916457825023	1.07620297795964	6.49658654146978	8.21628607673107e-11	1.21724278226771e-07
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	1137.81468779072	7.06422291001356	1.10206873605596	6.4099658024006	1.45552281381077e-10	1.72508563892853e-07
KSW-vf_coassembly_k141_734361||full	519.631431243455	8.59871587727652	1.35213179578647	6.3593770252811	2.02573632675867e-10	2.00075224539531e-07
KSW-cf_coassembly_k141_675199||full	422.16623321919	11.6344778859842	1.86964865023625	6.222815117971	4.88312687098269e-10	3.61717622968043e-07
KSW-vf_coassembly_k141_55285||full	483.302577170291	9.31114543931245	1.49516863061341	6.22748849104226	4.73971545506405e-10	3.61717622968043e-07
KSW-cf_coassembly_k141_3695796||full	337.62008657375	11.3120804628056	1.85104452031238	6.11118767737503	9.88923839375367e-10	6.51151408015381e-07
KSW-cf_coassembly_k141_1180611||full	242.709936216902	10.8359104285025	1.82819886395691	5.92709613933879	3.08338474906304e-09	1.6611034566316e-06
KSW-vf_coassembly_k141_685034||full	278.431871893573	11.0340295312995	1.85757065668204	5.94003220906182	2.84966082885858e-09	1.6611034566316e-06
KSW-C63_2_C_NODE_3657_length_11310_cov_16.143758||full_1	229.558673898269	10.7553562801774	1.8198106010994	5.91015145954186	3.41793317173791e-09	1.6878893313099e-06
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	1040.24634665392	6.30202532430349	1.07729860539675	5.84984078948338	4.92043764845701e-09	1.94390090031708e-06
KSW-vf_coassembly_k141_383917||full	236.413644263339	7.34618968271414	1.25217552395183	5.86674115744554	4.44443671708395e-09	1.94390090031708e-06
KSW-cf_coassembly_k141_305159||full	250.749726332562	10.882965197635	1.85703744548671	5.860390819843	4.6177906742384e-09	1.94390090031708e-06
KSW-C0_1_V_NODE_22_length_19259_cov_5.919131||full	360.793498413239	-10.2164438671259	1.76581571424431	-5.78567955008719	7.22197735569681e-09	2.13927072619488e-06
KSW-C63_1_V_NODE_495_length_5823_cov_455.965153||full	5419.48288950686	6.53059364978952	1.12443444684143	5.80789184121329	6.32643617604317e-09	2.13927072619488e-06
KSW-vf_coassembly_k141_491320	2785.00199553195	6.55983274624194	1.13540621332299	5.77752056424219	7.58094587412967e-09	2.13927072619488e-06
KSW-cf_coassembly_k141_1833182||full	238.69856533758	10.8119239378238	1.86976672120077	5.78249886214703	7.35990671982861e-09	2.13927072619488e-06
KSW-vf_coassembly_k141_678||full	212.448640063394	10.6438130352625	1.8343637249545	5.802455036842	6.53509215995371e-09	2.13927072619488e-06
KSW-vf_coassembly_k141_152145||full	246.832585776681	10.8602592648083	1.8656514578151	5.82116194282446	5.8439910359308e-09	2.13927072619488e-06
KSW-C63_2_V_NODE_446_length_6706_cov_14.654187||full	198.889531107195	10.5486547800479	1.82927367591288	5.76658097634498	8.08958496119209e-09	2.17904002181929e-06
KSW-C0_1_V_NODE_75_length_10241_cov_6.036717||full	181.170866746423	-11.5943874142525	2.01844712583854	-5.74421160992055	9.23502409672122e-09	2.2455846414093e-06
KSW-vf_coassembly_k141_317720||full	177.408283560789	-11.5641261586955	2.01702779274991	-5.73325077634632	9.85237945944007e-09	2.2455846414093e-06
KSW-cf_coassembly_k141_973278||full	229.895549916787	10.7577194606242	1.87178651744857	5.74730043214974	9.06795275003812e-09	2.2455846414093e-06
KSW-cf_coassembly_k141_904408||full	273.77291322811	8.64053914075834	1.50641836096816	5.73581640043549	9.70437428290621e-09	2.2455846414093e-06
KSW-vf_coassembly_k141_469551||full	183.898325162987	-11.6159214934182	2.03682638887845	-5.70295119743337	1.17750703398889e-08	2.58440988274746e-06
KSW-C63_2_V_NODE_153_length_11377_cov_12.395248||full	279.486994529857	8.51870643853333	1.49921763615277	5.68210127276363	1.33049832930997e-08	2.62817769983029e-06
KSW-C63_2_C_NODE_2903_length_13477_cov_81.298167||full	211.081310441322	10.6345505530719	1.8695325644047	5.68834732036786	1.28274725645038e-08	2.62817769983029e-06
KSW-vf_coassembly_k141_955993||full	199.167727531666	-11.7309225228955	2.06271850587833	-5.68711750511024	1.29201560606419e-08	2.62817769983029e-06
KSW-vf_coassembly_k141_913615||full	208.899741836151	10.6195680470813	1.87430165758923	5.66587987802369	1.46271974146851e-08	2.79615393159432e-06
KSW-C0_1_V_NODE_92_length_9169_cov_7.096006	191.861630786538	-11.6770099783123	2.08608733523715	-5.59756525101807	2.17383045884608e-08	3.90367251488542e-06
KSW-vf_coassembly_k141_678964||full	179.523700620156	-11.5811792032779	2.06822180013152	-5.59958279259092	2.14868295286149e-08	3.90367251488542e-06
KSW-vf_coassembly_k141_219926||full	675.410964076708	8.86212032429991	1.58545064000623	5.58965388179169	2.27522662244401e-08	3.96558616605977e-06
KSW-vf_coassembly_k141_454306||full	383.29572499332	-7.63536784125849	1.36910544140125	-5.57690270622537	2.44838713945624e-08	4.14546919669076e-06
