	C0_1_V	C0_2_V	C63_1_V	C63_2_V
KSW-C0_1_V_NODE_298_length_5312_cov_4.248240||full	7.93746236535462	3.86398464604909	2.23915752259752	2.23915752259752
KSW-C0_1_V_NODE_300_length_5306_cov_13.972196||full	9.55919418485645	10.6365011303405	9.15384937940688	7.35415848890378
KSW-C0_1_V_NODE_322_length_5205_cov_9.032816||full	8.61900656383301	8.8187231015886	9.34442018116046	10.6035964571686
KSW-C0_1_V_NODE_326_length_5191_cov_3.285631||full	7.84601536048215	5.88095110340132	2.23915752259752	3.6118109478072
KSW-C0_1_V_NODE_327_length_5184_cov_7.461883||full	7.01873647905972	6.47538604007286	6.63706050773606	6.695645567262
KSW-C0_1_V_NODE_336_length_5135_cov_36.528937||full	11.2059774991314	12.5940752380242	9.95765464680501	7.85546953555969
KSW-C0_1_V_NODE_357_length_5039_cov_12.670746||full	9.67881984472391	10.0361353432841	8.48351935593181	6.43193224692621
KSW-C0_1_V_NODE_366_length_5011_cov_5.733253||full	8.45335176144646	4.44053140524565	2.23915752259752	2.23915752259752
KSW-C0_1_V_NODE_368_length_5010_cov_3.215338||full	6.90237754734387	6.24101275570076	6.41585617435218	6.31118764721966
KSW-C0_2_V_NODE_3_length_34709_cov_12.949241||full	12.7275139743842	12.7095621090102	13.3318415419847	13.9080500285905
KSW-C0_2_V_NODE_4_length_34366_cov_134.031273||full	15.1673190285043	16.0991510800519	14.7346983369	15.9051129956112
KSW-C0_2_V_NODE_8_length_26741_cov_10.303080||full	11.8627769092439	11.9215023168691	12.528777785369	13.1129521659266
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	11.7642652474425	11.9760949415286	12.2536825282428	12.5289452061836
KSW-C0_2_V_NODE_19_length_17839_cov_68.368758||full	14.9665272028061	13.2452804710655	14.855263210629	15.5519392157578
KSW-C0_2_V_NODE_21_length_17152_cov_7.584664||full	9.94056994607763	10.1375493748705	10.5489737772752	10.90332146114
KSW-C0_2_V_NODE_25_length_15466_cov_187.878918||full	15.830199422801	14.6484023908749	13.8091111023538	15.4933224486321
KSW-C0_2_V_NODE_26_length_15044_cov_19.809394||full	11.1843696231282	11.314007859529	11.8879148865848	12.4306577684796
KSW-C0_2_V_NODE_29_length_14009_cov_8.715494||full	8.32378918649156	9.48687104980348	7.82436278390991	6.20215946627844
KSW-C0_2_V_NODE_30_length_13815_cov_8.638953||full	9.88424358106487	10.6091265267497	10.3165059575005	11.1622759011566
KSW-C0_2_V_NODE_32_length_13613_cov_11.301224||full	9.87270950893843	9.91716203733872	10.4491148067787	10.849413356276
KSW-C0_2_V_NODE_35_length_12960_cov_11.115304||full	10.8770452839621	10.8722466870429	10.5145950978522	10.3662087938529
KSW-C0_2_V_NODE_40_length_12732_cov_41.855250||full	11.3348546576979	12.2278075608769	11.5001365096401	12.2954152022986
KSW-C0_2_V_NODE_41_length_12418_cov_6.352827||full	10.2117155159846	10.2985387802142	10.2561924319756	9.45901966132774
KSW-C0_2_V_NODE_52_length_10622_cov_5.341630||full	8.91731778506307	8.67356034112876	8.26925447538717	8.77022990826437
KSW-C0_2_V_NODE_66_length_9190_cov_11.115271||full	8.96154672640188	9.83552429028134	8.10145873231447	8.44744523718682
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	9.4287442375062	8.85024468135306	9.34128485964285	10.134591596985
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	6.52319988764683	9.15793912707401	9.06541093322985	7.89789752621271
KSW-C0_2_V_NODE_75_length_8532_cov_62.856907||full	10.3921979189861	11.3121228089484	8.77601066183565	6.15611116011304
KSW-C0_2_V_NODE_80_length_8359_cov_45.037211||full	10.3813861238381	11.6200871067978	9.01907161739121	6.87650447381056
KSW-C0_2_V_NODE_82_length_8267_cov_9.707379||full	9.43398585927222	9.73779672836348	8.94251360068369	9.0744541264689
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	8.18142655136024	8.74237787213262	7.33722400259139	7.23779440147746
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	9.92947923816177	9.93686950700428	10.6924352841621	11.0977890779457
KSW-C0_2_V_NODE_88_length_8133_cov_32.630478||full	10.2567799698177	11.396382609803	7.59075334701243	5.75328022748475
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	9.70940110459169	9.84598525511676	10.1686947166733	10.7458313950084
KSW-C0_2_V_NODE_96_length_7851_cov_10.874679||full	8.8483226245582	9.7489880728152	7.10530448378657	5.55364341036896
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	5.54194316562201	10.0766722974729	9.44715842504884	9.34101085542133
KSW-C0_2_V_NODE_103_length_7657_cov_4.429755||full	7.6616233284836	8.48561542041938	5.75987141607265	4.87836240013397
KSW-C0_2_V_NODE_106_length_7527_cov_6.570798||full	8.91731778506307	9.31679600592483	8.00169652436641	7.80433833586205
KSW-C0_2_V_NODE_112_length_7421_cov_116.015884||full	12.2176047042383	13.0253423500304	10.210531852295	7.49905696509882
KSW-C0_2_V_NODE_117_length_7201_cov_13.517772||full	9.88040912760725	10.0361353432841	7.12003152349944	7.09911170129633
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	9.31402713961323	9.28639340043399	9.43838192068164	10.1478319398226
KSW-C0_2_V_NODE_124_length_7015_cov_9.486351||full	8.87939526560193	10.0037997604878	7.8062781307598	4.98968347445267
KSW-C0_2_V_NODE_125_length_7000_cov_8.282937||full	7.99535548828155	9.13252647467475	6.18261072385858	5.36261870353223
KSW-C0_2_V_NODE_136_length_6741_cov_5.969488||full	7.20214770481908	8.20588664404531	6.86413791865512	4.62412046986146
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	10.3704926890582	9.76009326590465	10.3713281504205	11.2991081655385
KSW-C0_2_V_NODE_138_length_6659_cov_4.723047||full	6.99051711946781	8.15630125952276	5.68206305445178	4.309916487109
KSW-C0_2_V_NODE_147_length_6471_cov_4.346478||full	7.90761997582012	8.12227094128485	6.61641239657501	4.55229336212944
KSW-C0_2_V_NODE_151_length_6414_cov_50.218431||full	10.3317045587422	11.5892866285144	8.21546327822913	6.66315910481945
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	8.79228081980579	9.0803173001588	8.25599362130574	8.06856059315665
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	9.57825623903947	10.2755061217554	9.06920617740499	9.55048359039682
KSW-C0_2_V_NODE_172_length_6089_cov_7.823666||full	7.69695165976488	9.67464253669095	7.33722400259139	4.93514880692062
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	8.43255029013906	9.14951788942926	9.17865461082733	9.26473492980508
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	9.17067524512691	9.93686950700428	9.78148642142087	10.6845644700785
KSW-C0_2_V_NODE_182_length_5988_cov_30.018203||full	10.9447055837819	10.8925726406377	9.86244975490061	9.24296358645621
KSW-C0_2_V_NODE_185_length_5973_cov_16.735722||full	9.43398585927222	10.4807542459526	8.59829338258687	6.15611116011304
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	12.6648081390334	10.9200613116518	12.4002272834783	12.9919352789105
KSW-C0_2_V_NODE_192_length_5868_cov_48.797351||full	10.515988251745	11.135778361092	9.93079032608267	8.13509538853276
KSW-C0_2_V_NODE_203_length_5778_cov_3.659619||full	7.12638554238225	8.58888962743455	6.12517979453204	4.11867247400423
KSW-C0_2_V_NODE_208_length_5721_cov_652.755559||full	13.8566218698781	14.7444870908002	12.6651005279811	10.762185632308
KSW-C0_2_V_NODE_216_length_5673_cov_5.620862||full	7.17733404644387	9.0444309096011	6.21048400619792	4.21789795860652
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	8.56268748498298	9.19932329062767	9.44131335902922	9.40122164260282
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	11.0559741151912	10.8148270316301	10.1792682950024	10.186839112805
KSW-C0_2_V_NODE_228_length_5573_cov_8.449438||full	6.56211650771958	9.59625635980765	7.60128185024677	4.93514880692062
KSW-C0_2_V_NODE_236_length_5511_cov_52.939333||full	10.9845437899664	11.9737119694135	10.2242122207256	8.10523234901768
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	14.3061439954553	13.0339457598842	12.360904845432	15.1357623275886
KSW-C0_2_V_NODE_246_length_5432_cov_4.603310||full	7.78165994416727	8.79731938666739	4.67252712324529	4.55229336212944
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	8.20615123608418	8.2380209157131	6.94909880592942	6.52532457681614
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	20.3064087976424	19.8602400734738	20.2201163978015	19.7916882769669
KSW-C0_2_V_NODE_272_length_5240_cov_17.742334||full	9.20787072885731	9.68633267352264	7.53692501967541	5.68980722225249
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	5.1867669940486	7.21838783632802	8.6294755522527	7.74359159682578
KSW-C0_2_V_NODE_282_length_5153_cov_13.165163||full	8.36828267394536	9.4530544437035	8.36500459510788	6.39280335031916
KSW-C0_2_V_NODE_299_length_5043_cov_7.937851||full	6.80848165092828	9.2474663017583	7.16332960972372	5.84347096943823
KSW-C0_2_V_NODE_302_length_5026_cov_4.666063||full	6.90237754734387	8.2380209157131	4.90027736253153	3.6118109478072
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	7.58825724169691	8.56375606373268	7.60128185024677	7.86975140158402
KSW-C0_2_V_NODE_306_length_5010_cov_6.635923||full	8.64636231411307	9.0803173001588	7.23271917877151	5.32109354667995
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	15.438447999778	16.2548876923347	15.9347438253084	16.3228336894463
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	10.0504422587218	7.65928174995899	11.0443931807251	10.9652936773999
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	6.77576901641935	8.551023102826	10.2293090973056	8.51259109875897
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	13.1571824444083	14.0442482580269	14.3126919173304	14.2094019194881
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	12.8393844827553	10.8385937653742	12.0886831391417	12.9025489769625
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	11.1812561940906	11.9677372616514	10.3449603170404	10.5831655249553
KSW-C63_1_V_NODE_27_length_22595_cov_21.410914||full	8.19384188659935	6.03602593688793	11.4072463813737	9.30206158760972
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	9.55919418485645	8.8187231015886	9.44715842504884	9.56371641645031
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	9.57825623903947	9.4530544437035	9.2606017006327	9.18990036786084
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	14.5277766302234	14.3170983858254	14.0080595259942	14.1333236312297
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	14.4952394209518	13.7599268730732	16.2376132733239	18.9894558498873
KSW-C63_1_V_NODE_64_length_15059_cov_12.163090||full	10.2389227532848	10.4941178579724	9.71279112532741	9.93010902955814
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	5.7597426934505	8.73113389219672	10.2809485546087	9.16406719181471
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	7.60695190257859	8.31535672333688	8.85727987936881	9.48243503211852
KSW-C63_1_V_NODE_75_length_14114_cov_9.701970||full	8.44298852997351	7.15242178253863	9.48458476103888	8.89064146753219
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	6.90237754734387	9.41842604003516	9.60972502132478	8.17589106636861
KSW-C63_1_V_NODE_78_length_13993_cov_14.679438||full	10.9391868574514	9.86153583244997	9.87334370080478	10.0788451922758
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	3.26875536235695	7.15242178253863	8.33378899217054	5.98214802989312
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	3.95722287017661	5.14602264102238	11.5293576258309	10.6258464036702
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	5.1867669940486	7.61100464938408	9.52659590268067	8.18162592838214
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	9.91080311974857	10.224303543176	9.34754870293171	8.61784879593037
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	5.69079444756632	7.89927045439957	9.52383290464262	8.5922457492147
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	8.0645984288467	9.06248570163553	9.03856089448114	9.32036885923079
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	8.48400199955101	6.36298505898656	10.3881364190878	10.3253571276151
KSW-C63_1_V_NODE_135_length_10594_cov_3.923617||full	8.48400199955101	8.05170165131548	8.16669147786851	7.73581502551968
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	10.3677564292057	7.31199464036632	12.5775531797384	12.0077942243992
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	5.69079444756632	8.82930702030583	8.83069569064815	8.0435841024537
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	11.0795768473695	11.340143167555	11.2439286561956	10.9735794300069
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	6.77576901641935	4.44053140524565	7.62211085331397	6.74303817374907
KSW-C63_1_V_NODE_154_length_9883_cov_1235.464998||full	16.0741024388466	20.3977264372704	15.4069521895687	17.4803923054701
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	8.85615376399129	7.58624571994316	7.79714999954826	7.63906817645743
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	4.3867302291115	7.85850404573023	8.30188270937308	7.85546953555969
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	12.0200407500594	10.6663202929299	11.1204321527305	11.4551810367401
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	3.95722287017661	6.4202866004494	7.86860599782938	5.78398383995801
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	8.67320885566908	8.79731938666739	7.94497495893	7.41387795964625
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	8.8483226245582	8.2380209157131	8.20859606546231	5.55364341036896
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	5.28433397679148	8.9506031025479	8.70947530599211	7.89789752621271
KSW-C63_1_V_NODE_192_length_8995_cov_5.744072||full	9.04613288625557	8.25382344176974	8.37116744400047	7.48055876344976
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	7.84601536048215	7.89927045439957	8.30832069126806	8.95900898881328
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	4.70866848685379	6.85339522120185	7.53692501967541	5.51745202405882
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	4.55741693058923	6.72301652259005	8.16669147786851	5.51745202405882
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	8.53368117209665	8.551023102826	9.52935361880479	8.84439920044891
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	8.67320885566908	8.64987163340955	9.38152194279074	10.2454951954512
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	9.4752469874228	9.65692776788453	8.6549554088343	9.02428218383544
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	4.3867302291115	7.21838783632802	8.28891987205467	6.72741367325571
KSW-C63_1_V_NODE_244_length_7981_cov_4.250063||full	3.95722287017661	7.21838783632802	6.77384015993302	5.81403833920219
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	4.19021584094365	5.14602264102238	7.78796369270465	5.27830174727495
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	10.0193966228012	9.79290495162427	9.84041191605385	9.73531102978539
KSW-C63_1_V_NODE_258_length_7864_cov_13.649763||full	8.4007744576916	9.41842604003516	7.77871846325247	5.51745202405882
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	11.9513390489184	12.1155628495187	11.5113382634757	11.816542546081
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	7.76511188906321	7.70599386727121	7.50363553513128	6.75849462630478
KSW-C63_1_V_NODE_272_length_7585_cov_5.591633||full	7.5306723856605	7.48272284508295	7.48100739840442	7.42359485119077
KSW-C63_1_V_NODE_275_length_7554_cov_20.400320||full	4.3867302291115	2.23915752259752	9.29341844929338	6.695645567262
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	4.84467688080775	7.31199464036632	7.78796369270465	6.74303817374907
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	6.00630292583265	5.79658804805441	6.48586943905951	4.0108358694967
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	2.23915752259752	5.88095110340132	6.88153637076579	5.72189839988621
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	3.95722287017661	5.88095110340132	7.10530448378657	5.75328022748475
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	4.19021584094365	5.96059524894663	7.44638450834838	7.61383144279851
KSW-C63_1_V_NODE_298_length_7219_cov_5.272613||full	8.09139054960979	7.8376801961651	7.4228314776527	7.09911170129633
KSW-C63_1_V_NODE_303_length_7203_cov_7.636402||full	4.19021584094365	5.50848110958901	8.25599362130574	9.81493808638417
KSW-C63_1_V_NODE_304_length_7192_cov_7.089113||full	8.21835639495084	8.06967041827136	7.49236589159613	6.54329514349116
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	4.55741693058923	6.89435342580557	8.68988750588397	7.48055876344976
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	2.23915752259752	3.41680699207649	7.32456817116405	3.76085069601665
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	4.70866848685379	7.15242178253863	8.47209666078647	6.71161741569481
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	4.70866848685379	5.79658804805441	7.4228314776527	5.87230727384692
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	4.55741693058923	7.58624571994316	8.92167267969086	6.87650447381056
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	6.11524588617322	4.1851048574067	7.31180013879519	6.95906150736894
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	3.26875536235695	6.76780302671942	9.05396491696052	7.42359485119077
KSW-C63_1_V_NODE_374_length_6664_cov_4.944167||full	6.96173316757764	6.52844726640221	7.70254081337213	7.57947987584496
KSW-C63_1_V_NODE_381_length_6610_cov_12.700534||full	8.02345297169106	7.28146350992924	8.72399353533665	8.05612643148135
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	10.569359889179	10.657439081422	9.78840964689605	9.4328160228103
KSW-C63_1_V_NODE_397_length_6479_cov_5.551214||full	7.04641302605104	7.04743307966514	7.044841461046	5.40295186382809
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	5.37554562538683	3.41680699207649	7.13460940753479	9.11097007891372
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	4.3867302291115	6.52844726640221	7.52591376558578	5.75328022748475
KSW-C63_1_V_NODE_408_length_6424_cov_21.953682||full	8.02345297169106	8.05170165131548	8.75731167500813	9.46843146721308
KSW-C63_1_V_NODE_415_length_6398_cov_19.603027||full	4.55741693058923	6.57961643962941	8.05627070495609	7.07464101570618
KSW-C63_1_V_NODE_419_length_6345_cov_15.342130||full	2.23915752259752	2.23915752259752	9.49308543684471	3.6118109478072
KSW-C63_1_V_NODE_422_length_6318_cov_25.575443||full	10.2714939716516	11.045626503215	9.03468404793848	7.83377786666567
KSW-C63_1_V_NODE_427_length_6296_cov_4.322865||full	6.74229449993716	6.03602593688793	6.81064260368968	6.62992089801371
KSW-C63_1_V_NODE_429_length_6275_cov_10.936656||full	10.4935722494013	8.73113389219672	8.87906511929206	7.96594859090494
KSW-C63_1_V_NODE_446_length_6168_cov_7.062326||full	4.3867302291115	6.57961643962941	7.59075334701243	6.86227219026086
KSW-C63_1_V_NODE_462_length_6044_cov_5.357489||full	7.6616233284836	6.97292839792759	6.82869643817651	6.10853064737492
KSW-C63_1_V_NODE_470_length_6002_cov_4.727426||full	7.40810105037448	11.1379083214419	6.71680690578434	8.12322428968354
KSW-C63_1_V_NODE_473_length_5985_cov_3.974368||full	9.54956786194971	9.94662319520009	7.45801817255598	7.12317328051782
KSW-C63_1_V_NODE_476_length_5940_cov_4.588955||full	2.23915752259752	2.23915752259752	7.62211085331397	4.62412046986146
KSW-C63_1_V_NODE_478_length_5928_cov_70.762813||full	6.672911201624	9.0076288904656	10.7467612803423	9.08672910781711
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	4.70866848685379	6.52844726640221	8.38341468943663	5.84347096943823
KSW-C63_1_V_NODE_491_length_5846_cov_3.584873||full	3.95722287017661	6.30329679079186	7.32456817116405	5.62336090647237
KSW-C63_1_V_NODE_494_length_5829_cov_4.002251||full	4.96836376595033	6.17589495906597	6.03446031794934	6.35257643100511
KSW-C63_1_V_NODE_496_length_5821_cov_23.655741||full	11.2467574807534	10.8849839278015	9.7006092901218	7.37434134672663
KSW-C63_1_V_NODE_506_length_5760_cov_17.611218||full	7.6616233284836	7.42803135021482	8.85288306728654	8.24324843714001
KSW-C63_1_V_NODE_509_length_5742_cov_3.553895||full	6.11524588617322	6.4202866004494	6.53071598486893	7.91176715514273
KSW-C63_1_V_NODE_511_length_5737_cov_66.867476||full	11.0711915589798	11.0018586186525	10.2628357131916	10.389928202101
