	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C0_2_V_NODE_67_length_9046_cov_3.891447||full	4.88843976645784	5.6746163999757	3.82991977538708	4.43726575838817
KSW-C0_2_V_NODE_70_length_8916_cov_5.995260||full	4.33930598842852	4.10625362164894	4.65890534356115	3.68284383778905
KSW-C0_2_V_NODE_84_length_8232_cov_5.071664||full	2.5317251510737	2.5317251510737	2.5317251510737	3.68284383778905
KSW-C0_2_V_NODE_86_length_8166_cov_13.793860||full	8.21061545762132	8.03457680332152	9.40392281903111	8.61401472039914
KSW-C0_2_V_NODE_89_length_8111_cov_13.651440||full	7.64581693870311	7.11205235200245	8.86764145156416	7.68263689605891
KSW-C0_2_V_NODE_99_length_7745_cov_9.093758||full	5.78730324971744	6.25289890637899	4.65890534356115	5.84688053464377
KSW-C0_2_V_NODE_121_length_7040_cov_6.310093||full	4.64284751369435	5.47465111305973	4.09783305196449	4.89964314992705
KSW-C0_2_V_NODE_137_length_6662_cov_8.924171||full	4.96115264386891	4.20447280754932	4.930556726608	4.43726575838817
KSW-C0_2_V_NODE_158_length_6319_cov_7.936622||full	2.5317251510737	2.5317251510737	3.46463352344005	2.5317251510737
KSW-C0_2_V_NODE_171_length_6113_cov_13.223011||full	4.54951503497976	4.10625362164894	4.09783305196449	5.74502249530469
KSW-C0_2_V_NODE_174_length_6086_cov_12.295308||full	3.54162108714587	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C0_2_V_NODE_179_length_6018_cov_10.570183||full	4.08517143508171	4.60300254416928	3.82991977538708	2.5317251510737
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	7.8256071341649	6.86518773908425	8.73828102595334	8.54071726917654
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	3.93347969018743	3.87988673391643	4.09783305196449	4.43726575838817
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	3.93347969018743	3.59049917637977	2.5317251510737	3.68284383778905
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	7.75832892165726	8.29118567644803	6.69863707491355	8.24090848063604
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	2.5317251510737	2.5317251510737	3.82991977538708	2.5317251510737
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	6.22045719707065	5.47465111305973	2.5317251510737	2.5317251510737
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	5.03013894962869	5.28287547444474	5.59771447755709	5.0816541107066
KSW-C0_2_V_NODE_304_length_5018_cov_5.001209||full	4.21902616517125	3.59049917637977	3.46463352344005	4.43726575838817
KSW-C63_1_V_NODE_1_length_69953_cov_198.780866||full	11.2229033147195	9.82518505493125	12.6696522209512	11.8707546898065
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	7.70827368836359	6.75319018585743	8.29633618075253	6.90632016708446
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	7.54673976629992	8.23509277980004	6.62712409640781	7.0822372879598
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	8.35418902999913	7.676925558846	7.26719430785117	7.99962387973016
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	6.72363656006403	7.10066615947709	5.67140560427296	6.34001455957937
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	4.21902616517125	3.15203005540446	3.46463352344005	3.68284383778905
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	4.8115421632051	5.47465111305973	5.87182759435757	4.89964314992705
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	3.25296471822983	4.10625362164894	2.5317251510737	3.68284383778905
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	5.15840752039031	4.95962625952371	4.65890534356115	5.84688053464377
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	8.43639697566765	8.8919140127845	8.87535382947438	11.0490964706731
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	6.76348441051036	6.98154979273848	6.29889799791459	5.51610784276266
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	4.54951503497976	4.45850345532294	3.46463352344005	2.5317251510737
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	4.96115264386891	4.73290151728729	4.80169187227425	4.1215138010276
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	2.5317251510737	3.40246517995411	2.5317251510737	4.1215138010276
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	3.93347969018743	3.15203005540446	9.77760542790278	10.9814753027681
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	8.46680797548755	8.69809756987058	8.1386135048359	7.41352045157548
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	2.5317251510737	2.5317251510737	3.46463352344005	2.5317251510737
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	5.27567730839542	4.85108658621336	5.15631024714888	5.38587903885437
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	5.09578228186981	5.01077632125782	5.04812367255347	5.38587903885437
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	8.77455756557507	7.46259022709096	9.63498510695315	8.69732049723424
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	8.06711581617937	6.46374469074566	10.41563076584	9.71775322618094
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	3.93347969018743	3.99884677796349	4.09783305196449	3.68284383778905
KSW-C63_1_V_NODE_142_length_10388_cov_58.545534||full	3.75685345068644	3.74577306151715	4.65890534356115	4.43726575838817
KSW-C63_1_V_NODE_152_length_9949_cov_3.949161||full	12.3885547523292	8.8919140127845	11.5570631955105	11.6109982026396
KSW-C63_1_V_NODE_154_length_9883_cov_1235.464998||full	3.93347969018743	4.10625362164894	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_156_length_9828_cov_5.608513||full	3.75685345068644	3.87988673391643	3.46463352344005	4.1215138010276
KSW-C63_1_V_NODE_160_length_9676_cov_6.061532||full	2.5317251510737	4.10625362164894	3.82991977538708	4.43726575838817
KSW-C63_1_V_NODE_171_length_9466_cov_67.890872||full	6.5969832245088	6.44581188339329	5.87182759435757	6.40784778028763
KSW-C63_1_V_NODE_177_length_9289_cov_4.197856||full	4.21902616517125	4.20447280754932	3.82991977538708	4.1215138010276
KSW-C63_1_V_NODE_179_length_9235_cov_6.061329||full	3.25296471822983	2.5317251510737	3.46463352344005	2.5317251510737
KSW-C63_1_V_NODE_183_length_9223_cov_5.018106||full	7.11085244970005	6.18954546270255	6.3442898925104	5.51610784276266
KSW-C63_1_V_NODE_184_length_9211_cov_6.941896||full	5.43479034681335	6.76767735455836	5.59771447755709	5.63522557815563
KSW-C63_1_V_NODE_196_length_8942_cov_7.965005||full	5.57756262301545	3.87988673391643	6.92410822627154	5.0816541107066
KSW-C63_1_V_NODE_202_length_8874_cov_5.376460||full	3.54162108714587	3.40246517995411	4.09783305196449	2.5317251510737
KSW-C63_1_V_NODE_215_length_8562_cov_5.551663||full	3.25296471822983	3.59049917637977	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_217_length_8528_cov_17.696920||full	3.75685345068644	2.5317251510737	4.09783305196449	3.68284383778905
KSW-C63_1_V_NODE_224_length_8418_cov_20.240105||full	5.70711879839473	6.44581188339329	5.74142588775251	6.7058019813569
KSW-C63_1_V_NODE_225_length_8385_cov_6.696999||full	2.5317251510737	3.87988673391643	4.3145874887721	4.43726575838817
KSW-C63_1_V_NODE_226_length_8363_cov_11.316081||full	3.93347969018743	5.1535802669269	4.09783305196449	4.43726575838817
KSW-C63_1_V_NODE_244_length_7981_cov_4.250063||full	3.54162108714587	3.40246517995411	3.46463352344005	3.68284383778905
KSW-C63_1_V_NODE_247_length_7959_cov_6.985071||full	4.08517143508171	4.10625362164894	3.82991977538708	4.43726575838817
KSW-C63_1_V_NODE_250_length_7950_cov_48.674478||full	3.25296471822983	3.40246517995411	3.46463352344005	3.68284383778905
KSW-C63_1_V_NODE_264_length_7749_cov_87.723551||full	6.38314879008265	6.27340626379123	6.76675195889638	6.90632016708446
KSW-C63_1_V_NODE_268_length_7673_cov_6.599107||full	2.5317251510737	2.5317251510737	2.5317251510737	3.68284383778905
KSW-C63_1_V_NODE_272_length_7585_cov_5.591633||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_275_length_7554_cov_20.400320||full	3.93347969018743	4.10625362164894	5.51993422058679	4.1215138010276
KSW-C63_1_V_NODE_279_length_7515_cov_4.047185||full	4.21902616517125	4.37952955285128	4.49844204323697	4.68888125033889
KSW-C63_1_V_NODE_282_length_7485_cov_4.072544||full	6.99858200224223	8.04647934153106	6.47240514599522	6.03092957112374
