time	abundance
C0	0
C0	0
C63	3.0090938
C63	3.653834
C63	4.014355
C63	0
C63	3.7717962
C63	2.544263
C63	3.954479
T0	0
T0	0
T63	206.92819
T63	238.29279
T63	135.59818
T63	243.22191
T63	86.7344
T63	252.06888
T63	54.514748
T63	52.60185
T63	62.22124
T63	37.82275
T63	67.44162
T63	27.472483
T63	63.929485
