	T0_1	T0_2	T63_1	T63_2
ASV_1052	0	0	0	4
ASV_1053	0	0	0	4
ASV_1061	0	1	0	0
ASV_1063	0	1	0	0
ASV_1064	0	1	0	0
ASV_1065	0	1	0	0
ASV_1068	0	2	0	0
ASV_1070	0	0	0	1
ASV_1072	0	1	0	0
ASV_1074	0	2	0	0
ASV_1075	1	0	0	1
ASV_1089	0	0	0	1
ASV_1090	0	1	0	0
ASV_1093	0	1	0	0
ASV_1094	0	1	0	0
ASV_1095	0	1	0	1
ASV_1097	1	0	0	0
ASV_1098	0	0	1	1
ASV_1099	1	1	0	0
ASV_1126	0	1	0	0
ASV_1127	1	0	0	0
ASV_1128	0	1	0	0
ASV_1134	0	0	2	0
ASV_1135	0	0	1	1
ASV_1136	0	0	1	0
ASV_1137	0	0	2	0
ASV_1138	1	0	0	1
ASV_1139	1	0	0	0
ASV_1140	0	0	1	0
ASV_1141	0	0	0	2
ASV_1143	0	2	0	0
ASV_1144	0	0	2	0
ASV_1145	0	1	1	0
ASV_1146	0	2	0	0
ASV_1148	1	0	0	1
ASV_1163	0	0	0	1
ASV_1164	0	0	1	0
ASV_1165	0	0	0	1
ASV_1166	1	0	1	0
ASV_1167	0	1	1	0
ASV_1168	0	0	2	0
ASV_1169	0	0	0	2
ASV_1170	0	1	1	0
ASV_1171	0	0	2	0
ASV_1172	3	0	0	0
ASV_1173	3	0	0	0
ASV_1174	3	0	0	0
ASV_1175	3	0	0	0
ASV_1176	3	0	0	0
ASV_1177	3	0	0	0
ASV_1178	3	0	0	0
ASV_1179	3	0	0	0
ASV_1180	3	0	0	0
ASV_1181	3	0	0	0
ASV_1182	3	0	0	0
ASV_1183	3	0	0	0
ASV_1184	3	0	0	0
ASV_1185	3	0	0	0
ASV_1186	3	0	0	0
ASV_1187	3	0	0	0
ASV_1188	3	0	0	0
ASV_1189	3	0	0	0
ASV_1190	3	0	0	0
ASV_1191	3	0	0	0
ASV_1192	3	0	0	0
ASV_1193	3	0	0	0
ASV_1194	3	0	0	0
ASV_1195	3	0	0	0
ASV_1196	2	1	0	0
ASV_1197	2	0	1	0
ASV_1198	2	0	0	1
ASV_1199	2	1	0	0
ASV_1200	2	1	0	0
ASV_1201	2	1	0	0
ASV_1202	2	0	0	1
ASV_1203	1	0	0	2
ASV_1204	1	0	1	1
ASV_1205	1	2	0	0
ASV_1206	1	0	0	2
ASV_1207	1	0	0	2
ASV_1208	1	0	1	1
ASV_1209	0	3	0	0
ASV_1210	0	3	0	0
ASV_1211	0	3	0	0
ASV_1212	0	3	0	0
ASV_1213	0	3	0	0
ASV_1214	0	3	0	0
ASV_1215	0	3	0	0
ASV_1216	0	3	0	0
ASV_1217	0	3	0	0
ASV_1218	0	3	0	0
ASV_1219	0	3	0	0
ASV_1220	0	3	0	0
ASV_1221	0	3	0	0
ASV_1222	0	3	0	0
ASV_1223	0	3	0	0
ASV_1224	0	3	0	0
ASV_1225	0	3	0	0
ASV_1226	0	3	0	0
ASV_1227	0	3	0	0
ASV_1228	0	3	0	0
ASV_1229	0	3	0	0
ASV_1230	0	3	0	0
ASV_1231	0	3	0	0
ASV_1232	0	3	0	0
ASV_1233	0	3	0	0
ASV_1234	0	3	0	0
ASV_1235	0	1	2	0
ASV_1236	0	1	1	1
ASV_1237	0	0	3	0
ASV_1238	0	0	3	0
ASV_1239	0	0	3	0
ASV_1240	0	0	3	0
ASV_1241	0	0	3	0
ASV_1242	0	0	3	0
ASV_1243	0	0	3	0
ASV_1244	0	0	3	0
ASV_1245	0	0	3	0
ASV_1246	0	0	3	0
ASV_1247	0	0	3	0
ASV_1248	0	0	3	0
ASV_1249	0	0	3	0
ASV_1250	0	0	3	0
ASV_1251	0	0	3	0
ASV_1252	0	0	3	0
ASV_1253	0	0	3	0
ASV_1254	0	0	3	0
ASV_1255	0	0	3	0
ASV_1256	0	0	3	0
ASV_1257	0	0	3	0
ASV_1258	0	0	3	0
ASV_1259	0	0	3	0
ASV_1260	0	0	3	0
ASV_1261	0	0	3	0
ASV_1262	0	0	3	0
ASV_1263	0	0	3	0
ASV_1264	0	0	3	0
ASV_1265	0	0	2	1
ASV_1266	0	0	2	1
ASV_1267	0	0	2	1
ASV_1268	0	0	1	2
ASV_1269	0	0	1	2
ASV_1270	0	0	1	2
ASV_1271	0	0	1	2
ASV_1272	0	0	1	2
ASV_1273	0	0	0	3
ASV_1274	0	0	0	3
ASV_1275	0	0	0	3
ASV_1276	0	0	0	3
ASV_1277	0	0	0	3
ASV_1278	0	0	0	3
ASV_1279	0	0	0	3
ASV_1280	0	0	0	3
ASV_1281	0	0	0	3
ASV_1282	0	0	0	3
ASV_1283	0	0	0	3
ASV_1284	0	0	0	3
ASV_1285	0	0	0	3
ASV_1286	0	0	0	3
ASV_1287	0	0	0	3
ASV_1288	0	0	0	3
ASV_1289	0	0	0	3
ASV_1290	0	0	0	3
ASV_1291	0	0	0	3
ASV_1292	0	0	0	3
ASV_1293	0	0	0	3
ASV_1294	0	0	0	3
ASV_1295	0	0	0	3
ASV_1296	0	0	0	3
ASV_1297	0	0	0	3
ASV_1298	0	0	0	3
ASV_1358	0	1	0	0
ASV_1360	0	0	0	1
ASV_1362	1	0	0	0
ASV_1364	1	0	0	0
ASV_1365	1	0	0	0
ASV_1369	1	0	0	0
ASV_1370	0	0	1	0
ASV_1427	0	0	1	0
ASV_1428	0	1	0	0
ASV_1429	0	1	0	0
ASV_1430	0	1	0	0
ASV_1432	0	0	1	0
ASV_1433	1	0	0	0
ASV_1434	1	0	0	0
ASV_1435	0	1	0	0
ASV_1537	0	0	1	0
ASV_1538	0	0	1	0
ASV_1540	0	1	0	0
ASV_1541	0	1	0	0
ASV_1542	0	0	1	0
ASV_1543	0	0	0	1
ASV_1544	0	0	0	1
ASV_1545	1	0	0	0
ASV_1548	0	0	1	0
ASV_1550	0	0	0	1
ASV_1627	0	0	1	0
ASV_1628	1	0	0	0
ASV_1629	0	0	0	1
ASV_1630	0	1	0	0
ASV_1631	0	1	0	0
ASV_1632	1	0	0	0
ASV_1633	0	0	1	0
ASV_1634	0	0	1	0
ASV_1635	2	0	0	0
ASV_1636	2	0	0	0
ASV_1637	2	0	0	0
ASV_1638	2	0	0	0
ASV_1639	2	0	0	0
ASV_1640	2	0	0	0
ASV_1641	2	0	0	0
ASV_1642	2	0	0	0
ASV_1643	2	0	0	0
ASV_1644	2	0	0	0
ASV_1645	2	0	0	0
ASV_1646	2	0	0	0
ASV_1647	2	0	0	0
ASV_1648	2	0	0	0
ASV_1649	2	0	0	0
ASV_1650	2	0	0	0
ASV_1651	2	0	0	0
ASV_1652	2	0	0	0
ASV_1653	2	0	0	0
ASV_1654	2	0	0	0
ASV_1655	2	0	0	0
ASV_1656	2	0	0	0
ASV_1657	2	0	0	0
ASV_1658	2	0	0	0
ASV_1659	2	0	0	0
ASV_1660	2	0	0	0
ASV_1661	2	0	0	0
ASV_1662	2	0	0	0
ASV_1663	2	0	0	0
ASV_1664	2	0	0	0
ASV_1665	2	0	0	0
ASV_1666	2	0	0	0
ASV_1667	2	0	0	0
ASV_1668	2	0	0	0
ASV_1669	2	0	0	0
ASV_1670	2	0	0	0
ASV_1671	2	0	0	0
ASV_1672	2	0	0	0
ASV_1673	2	0	0	0
ASV_1674	2	0	0	0
ASV_1675	2	0	0	0
ASV_1676	2	0	0	0
ASV_1677	2	0	0	0
ASV_1678	2	0	0	0
ASV_1679	2	0	0	0
ASV_1680	2	0	0	0
ASV_1681	2	0	0	0
ASV_1682	2	0	0	0
ASV_1683	2	0	0	0
ASV_1684	2	0	0	0
ASV_1685	2	0	0	0
ASV_1686	2	0	0	0
ASV_1687	2	0	0	0
ASV_1688	2	0	0	0
ASV_1689	2	0	0	0
ASV_1690	2	0	0	0
ASV_1691	2	0	0	0
ASV_1692	2	0	0	0
ASV_1693	2	0	0	0
ASV_1694	2	0	0	0
ASV_1695	2	0	0	0
ASV_1696	2	0	0	0
ASV_1697	2	0	0	0
ASV_1698	2	0	0	0
ASV_1699	2	0	0	0
ASV_1700	2	0	0	0
ASV_1701	2	0	0	0
ASV_1702	2	0	0	0
ASV_1703	2	0	0	0
ASV_1704	2	0	0	0
ASV_1705	2	0	0	0
ASV_1706	2	0	0	0
ASV_1707	2	0	0	0
ASV_1708	2	0	0	0
ASV_1709	2	0	0	0
ASV_1710	2	0	0	0
ASV_1711	2	0	0	0
ASV_1712	2	0	0	0
ASV_1713	2	0	0	0
ASV_1714	2	0	0	0
ASV_1715	2	0	0	0
ASV_1716	2	0	0	0
ASV_1717	2	0	0	0
ASV_1718	2	0	0	0
ASV_1719	2	0	0	0
ASV_1720	2	0	0	0
ASV_1721	1	0	0	1
ASV_1722	1	1	0	0
ASV_1723	1	1	0	0
ASV_1724	1	1	0	0
ASV_1725	1	1	0	0
ASV_1726	1	1	0	0
ASV_1727	1	1	0	0
ASV_1728	1	0	1	0
ASV_1729	1	0	1	0
ASV_1730	1	0	0	1
ASV_1731	0	2	0	0
ASV_1732	0	2	0	0
ASV_1733	0	2	0	0
ASV_1734	0	2	0	0
ASV_1735	0	2	0	0
ASV_1736	0	2	0	0
ASV_1737	0	2	0	0
ASV_1738	0	2	0	0
ASV_1739	0	2	0	0
ASV_1740	0	2	0	0
ASV_1741	0	2	0	0
ASV_1742	0	2	0	0
ASV_1743	0	2	0	0
ASV_1744	0	2	0	0
ASV_1745	0	2	0	0
ASV_1746	0	2	0	0
ASV_1747	0	2	0	0
ASV_1748	0	2	0	0
ASV_1749	0	2	0	0
ASV_1750	0	2	0	0
ASV_1751	0	2	0	0
ASV_1752	0	2	0	0
ASV_1753	0	2	0	0
ASV_1754	0	2	0	0
ASV_1755	0	2	0	0
ASV_1756	0	2	0	0
ASV_1757	0	2	0	0
ASV_1758	0	2	0	0
ASV_1759	0	2	0	0
ASV_1760	0	2	0	0
ASV_1761	0	2	0	0
ASV_1762	0	2	0	0
ASV_1763	0	2	0	0
ASV_1764	0	2	0	0
ASV_1765	0	2	0	0
ASV_1766	0	2	0	0
ASV_1767	0	2	0	0
ASV_1768	0	2	0	0
ASV_1769	0	2	0	0
ASV_1770	0	2	0	0
ASV_1771	0	2	0	0
ASV_1772	0	2	0	0
ASV_1773	0	2	0	0
ASV_1774	0	2	0	0
ASV_1775	0	2	0	0
ASV_1776	0	2	0	0
ASV_1777	0	2	0	0
ASV_1778	0	2	0	0
ASV_1779	0	2	0	0
ASV_1780	0	2	0	0
ASV_1781	0	2	0	0
ASV_1782	0	2	0	0
ASV_1783	0	2	0	0
ASV_1784	0	2	0	0
ASV_1785	0	2	0	0
ASV_1786	0	2	0	0
ASV_1787	0	2	0	0
ASV_1788	0	2	0	0
ASV_1789	0	2	0	0
ASV_1790	0	2	0	0
ASV_1791	0	2	0	0
ASV_1792	0	2	0	0
ASV_1793	0	2	0	0
ASV_1794	0	2	0	0
ASV_1795	0	2	0	0
ASV_1796	0	2	0	0
ASV_1797	0	2	0	0
ASV_1798	0	2	0	0
ASV_1799	0	2	0	0
ASV_1800	0	2	0	0
ASV_1801	0	2	0	0
ASV_1802	0	2	0	0
ASV_1803	0	2	0	0
ASV_1804	0	2	0	0
ASV_1805	0	2	0	0
ASV_1806	0	2	0	0
ASV_1807	0	2	0	0
ASV_1808	0	2	0	0
ASV_1809	0	2	0	0
ASV_1810	0	2	0	0
ASV_1811	0	2	0	0
ASV_1812	0	2	0	0
ASV_1813	0	2	0	0
ASV_1814	0	2	0	0
ASV_1815	0	2	0	0
ASV_1816	0	2	0	0
ASV_1817	0	2	0	0
ASV_1818	0	2	0	0
ASV_1819	0	2	0	0
ASV_1820	0	2	0	0
ASV_1821	0	1	1	0
ASV_1822	0	1	0	1
ASV_1823	0	1	0	1
ASV_1824	0	1	1	0
ASV_1825	0	1	1	0
ASV_1826	0	0	2	0
ASV_1827	0	0	2	0
ASV_1828	0	0	2	0
ASV_1829	0	0	2	0
ASV_1830	0	0	2	0
ASV_1831	0	0	2	0
ASV_1832	0	0	2	0
ASV_1833	0	0	2	0
ASV_1834	0	0	2	0
ASV_1835	0	0	2	0
ASV_1836	0	0	2	0
ASV_1837	0	0	2	0
ASV_1838	0	0	2	0
ASV_1839	0	0	2	0
ASV_1840	0	0	2	0
ASV_1841	0	0	2	0
ASV_1842	0	0	2	0
ASV_1843	0	0	2	0
ASV_1844	0	0	2	0
ASV_1845	0	0	2	0
ASV_1846	0	0	2	0
ASV_1847	0	0	2	0
ASV_1848	0	0	2	0
ASV_1849	0	0	2	0
ASV_1850	0	0	2	0
ASV_1851	0	0	2	0
ASV_1852	0	0	2	0
ASV_1853	0	0	2	0
ASV_1854	0	0	2	0
ASV_1855	0	0	2	0
ASV_1856	0	0	2	0
ASV_1857	0	0	2	0
ASV_1858	0	0	2	0
ASV_1859	0	0	2	0
ASV_1860	0	0	2	0
ASV_1861	0	0	2	0
ASV_1862	0	0	2	0
ASV_1863	0	0	2	0
ASV_1864	0	0	2	0
ASV_1865	0	0	2	0
ASV_1866	0	0	2	0
ASV_1867	0	0	2	0
ASV_1868	0	0	2	0
ASV_1869	0	0	2	0
ASV_1870	0	0	2	0
ASV_1871	0	0	2	0
ASV_1872	0	0	2	0
ASV_1873	0	0	2	0
ASV_1874	0	0	2	0
ASV_1875	0	0	2	0
ASV_1876	0	0	2	0
ASV_1877	0	0	2	0
ASV_1878	0	0	2	0
ASV_1879	0	0	2	0
ASV_1880	0	0	2	0
ASV_1881	0	0	2	0
ASV_1882	0	0	2	0
ASV_1883	0	0	2	0
ASV_1884	0	0	2	0
ASV_1885	0	0	2	0
ASV_1886	0	0	2	0
ASV_1887	0	0	2	0
ASV_1888	0	0	2	0
ASV_1889	0	0	2	0
ASV_1890	0	0	2	0
ASV_1891	0	0	2	0
ASV_1892	0	0	2	0
ASV_1893	0	0	2	0
ASV_1894	0	0	2	0
ASV_1895	0	0	2	0
ASV_1896	0	0	2	0
ASV_1897	0	0	2	0
ASV_1898	0	0	2	0
ASV_1899	0	0	2	0
ASV_1900	0	0	2	0
ASV_1901	0	0	2	0
ASV_1902	0	0	2	0
ASV_1903	0	0	2	0
ASV_1904	0	0	2	0
ASV_1905	0	0	2	0
ASV_1906	0	0	2	0
ASV_1907	0	0	2	0
ASV_1908	0	0	2	0
ASV_1909	0	0	2	0
ASV_1910	0	0	2	0
ASV_1911	0	0	2	0
ASV_1912	0	0	2	0
ASV_1913	0	0	2	0
ASV_1914	0	0	2	0
ASV_1915	0	0	2	0
ASV_1916	0	0	2	0
ASV_1917	0	0	2	0
ASV_1918	0	0	2	0
ASV_1919	0	0	2	0
ASV_1920	0	0	2	0
ASV_1921	0	0	2	0
ASV_1922	0	0	2	0
ASV_1923	0	0	2	0
ASV_1924	0	0	2	0
ASV_1925	0	0	2	0
ASV_1926	0	0	2	0
ASV_1927	0	0	2	0
ASV_1928	0	0	2	0
ASV_1929	0	0	2	0
ASV_1930	0	0	2	0
ASV_1931	0	0	2	0
ASV_1932	0	0	1	1
ASV_1933	0	0	1	1
ASV_1934	0	0	1	1
ASV_1935	0	0	1	1
ASV_1936	0	0	1	1
ASV_1937	0	0	1	1
ASV_1938	0	0	0	2
ASV_1939	0	0	0	2
ASV_1940	0	0	0	2
ASV_1941	0	0	0	2
ASV_1942	0	0	0	2
ASV_1943	0	0	0	2
ASV_1944	0	0	0	2
ASV_1945	0	0	0	2
ASV_1946	0	0	0	2
ASV_1947	0	0	0	2
ASV_1948	0	0	0	2
ASV_1949	0	0	0	2
ASV_1950	0	0	0	2
ASV_1951	0	0	0	2
ASV_1952	0	0	0	2
ASV_1953	0	0	0	2
ASV_1954	0	0	0	2
ASV_1955	0	0	0	2
ASV_1956	0	0	0	2
ASV_1957	0	0	0	2
ASV_1958	0	0	0	2
ASV_1959	0	0	0	2
ASV_1960	0	0	0	2
ASV_1961	0	0	0	2
ASV_1962	0	0	0	2
ASV_1963	0	0	0	2
ASV_1964	0	0	0	2
ASV_1965	0	0	0	2
ASV_1966	0	0	0	2
ASV_1967	0	0	0	2
ASV_1968	0	0	0	2
ASV_1969	0	0	0	2
ASV_1970	0	0	0	2
ASV_1971	0	0	0	2
ASV_1972	0	0	0	2
ASV_1973	0	0	0	2
ASV_1974	0	0	0	2
ASV_1975	0	0	0	2
ASV_1976	0	0	0	2
ASV_1977	0	0	0	2
ASV_1978	0	0	0	2
ASV_1979	0	0	0	2
ASV_1980	0	0	0	2
ASV_1981	0	0	0	2
ASV_1982	0	0	0	2
ASV_1983	0	0	0	2
ASV_1984	0	0	0	2
ASV_1985	0	0	0	2
ASV_1986	0	0	0	2
ASV_1987	0	0	0	2
ASV_1988	0	0	0	2
ASV_1989	0	0	0	2
ASV_1990	0	0	0	2
ASV_1991	0	0	0	2
ASV_1992	0	0	0	2
ASV_1993	0	0	0	2
ASV_1994	0	0	0	2
ASV_1995	0	0	0	2
ASV_1996	0	0	0	2
ASV_1997	0	0	0	2
ASV_1998	0	0	0	2
ASV_1999	0	0	0	2
ASV_2000	0	0	0	2
ASV_2001	0	0	0	2
ASV_2002	0	0	0	2
ASV_2003	0	0	0	2
ASV_2004	0	0	0	2
ASV_2005	0	0	0	2
ASV_2006	0	0	0	2
ASV_2007	0	0	0	2
ASV_2008	0	0	0	2
ASV_2009	0	0	0	2
ASV_2010	0	0	0	2
ASV_2011	0	0	0	2
ASV_2012	0	0	0	2
ASV_2013	0	0	0	2
ASV_2014	0	0	0	2
ASV_2015	0	0	0	2
ASV_2016	0	0	0	2
ASV_2017	0	0	0	2
ASV_2018	0	0	0	2
ASV_2019	0	0	0	2
ASV_2020	0	0	0	2
ASV_2021	0	0	0	2
ASV_2022	0	0	0	2
ASV_2023	0	0	0	2
ASV_2024	0	0	0	2
ASV_2025	0	0	0	2
ASV_2026	0	0	0	2
ASV_2027	0	0	0	2
ASV_2028	0	0	0	2
ASV_2029	0	0	0	2
ASV_2030	0	0	0	2
ASV_2031	0	0	0	2
ASV_2032	0	0	0	2
ASV_2033	0	0	0	2
ASV_2034	0	0	0	2
ASV_2035	0	0	0	2
ASV_2036	0	0	0	2
ASV_2037	0	0	0	2
ASV_2038	0	0	0	2
ASV_2039	0	0	0	2
ASV_2040	0	0	0	2
ASV_2041	0	0	0	2
ASV_2042	0	0	0	2
ASV_2043	0	0	0	2
ASV_2044	0	0	0	2
ASV_2045	0	0	0	2
ASV_2046	0	0	0	2
ASV_2047	0	0	0	2
ASV_2048	0	0	0	2
ASV_2049	0	0	0	2
ASV_2050	0	0	0	2
ASV_2051	0	0	0	2
ASV_2052	0	0	0	2
ASV_2053	0	0	0	2
ASV_2054	0	0	0	2
ASV_2055	0	0	0	2
ASV_2056	0	0	0	2
ASV_2057	0	0	0	2
ASV_2058	0	0	0	2
ASV_2059	0	0	0	2
ASV_2060	0	0	0	2
ASV_2061	0	0	0	2
ASV_2062	0	0	0	2
ASV_2063	0	0	0	2
ASV_3177	1	0	0	0
ASV_3178	1	0	0	0
ASV_3179	1	0	0	0
ASV_3180	1	0	0	0
ASV_3181	1	0	0	0
ASV_3182	1	0	0	0
ASV_3183	1	0	0	0
ASV_3184	1	0	0	0
ASV_3185	1	0	0	0
ASV_3186	1	0	0	0
ASV_3187	1	0	0	0
ASV_3188	1	0	0	0
ASV_3189	1	0	0	0
ASV_3190	1	0	0	0
ASV_3191	1	0	0	0
ASV_3192	1	0	0	0
ASV_3193	1	0	0	0
ASV_3194	1	0	0	0
ASV_3195	1	0	0	0
ASV_3196	1	0	0	0
ASV_3197	1	0	0	0
ASV_3198	1	0	0	0
ASV_3199	1	0	0	0
ASV_3200	1	0	0	0
ASV_3201	1	0	0	0
ASV_3202	1	0	0	0
ASV_3203	1	0	0	0
ASV_3204	1	0	0	0
ASV_3205	1	0	0	0
ASV_3206	1	0	0	0
ASV_3207	1	0	0	0
ASV_3208	1	0	0	0
ASV_3209	1	0	0	0
ASV_3210	1	0	0	0
ASV_3211	1	0	0	0
ASV_3212	1	0	0	0
ASV_3213	1	0	0	0
ASV_3214	1	0	0	0
ASV_3215	1	0	0	0
ASV_3216	1	0	0	0
ASV_3217	1	0	0	0
ASV_3218	1	0	0	0
ASV_3219	1	0	0	0
ASV_3220	1	0	0	0
ASV_3221	1	0	0	0
ASV_3222	1	0	0	0
ASV_3223	1	0	0	0
ASV_3224	1	0	0	0
ASV_3225	1	0	0	0
ASV_3226	1	0	0	0
ASV_3227	1	0	0	0
ASV_3228	1	0	0	0
ASV_3229	1	0	0	0
ASV_3230	1	0	0	0
ASV_3231	1	0	0	0
ASV_3232	1	0	0	0
ASV_3233	1	0	0	0
ASV_3234	1	0	0	0
ASV_3235	1	0	0	0
ASV_3236	1	0	0	0
ASV_3237	1	0	0	0
ASV_3238	1	0	0	0
ASV_3239	1	0	0	0
ASV_3240	1	0	0	0
ASV_3241	1	0	0	0
ASV_3242	1	0	0	0
ASV_3243	1	0	0	0
ASV_3244	1	0	0	0
ASV_3245	1	0	0	0
ASV_3246	1	0	0	0
ASV_3247	1	0	0	0
ASV_3248	1	0	0	0
ASV_3249	1	0	0	0
ASV_3250	1	0	0	0
ASV_3251	1	0	0	0
ASV_3252	1	0	0	0
ASV_3253	1	0	0	0
ASV_3254	1	0	0	0
ASV_3255	1	0	0	0
ASV_3256	1	0	0	0
ASV_3257	1	0	0	0
ASV_3258	1	0	0	0
ASV_3259	1	0	0	0
ASV_3260	1	0	0	0
ASV_3261	1	0	0	0
ASV_3262	1	0	0	0
ASV_3263	1	0	0	0
ASV_3264	1	0	0	0
ASV_3265	1	0	0	0
ASV_3266	1	0	0	0
ASV_3267	1	0	0	0
ASV_3268	1	0	0	0
ASV_3269	1	0	0	0
ASV_3270	1	0	0	0
ASV_3271	1	0	0	0
ASV_3272	1	0	0	0
ASV_3273	1	0	0	0
ASV_3274	1	0	0	0
ASV_3275	1	0	0	0
ASV_3276	1	0	0	0
ASV_3277	1	0	0	0
ASV_3278	1	0	0	0
ASV_3279	1	0	0	0
ASV_3280	1	0	0	0
ASV_3281	1	0	0	0
ASV_3282	1	0	0	0
ASV_3283	1	0	0	0
ASV_3284	1	0	0	0
ASV_3285	1	0	0	0
ASV_3286	1	0	0	0
ASV_3287	1	0	0	0
ASV_3288	1	0	0	0
ASV_3289	1	0	0	0
ASV_3290	1	0	0	0
ASV_3291	1	0	0	0
ASV_3292	1	0	0	0
ASV_3293	1	0	0	0
ASV_3294	1	0	0	0
ASV_3295	1	0	0	0
ASV_3296	1	0	0	0
ASV_3297	1	0	0	0
ASV_3298	1	0	0	0
ASV_3299	1	0	0	0
ASV_3300	1	0	0	0
ASV_3301	1	0	0	0
ASV_3302	1	0	0	0
ASV_3303	1	0	0	0
ASV_3304	1	0	0	0
ASV_3305	1	0	0	0
ASV_3306	1	0	0	0
ASV_3307	1	0	0	0
ASV_3308	1	0	0	0
ASV_3309	1	0	0	0
ASV_3310	1	0	0	0
ASV_3311	1	0	0	0
ASV_3312	1	0	0	0
ASV_3313	1	0	0	0
ASV_3314	1	0	0	0
ASV_3315	1	0	0	0
ASV_3316	1	0	0	0
ASV_3317	1	0	0	0
ASV_3318	1	0	0	0
ASV_3319	1	0	0	0
ASV_3320	1	0	0	0
ASV_3321	1	0	0	0
ASV_3322	1	0	0	0
ASV_3323	1	0	0	0
ASV_3324	1	0	0	0
ASV_3325	1	0	0	0
ASV_3326	1	0	0	0
ASV_3327	1	0	0	0
ASV_3328	1	0	0	0
ASV_3329	1	0	0	0
ASV_3330	1	0	0	0
ASV_3331	1	0	0	0
ASV_3332	1	0	0	0
ASV_3333	1	0	0	0
ASV_3334	1	0	0	0
ASV_3335	1	0	0	0
ASV_3336	1	0	0	0
ASV_3337	1	0	0	0
ASV_3338	1	0	0	0
ASV_3339	1	0	0	0
ASV_3340	1	0	0	0
ASV_3341	1	0	0	0
ASV_3342	1	0	0	0
ASV_3343	1	0	0	0
ASV_3344	1	0	0	0
ASV_3345	1	0	0	0
ASV_3346	1	0	0	0
ASV_3347	1	0	0	0
ASV_3348	1	0	0	0
ASV_3349	1	0	0	0
ASV_3350	1	0	0	0
ASV_3351	1	0	0	0
ASV_3352	1	0	0	0
ASV_3353	1	0	0	0
ASV_3354	1	0	0	0
ASV_3355	1	0	0	0
ASV_3356	1	0	0	0
ASV_3357	1	0	0	0
ASV_3358	1	0	0	0
ASV_3359	1	0	0	0
ASV_3360	1	0	0	0
ASV_3361	1	0	0	0
ASV_3362	1	0	0	0
ASV_3363	1	0	0	0
ASV_3364	1	0	0	0
ASV_3365	1	0	0	0
ASV_3366	1	0	0	0
ASV_3367	1	0	0	0
ASV_3368	1	0	0	0
ASV_3369	1	0	0	0
ASV_3370	1	0	0	0
ASV_3371	1	0	0	0
ASV_3372	1	0	0	0
ASV_3373	1	0	0	0
ASV_3374	1	0	0	0
ASV_3375	1	0	0	0
ASV_3376	1	0	0	0
ASV_3377	1	0	0	0
ASV_3378	1	0	0	0
ASV_3379	1	0	0	0
ASV_3380	1	0	0	0
ASV_3381	1	0	0	0
ASV_3382	1	0	0	0
ASV_3383	1	0	0	0
ASV_3384	1	0	0	0
ASV_3385	1	0	0	0
ASV_3386	1	0	0	0
ASV_3387	1	0	0	0
ASV_3388	1	0	0	0
ASV_3389	1	0	0	0
ASV_3390	1	0	0	0
ASV_3391	1	0	0	0
ASV_3392	1	0	0	0
ASV_3393	1	0	0	0
ASV_3394	1	0	0	0
ASV_3395	1	0	0	0
ASV_3396	1	0	0	0
ASV_3397	1	0	0	0
ASV_3398	1	0	0	0
ASV_3399	1	0	0	0
ASV_3400	1	0	0	0
ASV_3401	1	0	0	0
ASV_3402	1	0	0	0
ASV_3403	1	0	0	0
ASV_3404	1	0	0	0
ASV_3405	1	0	0	0
ASV_3406	1	0	0	0
ASV_3407	1	0	0	0
ASV_3408	1	0	0	0
ASV_3409	1	0	0	0
ASV_3410	1	0	0	0
ASV_3411	1	0	0	0
ASV_3412	1	0	0	0
ASV_3413	1	0	0	0
ASV_3414	1	0	0	0
ASV_3415	1	0	0	0
ASV_3416	1	0	0	0
ASV_3417	1	0	0	0
ASV_3418	1	0	0	0
ASV_3419	1	0	0	0
ASV_3420	1	0	0	0
ASV_3421	1	0	0	0
ASV_3422	1	0	0	0
ASV_3423	1	0	0	0
ASV_3424	1	0	0	0
ASV_3425	1	0	0	0
ASV_3426	1	0	0	0
ASV_3427	1	0	0	0
ASV_3428	1	0	0	0
ASV_3429	1	0	0	0
ASV_3430	1	0	0	0
ASV_3431	1	0	0	0
ASV_3432	1	0	0	0
ASV_3433	1	0	0	0
ASV_3434	1	0	0	0
ASV_3435	1	0	0	0
ASV_3436	1	0	0	0
ASV_3437	1	0	0	0
ASV_3438	1	0	0	0
ASV_3439	1	0	0	0
ASV_3440	1	0	0	0
ASV_3441	1	0	0	0
ASV_3442	1	0	0	0
ASV_3443	1	0	0	0
ASV_3444	1	0	0	0
ASV_3445	1	0	0	0
ASV_3446	1	0	0	0
ASV_3447	1	0	0	0
ASV_3448	1	0	0	0
ASV_3449	1	0	0	0
ASV_3450	1	0	0	0
ASV_3451	1	0	0	0
ASV_3452	1	0	0	0
ASV_3453	1	0	0	0
ASV_3454	1	0	0	0
ASV_3455	1	0	0	0
ASV_3456	1	0	0	0
ASV_3457	1	0	0	0
ASV_3458	1	0	0	0
ASV_3459	1	0	0	0
ASV_3460	1	0	0	0
ASV_3461	1	0	0	0
ASV_3462	1	0	0	0
ASV_3463	1	0	0	0
ASV_3464	1	0	0	0
ASV_3465	1	0	0	0
ASV_3466	1	0	0	0
ASV_3467	1	0	0	0
ASV_3468	1	0	0	0
ASV_3469	1	0	0	0
ASV_3470	1	0	0	0
ASV_3471	1	0	0	0
ASV_3472	1	0	0	0
ASV_3473	1	0	0	0
ASV_3474	1	0	0	0
