	T0_1	T0_2	T63_1	T63_2
ASV_198	0	0	45	27
ASV_199	7	4	20	39
ASV_200	0	0	12	31
ASV_201	30	23	0	0
ASV_202	30	32	15	12
ASV_203	18	31	0	0
ASV_204	25	22	0	1
ASV_205	13	0	37	44
ASV_206	1	0	29	34
ASV_207	31	23	0	0
ASV_208	24	24	0	0
ASV_209	27	22	8	2
ASV_210	6	8	1	1
ASV_211	3	0	12	12
ASV_212	0	0	10	20
ASV_213	0	0	60	25
ASV_214	28	44	8	12
ASV_215	14	13	6	0
ASV_216	24	18	0	0
ASV_217	21	10	4	3
ASV_218	15	26	0	0
ASV_219	14	11	0	0
ASV_220	16	19	0	0
ASV_221	7	1	11	6
ASV_222	0	0	2	8
ASV_223	0	0	54	21
ASV_224	1	0	45	7
ASV_225	27	13	0	0
ASV_226	0	0	44	36
ASV_227	18	19	2	5
ASV_228	0	0	34	21
ASV_229	10	10	0	2
ASV_230	11	14	0	4
ASV_231	3	0	16	10
ASV_232	20	13	0	0
ASV_233	2	0	1	1
ASV_234	0	0	26	20
ASV_235	17	12	1	1
ASV_236	21	9	4	1
ASV_237	3	11	6	2
ASV_238	0	0	31	30
ASV_239	15	11	0	0
ASV_240	17	15	3	1
ASV_241	21	53	3	4
ASV_242	10	10	1	1
ASV_243	24	23	0	1
ASV_244	21	16	3	3
ASV_245	17	21	2	0
ASV_246	19	30	0	1
ASV_247	13	12	6	2
ASV_248	24	23	0	3
ASV_249	2	0	17	28
ASV_250	1	1	5	0
ASV_251	0	1	41	27
ASV_252	15	16	2	0
ASV_253	0	0	45	30
ASV_254	0	0	36	36
ASV_255	9	10	0	0
ASV_256	10	11	4	0
ASV_257	0	2	11	6
ASV_258	23	17	5	3
ASV_259	0	0	42	28
ASV_260	10	17	0	1
ASV_261	10	9	0	0
ASV_262	55	3	0	0
ASV_263	25	37	2	3
ASV_264	0	0	52	14
ASV_265	15	13	0	0
ASV_266	13	22	0	0
ASV_267	18	18	0	0
ASV_268	0	0	5	5
ASV_269	0	0	17	12
ASV_270	2	6	4	13
ASV_271	5	0	5	7
ASV_272	0	0	2	1
ASV_273	0	3	27	38
ASV_274	23	11	0	0
ASV_275	2	0	33	30
ASV_276	15	18	0	0
ASV_277	11	9	2	2
ASV_278	0	0	29	27
ASV_279	1	0	35	14
ASV_280	2	6	2	3
ASV_281	12	6	2	2
ASV_282	17	10	0	0
ASV_283	18	19	1	0
ASV_284	0	14	0	0
ASV_285	0	0	21	14
ASV_286	19	13	0	0
ASV_287	14	8	3	5
ASV_288	8	6	2	0
ASV_289	0	0	0	1
ASV_290	8	34	4	9
ASV_291	0	0	20	26
ASV_292	0	0	12	35
ASV_293	28	22	3	7
ASV_294	3	16	3	0
ASV_295	7	2	14	9
ASV_296	0	0	27	32
ASV_297	17	12	0	0
ASV_298	23	8	0	0
ASV_299	1	0	18	18
ASV_300	13	4	0	0
ASV_301	1	0	9	6
ASV_302	0	0	12	26
ASV_303	0	0	24	32
ASV_304	0	0	17	18
ASV_305	2	3	5	38
ASV_306	9	12	0	0
ASV_307	2	2	24	16
ASV_308	19	28	2	4
ASV_309	11	18	0	1
ASV_310	10	11	2	1
ASV_311	5	11	0	1
ASV_312	1	1	2	9
ASV_313	1	0	11	6
ASV_314	2	1	35	12
ASV_315	14	5	0	0
ASV_316	0	3	0	0
ASV_317	14	25	4	5
ASV_318	11	5	0	1
ASV_319	0	2	0	3
ASV_320	1	1	15	27
ASV_321	0	2	29	13
ASV_322	0	0	11	8
ASV_323	0	0	1	1
ASV_324	0	0	16	18
ASV_325	4	3	8	31
ASV_326	15	5	0	2
ASV_327	16	8	0	0
ASV_328	2	3	3	1
ASV_329	6	13	0	0
ASV_330	7	10	0	13
ASV_331	8	9	0	0
ASV_332	8	12	3	1
ASV_333	4	14	2	0
ASV_334	1	0	10	15
ASV_335	17	21	3	4
ASV_336	9	12	0	0
ASV_337	12	3	0	0
ASV_338	0	1	18	13
ASV_339	4	9	0	0
ASV_340	5	5	0	0
ASV_341	7	7	0	0
ASV_342	13	1	4	1
ASV_343	0	0	6	4
ASV_344	7	5	0	2
ASV_345	8	9	0	0
ASV_346	10	13	0	0
ASV_347	11	10	0	0
ASV_348	0	0	7	18
ASV_349	0	0	6	13
ASV_350	0	0	2	2
ASV_351	11	3	0	1
ASV_352	0	2	15	14
ASV_353	0	3	2	4
ASV_354	5	4	2	1
ASV_355	0	0	7	19
ASV_356	1	0	14	21
ASV_357	0	0	8	8
ASV_358	1	0	16	20
ASV_359	1	0	7	2
ASV_360	1	1	18	14
ASV_361	0	0	33	6
ASV_362	0	0	16	25
ASV_363	5	4	0	0
ASV_364	9	9	0	1
ASV_365	7	17	0	0
ASV_366	1	0	13	4
ASV_367	0	0	3	10
ASV_368	1	3	11	5
ASV_369	0	1	14	3
ASV_370	5	6	0	0
ASV_371	4	7	0	0
ASV_372	12	2	1	1
ASV_373	9	11	0	0
ASV_374	0	0	1	2
ASV_375	0	0	0	1
ASV_376	0	0	2	1
ASV_377	0	0	20	17
ASV_378	4	0	19	16
ASV_379	4	8	1	0
ASV_380	7	3	2	1
ASV_381	6	16	0	0
ASV_382	0	0	13	15
ASV_383	0	0	7	31
ASV_384	5	12	1	2
ASV_385	7	9	1	0
ASV_386	0	0	7	2
ASV_387	1	2	2	1
ASV_388	0	0	10	15
ASV_389	0	1	12	18
ASV_390	1	0	13	11
ASV_391	16	12	5	3
ASV_392	1	0	7	28
ASV_393	10	4	0	0
ASV_394	8	5	0	0
ASV_395	4	7	5	4
ASV_396	0	2	4	5
ASV_397	6	5	0	0
ASV_398	5	7	0	0
ASV_399	9	8	2	0
ASV_400	8	9	1	0
ASV_401	7	9	0	0
ASV_402	4	2	3	0
ASV_403	0	0	6	18
ASV_404	18	12	4	1
ASV_405	9	2	0	0
ASV_406	12	8	0	3
ASV_407	9	4	0	0
ASV_408	2	4	0	0
ASV_409	0	3	14	14
ASV_411	2	11	0	0
ASV_412	3	1	2	0
ASV_413	5	0	2	1
ASV_414	0	0	5	22
ASV_415	1	3	11	3
ASV_416	4	9	0	0
ASV_417	8	4	0	2
ASV_418	5	10	0	0
ASV_419	2	6	1	2
ASV_420	0	3	0	1
ASV_421	7	12	7	3
ASV_422	0	0	24	2
ASV_423	4	8	0	0
ASV_424	3	9	0	0
ASV_425	6	8	0	0
ASV_426	0	1	2	1
ASV_427	0	1	2	3
ASV_428	0	0	4	6
ASV_429	0	0	9	12
ASV_430	4	6	1	1
ASV_431	1	5	1	0
ASV_432	4	0	7	2
ASV_433	3	2	2	5
ASV_434	1	2	2	4
ASV_435	1	0	11	5
ASV_436	0	2	4	11
ASV_437	2	0	6	15
ASV_438	0	0	9	9
ASV_439	0	0	18	11
ASV_440	1	3	6	5
ASV_441	5	2	1	0
ASV_442	0	0	9	0
ASV_443	3	3	1	1
ASV_444	1	0	9	3
ASV_445	0	2	1	0
ASV_446	0	1	6	6
ASV_447	5	7	5	4
ASV_448	0	0	12	16
ASV_449	0	1	10	18
ASV_450	3	8	0	0
ASV_451	12	11	0	0
ASV_452	0	2	4	5
ASV_453	0	0	15	9
ASV_454	0	0	2	4
ASV_455	0	0	10	11
ASV_456	0	0	10	6
ASV_457	1	0	17	10
ASV_458	3	4	0	0
ASV_459	3	7	1	0
ASV_460	5	3	0	0
ASV_461	0	0	14	7
ASV_462	0	1	4	14
ASV_463	3	1	0	2
ASV_464	0	0	2	0
ASV_465	9	13	1	0
ASV_466	2	6	2	2
ASV_467	1	2	5	3
ASV_468	3	0	1	1
ASV_469	0	0	11	3
ASV_470	2	1	4	3
ASV_471	0	0	1	1
ASV_472	0	1	4	16
ASV_473	0	0	16	6
ASV_474	0	0	6	17
ASV_475	8	15	1	2
ASV_476	1	0	0	11
ASV_477	7	13	1	2
ASV_478	0	0	12	10
ASV_479	0	0	9	8
ASV_480	6	0	0	0
ASV_481	5	4	0	0
ASV_482	7	9	5	1
ASV_483	0	0	4	8
ASV_484	0	0	1	3
ASV_485	0	0	3	3
ASV_486	6	8	2	4
